id	taxon	trait	dstate	value	units	country	state	created.by	created.date
3396	Lupinus formosus var. robustus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3397	Lupinus fulcratus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3398	Lupinus gracilentus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3399	Lupinus grayi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3400	Lupinus guadalupensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3401	Lupinus hirsutissimus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3402	Lupinus holmgrenianus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3403	Lupinus hyacinthinus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3404	Lupinus lapidicola	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3405	Lupinus latifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3406	Lupinus latifolius var. barbatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3407	Lupinus latifolius var. columbianus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3408	Lupinus latifolius var. dudleyi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3409	Lupinus latifolius var. latifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3410	Lupinus latifolius var. parishii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3411	Lupinus latifolius var. viridifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3412	Lupinus lepidus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3413	Lupinus lepidus var. confertus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3414	Lupinus lepidus var. culbertsonii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3415	Lupinus lepidus var. lobbii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3416	Lupinus lepidus var. ramosus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3417	Lupinus lepidus var. sellulus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3418	Lupinus lepidus var. utahensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3419	Lupinus leucophyllus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3420	Lupinus littoralis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3421	Lupinus longifolius	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3422	Lupinus ludovicianus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3423	Lupinus luteolus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3424	Lupinus magnificus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3425	Lupinus microcarpus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3426	Lupinus microcarpus var. densiflorus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3427	Lupinus microcarpus var. horizontalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3428	Lupinus microcarpus var. microcarpus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3429	Lupinus nanus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3430	Lupinus nevadensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3431	Lupinus nipomensis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3432	Lupinus obtusilobus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3433	Lupinus odoratus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3434	Lupinus onustus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3435	Lupinus pachylobus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3436	Lupinus padre-crowleyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3437	Lupinus peirsonii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3438	Lupinus polyphyllus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3439	Lupinus polyphyllus var. burkei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3440	Lupinus polyphyllus var. pallidipes	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3441	Lupinus polyphyllus var. polyphyllus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3442	Lupinus pratensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3443	Lupinus pratensis var. eriostachyus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3444	Lupinus pratensis var. pratensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3445	Lupinus pusillus var. intermontanus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3446	Lupinus rivularis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3447	Lupinus saxosus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3448	Lupinus sericatus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3449	Lupinus shockleyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3450	Lupinus sparsiflorus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3451	Lupinus spectabilis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3452	Lupinus stiversii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3453	Lupinus succulentus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3454	Lupinus tidestromii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3455	Lupinus tracyi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3456	Lupinus truncatus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3457	Lupinus variicolor	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3458	Marina orcuttii var. orcuttii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3459	Marina parryi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3460	Medicago arabica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3461	Medicago lupulina	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3462	Medicago minima	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3463	Medicago orbicularis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3464	Medicago polymorpha	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3465	Medicago praecox	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3466	Medicago sativa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3467	Melilotus albus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3468	Melilotus indicus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3469	Melilotus officinalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3470	Olneya tesota	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3471	Onobrychis viciifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3472	Ornithopus pinnatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3473	Ornithopus sativus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3474	Oxytropis borealis var. australis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3475	Oxytropis borealis var. viscida	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3476	Oxytropis deflexa var. sericea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3477	Oxytropis oreophila var. oreophila	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3478	Oxytropis parryi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3479	Parkinsonia aculeata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3480	Pediomelum californicum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3481	Pediomelum castoreum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3482	Peteria thompsoniae	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3483	Phaseolus filiformis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3484	Pickeringia montana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3485	Pickeringia montana var. montana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3486	Pickeringia montana var. tomentosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3487	Pisum sativum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3488	Prosopis glandulosa var. torreyana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3489	Prosopis pubescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3490	Prosopis strombulifera	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3491	Prosopis velutina	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3492	Psoralidium lanceolatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3493	Psorothamnus arborescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3494	Psorothamnus arborescens var. arborescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3495	Psorothamnus arborescens var. minutifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3496	Psorothamnus arborescens var. simplicifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3497	Psorothamnus emoryi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3498	Psorothamnus fremontii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3499	Psorothamnus fremontii var. attenuatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3500	Psorothamnus fremontii var. fremontii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3501	Psorothamnus polydenius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3502	Psorothamnus schottii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3503	Psorothamnus spinosus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3504	Robinia neomexicana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3505	Robinia pseudoacacia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3506	Rupertia hallii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3507	Rupertia physodes	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3508	Rupertia rigida	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3509	Senna armata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3510	Senna covesii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3511	Senna didymobotrya	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3512	Senna multiglandulosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3513	Sesbania exaltata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3514	Spartium junceum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3515	Sphaerophysa salsula	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3516	Thermopsis macrophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3517	Thermopsis macrophylla var. argentata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3518	Thermopsis macrophylla var. macrophylla	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3519	Thermopsis macrophylla var. semota	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3520	Thermopsis macrophylla var. venosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3521	Trifolium albopurpureum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3522	Trifolium albopurpureum var. albopurpureum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3523	Trifolium albopurpureum var. dichotomum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3524	Trifolium albopurpureum var. olivaceum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3525	Trifolium amoenum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3526	Trifolium andersonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3527	Trifolium andersonii var. andersonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3528	Trifolium andersonii var. beatleyae	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3529	Trifolium angustifolium	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3530	Trifolium arvense	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3531	Trifolium aureum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3532	Trifolium barbigerum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3533	Trifolium barbigerum var. andrewsii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3534	Trifolium barbigerum var. barbigerum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3535	Trifolium beckwithii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3536	Trifolium bifidum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3537	Trifolium bifidum var. bifidum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3538	Trifolium bifidum var. decipiens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3539	Trifolium bolanderi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3540	Trifolium breweri	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3541	Trifolium buckwestiorum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3542	Trifolium campestre	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3543	Trifolium ciliolatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3544	Trifolium cyathiferum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3545	Trifolium depauperatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3546	Trifolium depauperatum var. amplectens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3547	Trifolium depauperatum var. depauperatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3548	Trifolium depauperatum var. hydrophilum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3549	Trifolium depauperatum var. truncatum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3550	Trifolium dubium	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3551	Trifolium eriocephalum var. eriocephalum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3552	Trifolium fragiferum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3553	Trifolium fucatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3554	Trifolium glomeratum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3555	Trifolium gracilentum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3556	Trifolium gracilentum var. gracilentum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3557	Trifolium gracilentum var. palmeri	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3558	Trifolium gymnocarpon var. plummerae	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3559	Trifolium hirtum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3560	Trifolium howellii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3561	Trifolium hybridum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3562	Trifolium incarnatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3563	Trifolium kingii var. productum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3564	Trifolium lemmonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3565	Trifolium longipes	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3566	Trifolium longipes var. elmeri	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3567	Trifolium longipes var. nevadense	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3568	Trifolium longipes var. oreganum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3569	Trifolium longipes var. shastense	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3570	Trifolium macilentum var. dedeckerae	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3571	Trifolium macraei	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3572	Trifolium macrocephalum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3573	Trifolium microcephalum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3574	Trifolium microdon	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3575	Trifolium monanthum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3576	Trifolium monanthum var. grantianum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3577	Trifolium monanthum var. monanthum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3578	Trifolium obtusiflorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3579	Trifolium oliganthum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3580	Trifolium pratense	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3581	Trifolium repens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3582	Trifolium subterraneum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3583	Trifolium trichocalyx	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3584	Trifolium variegatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3585	Trifolium phase	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3586	Trifolium phase	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3587	Trifolium phase	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3588	Trifolium phase	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3589	Trifolium phase	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3590	Trifolium willdenovii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3591	Trifolium wormskioldii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3592	Ulex europaeus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3593	Vicia americana var. americana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3594	Vicia benghalensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3595	Vicia cracca	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3596	Vicia disperma	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3597	Vicia faba	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3598	Vicia gigantea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3599	Vicia hassei	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3600	Vicia hirsuta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3601	Vicia lathyroides	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3602	Vicia ludoviciana var. ludoviciana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3603	Vicia lutea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3604	Vicia pannonica	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3605	Vicia sativa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3606	Vicia sativa ssp. nigra	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3607	Vicia sativa ssp. sativa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3608	Vicia tetrasperma	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3609	Vicia villosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3610	Vicia villosa ssp. varia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3611	Vicia villosa ssp. villosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3612	Chrysolepis chrysophylla	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3613	Chrysolepis chrysophylla var. chrysophylla	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3614	Chrysolepis chrysophylla var. minor	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3615	Chrysolepis sempervirens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3616	Lithocarpus densiflorus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3617	Lithocarpus densiflorus var. densiflorus	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3618	Lithocarpus densiflorus var. echinoides	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3619	Quercus X-acutidens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3620	Quercus agrifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3621	Quercus agrifolia var. agrifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3622	Quercus agrifolia var. oxyadenia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3623	Quercus X-alvordiana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3624	Quercus berberidifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3625	Quercus chrysolepis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3626	Quercus cornelius-mulleri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3627	Quercus douglasii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3628	Quercus dumosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3629	Quercus durata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3630	Quercus durata var. durata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3631	Quercus durata var. gabrielensis	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3632	Quercus engelmannii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3633	Quercus garryana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3634	Quercus garryana var. breweri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3635	Quercus garryana var. garryana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3636	Quercus john-tuckeri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3637	Quercus kelloggii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3638	Quercus lobata	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3639	Quercus X-macdonaldii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3640	Quercus palmeri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3641	Quercus parvula	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3642	Quercus parvula var. parvula	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3643	Quercus parvula var. shrevei	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3644	Quercus sadleriana	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3645	Quercus tomentella	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3646	Quercus turbinella	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3647	Quercus vaccinifolia	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3648	Quercus wislizeni	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3649	Quercus wislizeni var. frutescens	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3650	Quercus wislizeni var. wislizeni	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3651	Fouquieria splendens ssp. splendens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3652	Frankenia palmeri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3653	Frankenia salina	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3654	Garrya buxifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3655	Garrya congdonii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3656	Garrya elliptica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3657	Garrya flavescens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3658	Garrya fremontii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3659	Garrya veatchii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3660	Centaurium calycosum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3661	Centaurium davyi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3662	Centaurium erythraea	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3663	Centaurium exaltatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3664	Centaurium muehlenbergii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3665	Centaurium trichanthum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
3666	Centaurium venustum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3667	Cicendia quadrangularis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3668	Eustoma exaltatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3669	Gentiana affinis var. ovata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3670	Gentiana calycosa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
3671	Gentiana fremontii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
