id	taxon	trait	dstate	value	units	country	state	created.by	created.date
239	Anethum graveolens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
240	Angelica arguta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
241	Angelica breweri	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
242	Angelica californica	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
243	Angelica callii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
244	Angelica genuflexa	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
245	Angelica hendersonii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
246	Angelica kingii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
247	Angelica lineariloba	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
248	Angelica lucida	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
249	Angelica tomentosa	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
250	Anthriscus caucalis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
251	Apiastrum angustifolium	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
252	Apium graveolens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
253	Apium nodiflorum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
254	Berula erecta	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
255	Bowlesia incana	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
256	Bupleurum lancifolium	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
257	Ciclospermum leptophyllum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
258	Cicuta douglasii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
259	Cicuta maculata	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
260	Cicuta maculata var. angustifolia	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
261	Cicuta maculata var. bolanderi	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
262	Conioselinum pacificum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
263	Conium maculatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
264	Coriandrum sativum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
265	Cymopterus aboriginum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
266	Cymopterus cinerarius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
267	Cymopterus deserticola	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
268	Cymopterus gilmanii	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
269	Cymopterus globosus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
270	Cymopterus multinervatus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
271	Cymopterus panamintensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
272	Cymopterus panamintensis var. acutifolius	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
273	Cymopterus panamintensis var. panamintensis	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
274	Cymopterus purpurascens	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
275	Cymopterus ripleyi	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
276	Cymopterus terebinthinus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
277	Cymopterus terebinthinus var. californicus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
278	Cymopterus terebinthinus var. petraeus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
279	Daucus carota	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
280	Daucus pusillus	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
281	Eryngium alismifolium	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
282	Eryngium aristulatum	CFP endemicity	no	3	NA	USA	CA	D. Ackerly	7/21/06
283	Eryngium aristulatum var. aristulatum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
284	Eryngium aristulatum var. hooveri	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
285	Eryngium aristulatum var. parishii	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
286	Eryngium armatum	CFP endemicity	yes	3	NA	USA	CA	D. Ackerly	7/21/06
