id	genus	species	inf	sub	new low	new high	cfp_endemic	Baja Island endem	Native (1=native)	CaRH	KR	NCo	NCoRO	CaRF	NCoRH	NCoRI	nSNH	ScV	nSNF	SnFrB	CCo	cSNF	SnJV	cSNH	sSNH	sSNF	SCoRI	SCoRO	Teh	WTR	SnGb	SnBr	SCo	PR	nChI	SnJt	sChI	BCo	BMtns	OrCo	OrMtns	BG	SNE	MP	WaI	Wrn	DMoj	DMtns	DSon
53	Botrychium	simplex	0	0	2200	3300	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
54	Ophioglossum	californicum	0	0	60	300	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	Ophioglossum	pusillum	0	0	1000	2000	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	Polypodium	californicum	0	0	0	1520	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
57	Polypodium	calirhiza	0	0	0	1220	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	Polypodium	glycyrrhiza	0	0	0	600	0	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	Polypodium	hesperium	0	0	1400	2980	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
60	Polypodium	scouleri	0	0	0	610	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	Adiantum	aleuticum	0	0	0	3400	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	Adiantum	capillus-veneris	0	0	0	2000	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1
63	Adiantum	jordanii	0	0	0	1200	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
64	Argyrochosma	jonesii	0	0	400	1800	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
65	Argyrochosma	limitanea	var.	limitanea	1750	1850	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
66	Aspidotis	californica	0	0	20	1300	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
67	Aspidotis	carlotta-halliae	0	0	100	1400	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	Aspidotis	densa	0	0	100	3400	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Astrolepis	cochisensis	0	0	900	1800	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
