id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
269	Cymopterus globosus	1200	2100	no	yes
270	Cymopterus multinervatus	630	1500	no	yes
271	Cymopterus panamintensis	700	2500	no	yes
272	Cymopterus panamintensis var. acutifolius	700	1000	no	yes
273	Cymopterus panamintensis var. panamintensis	800	2500	no	yes
274	Cymopterus purpurascens	1300	2200	no	yes
275	Cymopterus ripleyi	1000	1600	no	yes
276	Cymopterus terebinthinus	150	3500	no	yes
277	Cymopterus terebinthinus var. californicus	150	3500	no	yes
278	Cymopterus terebinthinus var. petraeus	1800	3400	no	yes
279	Daucus carota	0	1200	no	no
280	Daucus pusillus	0	1500	no	yes
281	Eryngium alismifolium	1300	1800	no	yes
282	Eryngium aristulatum	0	1000	no	yes
283	Eryngium aristulatum var. aristulatum	0	1000	yes	yes
284	Eryngium aristulatum var. hooveri	0	1000	yes	yes
285	Eryngium aristulatum var. parishii	1	150	yes	yes
286	Eryngium armatum	0	200	yes	yes
287	Eryngium articulatum	0	1800	no	yes
288	Eryngium castrense	0	800	yes	yes
289	Eryngium constancei	750	850	yes	yes
290	Eryngium mathiasiae	1000	1500	no	yes
291	Eryngium pinnatisectum	250	450	yes	yes
292	Eryngium racemosum	3	30	yes	yes
293	Eryngium spinosepalum	100	200	yes	yes
294	Eryngium vaseyi	10	600	yes	yes
295	Foeniculum vulgare	0	350	no	no
296	Glehnia littoralis ssp. leiocarpa	-50	50	no	yes
297	Heracleum lanatum	0	2600	no	yes
298	Hydrocotyle moschata	50	150	no	no
299	Hydrocotyle ranunculoides	10	1500	no	yes
300	Hydrocotyle sibthorpioides	250	350	no	no
301	Hydrocotyle umbellata	10	1000	no	yes
302	Hydrocotyle verticillata	0	100	no	yes
303	Ligusticum apiifolium	0	1800	no	yes
304	Ligusticum californicum	15	1500	yes	yes
305	Ligusticum grayi	1400	3300	no	yes
306	Lilaeopsis masonii	-50	50	yes	yes
307	Lilaeopsis occidentalis	-50	50	no	yes
308	Lomatium bicolor var. leptocarpum	1000	2250	no	yes
309	Lomatium californicum	150	1800	no	yes
310	Lomatium canbyi	1950	2050	no	yes
311	Lomatium caruifolium	60	600	no	yes
312	Lomatium caruifolium var. caruifolium	60	600	yes	yes
313	Lomatium caruifolium var. denticulatum	60	500	yes	yes
314	Lomatium ciliolatum	300	600	no	yes
315	Lomatium ciliolatum var. ciliolatum	1200	2100	yes	yes
316	Lomatium ciliolatum var. hooveri	300	600	yes	yes
317	Lomatium congdonii	300	1200	yes	yes
318	Lomatium dasycarpum	0	1600	no	yes
319	Lomatium dasycarpum ssp. dasycarpum	0	1600	yes	yes
320	Lomatium dasycarpum ssp. tomentosum	25	1500	yes	yes
321	Lomatium dissectum	150	3000	no	yes
322	Lomatium dissectum var. dissectum	150	2000	no	yes
323	Lomatium dissectum var. multifidum	600	3000	no	yes
324	Lomatium engelmannii	1150	2300	yes	yes
325	Lomatium foeniculaceum	1600	3300	no	yes
326	Lomatium foeniculaceum ssp. fimbriatum	1600	3300	no	yes
327	Lomatium foeniculaceum ssp. inyoense	0	3000	no	yes
328	Lomatium hallii	100	200	no	yes
329	Lomatium howellii	150	1000	yes	yes
330	Lomatium insulare	0	800	no	yes
331	Lomatium lucidum	450	1500	yes	yes
332	Lomatium macrocarpum	150	3000	no	yes
333	Lomatium marginatum	250	1000	no	yes
334	Lomatium marginatum var. marginatum	250	1000	yes	yes
335	Lomatium marginatum var. purpureum	300	800	yes	yes
336	Lomatium martindalei	240	3000	no	yes
337	Lomatium mohavense	1000	2000	no	yes
338	Lomatium nevadense	1000	3000	no	yes
339	Lomatium nevadense var. nevadense	1500	3000	no	yes
340	Lomatium nevadense var. parishii	1000	3000	no	yes
341	Lomatium nudicaule	180	2000	no	yes
342	Lomatium parryi	1500	2500	no	yes
343	Lomatium parvifolium	70	150	yes	yes
344	Lomatium peckianum	800	1800	no	yes
345	Lomatium piperi	1000	1500	no	yes
346	Lomatium plummerae	1500	2300	no	yes
347	Lomatium ravenii	1000	3000	no	yes
348	Lomatium repostum	100	800	yes	yes
349	Lomatium rigidum	1200	2200	no	yes
350	Lomatium shevockii	2200	2500	yes	yes
351	Lomatium stebbinsii	1250	1700	yes	yes
352	Lomatium torreyi	1100	3300	yes	yes
353	Lomatium tracyi	500	1500	yes	yes
354	Lomatium triternatum	200	2000	no	yes
355	Lomatium triternatum var. macrocarpum	200	1500	no	yes
356	Lomatium triternatum var. triternatum	200	2000	no	yes
357	Lomatium utriculatum	50	1550	no	yes
358	Lomatium vaginatum	600	1900	no	yes
359	Oenanthe pimpinelloides	1450	1550	no	no
360	Oenanthe sarmentosa	0	1000	no	yes
361	Oreonana clementis	1700	4000	yes	yes
362	Oreonana purpurascens	2500	2600	yes	yes
363	Oreonana vestita	2410	3500	yes	yes
364	Orogenia fusiformis	1500	2000	no	yes
365	Osmorhiza berteroi	100	2800	no	yes
366	Osmorhiza brachypoda	200	2000	no	yes
367	Osmorhiza depauperata	500	3300	no	yes
368	Osmorhiza occidentalis	350	3100	no	yes
369	Osmorhiza purpurea	150	2200	no	yes
370	Oxypolis occidentalis	1200	2600	no	yes
371	Pastinaca sativa	0	1000	no	no
372	Perideridia bacigalupii	450	1000	yes	yes
373	Perideridia bolanderi	600	2000	no	yes
374	Perideridia bolanderi ssp. bolanderi	1000	2000	no	yes
375	Perideridia bolanderi ssp. involucrata	600	1000	yes	yes
376	Perideridia californica	300	1250	yes	yes
377	Perideridia gairdneri	0	3000	no	yes
378	Perideridia gairdneri ssp. borealis	0	3000	no	yes
379	Perideridia gairdneri ssp. gairdneri	0	350	yes	yes
380	Perideridia howellii	300	1500	yes	yes
381	Perideridia kelloggii	0	1000	yes	yes
382	Perideridia lemmonii	1000	2500	no	yes
383	Perideridia leptocarpa	600	1500	yes	yes
384	Perideridia oregana	300	2000	no	yes
385	Perideridia parishii	2000	3000	no	yes
386	Perideridia parishii ssp. latifolia	2000	3000	no	yes
387	Perideridia parishii ssp. parishii	2000	3000	no	yes
388	Perideridia pringlei	300	1800	yes	yes
389	Petroselinum crispum	0	1000	no	no
390	Podistera nevadensis	3000	4000	no	yes
391	Sanicula arctopoides	0	250	no	yes
392	Sanicula arguta	0	1200	yes	yes
393	Sanicula bipinnata	20	1000	yes	yes
394	Sanicula bipinnatifida	20	1200	no	yes
395	Sanicula crassicaulis	0	1000	no	yes
396	Sanicula graveolens	600	2600	no	yes
397	Sanicula hoffmannii	80	300	yes	yes
398	Sanicula laciniata	30	900	yes	yes
399	Sanicula maritima	100	200	yes	yes
