id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
4097	Salvia leucophylla	50	800	yes	yes
4098	Salvia mellifera	0	1200	yes	yes
4099	Salvia mohavensis	300	1500	no	yes
4100	Salvia munzii	0	800	no	yes
4101	Salvia pachyphylla	1400	2500	no	yes
4102	Salvia sonomensis	0	2000	yes	yes
4103	Salvia spathacea	0	800	yes	yes
4104	Salvia vaseyi	0	800	no	yes
4105	Salvia verbenacea	0	200	no	no
4106	Satureja chandleri	520	690	yes	yes
4107	Satureja douglasii	0	900	no	yes
4108	Satureja mimuloides	400	1800	yes	yes
4109	Scutellaria antirrhinoides	0	2000	no	yes
4110	Scutellaria bolanderi	300	2000	no	yes
4111	Scutellaria bolanderi ssp. austromontana	600	2000	no	yes
4112	Scutellaria bolanderi ssp. bolanderi	300	1500	yes	yes
4113	Scutellaria californica	300	2000	yes	yes
4114	Scutellaria galericulata	1000	2100	no	yes
4115	Scutellaria lateriflora	0	500	no	yes
4116	Scutellaria nana	1000	1900	no	yes
4117	Scutellaria siphocampyloides	300	2300	yes	yes
4118	Scutellaria tuberosa	200	1000	yes	yes
4119	Stachys ajugoides	0	2500	no	yes
4120	Stachys ajugoides var. ajugoides	0	1000	no	yes
4121	Stachys ajugoides var. rigida	0	2500	no	yes
4122	Stachys albens	0	3000	no	yes
4123	Stachys arvensis	0	50	no	no
4124	Stachys bullata	0	500	yes	yes
4125	Stachys chamissonis	0	150	yes	yes
4126	Stachys palustris ssp. pilosa	1200	1500	no	yes
4127	Stachys pycnantha	0	1100	yes	yes
4128	Stachys stricta	0	600	yes	yes
4129	Teucrium cubense ssp. depressum	0	400	no	yes
4130	Teucrium glandulosum	400	500	no	yes
4131	Trichostema austromontanum	1000	2500	no	yes
4132	Trichostema austromontanum ssp. austromontanum	1000	2500	no	yes
4133	Trichostema austromontanum ssp. compactum	2450	2550	yes	yes
4134	Trichostema lanatum	0	800	no	yes
4135	Trichostema lanceolatum	0	1000	no	yes
4136	Trichostema laxum	0	1500	yes	yes
4137	Trichostema micranthum	2000	2300	no	yes
4138	Trichostema oblongum	100	3000	no	yes
4139	Trichostema ovatum	0	300	yes	yes
4140	Trichostema parishii	600	2000	yes	yes
4141	Trichostema rubisepalum	300	1000	yes	yes
4142	Trichostema simulatum	500	1500	no	yes
4143	Umbellularia californica	0	1600	yes	yes
4144	Pholisma arenarium	0	1900	no	yes
4145	Pholisma sonorae	0	200	no	yes
4146	Pinguicula vulgaris ssp. macroceras	0	500	yes	yes
4147	Utricularia gibba	0	1600	no	no
4148	Utricularia intermedia	1200	2700	no	yes
4149	Utricularia minor	800	2900	no	yes
4150	Utricularia vulgaris	0	2700	no	yes
4151	Floerkea proserpinacoides	1500	3200	no	yes
4152	Limnanthes alba	0	1800	no	yes
4153	Limnanthes alba ssp. alba	0	1400	yes	yes
4154	Limnanthes alba ssp. versicolor	0	1800	yes	yes
4155	Limnanthes bakeri	0	500	yes	yes
4156	Limnanthes douglasii	0	1000	no	yes
4157	Limnanthes douglasii ssp. douglasii	0	700	no	yes
4158	Limnanthes douglasii ssp. nivea	0	1000	yes	yes
4159	Limnanthes douglasii ssp. rosea	0	120	yes	yes
4160	Limnanthes douglasii ssp. sulphurea	0	100	yes	yes
4161	Limnanthes floccosa	10	400	no	yes
4162	Limnanthes floccosa ssp. californica	0	100	yes	yes
4163	Limnanthes floccosa ssp. floccosa	0	400	yes	yes
4164	Limnanthes gracilis ssp. parishii	600	2000	yes	yes
4165	Limnanthes montana	0	1700	yes	yes
4166	Limnanthes striata	0	800	yes	yes
4167	Limnanthes vinculans	0	300	yes	yes
4168	Hesperolinon adenophyllum	150	1000	yes	yes
4169	Hesperolinon bicarpellatum	60	1000	yes	yes
4170	Hesperolinon breweri	30	700	yes	yes
4171	Hesperolinon californicum	30	1300	yes	yes
4172	Hesperolinon clevelandii	150	1400	yes	yes
4173	Hesperolinon congestum	0	200	yes	yes
4174	Hesperolinon didymocarpum	100	200	yes	yes
4175	Hesperolinon disjunctum	100	1000	yes	yes
4176	Hesperolinon drymarioides	100	1000	yes	yes
4177	Hesperolinon micranthum	50	2000	no	yes
4178	Hesperolinon serpentinum	50	800	yes	yes
4179	Hesperolinon spergulinum	100	1000	yes	yes
4180	Hesperolinon tehamense	100	1000	yes	yes
4181	Linum bienne	0	1000	no	no
4182	Linum grandiflorum	0	150	no	no
4183	Linum lewisii	400	3000	no	yes
4184	Linum lewisii var. alpicola	2000	3400	no	yes
4185	Linum lewisii var. lewisii	400	3000	no	yes
4186	Linum puberulum	1000	2500	no	yes
4187	Linum usitatissimum	0	100	no	no
4188	Sclerolinon digynum	1000	1800	no	yes
4189	Eucnide rupestris	500	600	no	yes
4190	Eucnide urens	0	1400	no	yes
4191	Mentzelia affinis	0	1200	no	yes
4192	Mentzelia albicaulis	500	2300	no	yes
4193	Mentzelia congesta	1500	2700	no	yes
4194	Mentzelia crocea	0	1500	yes	yes
4195	Mentzelia desertorum	0	700	no	yes
4196	Mentzelia dispersa	0	2500	no	yes
4197	Mentzelia eremophila	700	1100	no	yes
4198	Mentzelia gracilenta	200	1500	yes	yes
4199	Mentzelia hirsutissima	0	600	no	yes
4200	Mentzelia involucrata	0	900	no	yes
4201	Mentzelia inyoensis	1900	2000	no	yes
4202	Mentzelia jonesii	200	1500	no	yes
4203	Mentzelia laevicaulis	0	2700	no	yes
4204	Mentzelia lindleyi	0	800	yes	yes
4205	Mentzelia micrantha	0	1600	no	yes
4206	Mentzelia montana	1200	2600	no	yes
4207	Mentzelia multiflora ssp. longiloba	0	700	no	yes
4208	Mentzelia nitens	500	1800	no	yes
4209	Mentzelia obscura	200	1500	no	yes
4210	Mentzelia oreophila	900	1800	no	yes
4211	Mentzelia pectinata	0	1800	yes	yes
4212	Mentzelia polita	1200	1500	no	yes
4213	Mentzelia pterosperma	1050	1150	no	yes
4214	Mentzelia reflexa	0	1200	no	yes
4215	Mentzelia torreyi	1200	2100	no	yes
4216	Mentzelia tricuspis	200	400	no	yes
4217	Mentzelia tridentata	700	1000	no	yes
4218	Mentzelia veatchiana	400	1900	no	yes
4219	Petalonyx linearis	0	1000	no	yes
4220	Petalonyx nitidus	1000	2100	no	yes
4221	Petalonyx thurberi	0	1200	no	yes
4222	Petalonyx thurberi ssp. gilmanii	0	1200	no	yes
4223	Petalonyx thurberi ssp. thurberi	0	1200	no	yes
4224	Ammannia coccinea	0	300	no	yes
4225	Ammannia robusta	0	500	no	yes
4226	Lythrum californicum	0	2200	no	yes
4227	Lythrum hyssopifolia	0	1600	no	no
4228	Lythrum portula	1000	2200	no	no
4229	Lythrum salicaria	0	1000	no	no
4230	Lythrum tribracteatum	0	1500	no	no
4231	Rotala indica	0	100	no	no
4232	Rotala ramosior	0	1900	no	yes
4233	Abutilon palmeri	600	800	no	yes
4234	Abutilon parvulum	900	1300	no	yes
4235	Abutilon theophrasti	0	100	no	no
4236	Alcea rosea	0	100	no	no
4237	Anoda cristata	0	800	no	no
4238	Eremalche exilis	0	1500	no	yes
4239	Eremalche parryi	100	1300	no	yes
4240	Eremalche parryi ssp. kernensis	100	1000	yes	yes
4241	Eremalche parryi ssp. parryi	100	1300	yes	yes
4242	Eremalche rotundifolia	-50	1200	no	yes
4243	Herissantia crispa	0	600	no	yes
4244	Hibiscus denudatus	0	800	no	yes
4245	Hibiscus lasiocarpus	0	40	no	yes
4246	Hibiscus trionum	0	100	no	no
4247	Horsfordia alata	100	500	no	yes
4248	Horsfordia newberryi	100	800	no	yes
4249	Iliamna bakeri	1000	2500	no	yes
4250	Iliamna latibracteata	500	2000	no	yes
4251	Lavatera arborea	0	100	no	no
4252	Lavatera assurgentiflora	0	350	yes	yes
4253	Lavatera cretica	0	50	no	no
4254	Malacothamnus abbottii	0	400	yes	yes
4255	Malacothamnus aboriginum	150	1700	yes	yes
4256	Malacothamnus clementinus	200	300	yes	yes
4257	Malacothamnus davidsonii	250	700	yes	yes
4258	Malacothamnus densiflorus	100	1100	yes	yes
4259	Malacothamnus fasciculatus	0	600	no	yes
4260	Malacothamnus fremontii	60	1300	no	yes
4261	Malacothamnus jonesii	250	830	yes	yes
4262	Malacothamnus marrubioides	450	1100	yes	yes
4263	Malacothamnus palmeri	30	800	yes	yes
4264	Malva neglecta	0	3000	no	no
4265	Malva nicaeensis	0	400	no	no
4266	Malva parviflora	0	1500	no	no
4267	Malva sylvestris	0	300	no	no
4268	Malvella leprosa	0	1000	no	yes
4269	Modiola caroliniana	0	400	no	no
4270	Sida rhombifolia	0	300	no	no
4271	Sidalcea calycosa	0	1200	no	yes
4272	Sidalcea calycosa ssp. calycosa	0	1200	yes	yes
4273	Sidalcea calycosa ssp. rhizomata	0	30	yes	yes
4274	Sidalcea covillei	1100	1300	no	yes
4275	Sidalcea diploscypha	0	800	yes	yes
4276	Sidalcea glaucescens	900	3000	yes	yes
4277	Sidalcea hartwegii	0	1000	yes	yes
4278	Sidalcea hickmanii	50	2200	no	yes
4279	Sidalcea hickmanii ssp. anomala	600	800	yes	yes
4280	Sidalcea hickmanii ssp. hickmanii	500	1200	yes	yes
4281	Sidalcea hickmanii ssp. parishii	1000	2500	yes	yes
4282	Sidalcea hickmanii ssp. viridis	50	400	yes	yes
4283	Sidalcea hirsuta	0	1100	yes	yes
4284	Sidalcea keckii	350	450	yes	yes
4285	Sidalcea malachroides	0	700	yes	yes
4286	Sidalcea malviflora	0	2300	no	no
4287	Sidalcea malviflora ssp. asprella	100	2300	no	no
4288	Sidalcea malviflora ssp. californica	0	1000	yes	yes
4289	Sidalcea malviflora ssp. dolosa	1500	2300	yes	yes
4290	Sidalcea malviflora ssp. laciniata	0	700	yes	yes
4291	Sidalcea malviflora ssp. malviflora	0	500	yes	yes
4292	Sidalcea malviflora ssp. patula	0	700	yes	yes
4293	Sidalcea malviflora ssp. purpurea	0	50	no	no
4294	Sidalcea malviflora ssp. sparsifolia	0	2200	yes	yes
4295	Sidalcea multifida	2000	2500	no	yes
4296	Sidalcea neomexicana	0	1500	no	yes
4297	Sidalcea oregana	0	3000	no	yes
4298	Sidalcea oregana ssp. eximia	0	1200	yes	yes
4299	Sidalcea oregana ssp. hydrophila	1100	2300	yes	yes
4300	Sidalcea oregana ssp. oregana	500	2500	no	yes
4301	Sidalcea oregana ssp. spicata	1100	3000	no	yes
4302	Sidalcea oregana ssp. valida	100	200	yes	yes
4303	Sidalcea pedata	1600	2500	yes	yes
4304	Sidalcea ranunculacea	2000	3000	yes	yes
4305	Sidalcea reptans	1200	2000	yes	yes
4306	Sidalcea robusta	100	1600	yes	yes
4307	Sidalcea stipularis	650	750	yes	yes
4308	Sphaeralcea ambigua	150	2500	no	yes
4309	Sphaeralcea ambigua var. ambigua	150	2500	no	yes
4310	Sphaeralcea ambigua var. rosacea	150	800	no	yes
4311	Sphaeralcea ambigua var. rugosa	150	2500	no	yes
4312	Sphaeralcea angustifolia	-6	500	no	yes
4313	Sphaeralcea coulteri	0	300	no	yes
4314	Sphaeralcea emoryi var. emoryi	0	600	no	yes
4315	Sphaeralcea grossulariifolia	150	250	no	yes
4316	Sphaeralcea munroana	1950	2050	no	yes
4317	Sphaeralcea orcuttii	-20	900	no	yes
4318	Sphaeralcea rusbyi var. eremicola	1300	1500	no	yes
4319	Proboscidea althaeifolia	0	1000	no	yes
4320	Proboscidea louisianica ssp. louisianica	0	500	no	no
4321	Proboscidea lutea	0	500	no	no
4322	Proboscidea parviflora ssp. parviflora	0	1000	no	yes
4323	Melia azedarach	0	200	no	no
4324	Menyanthes trifoliata	900	3200	no	yes
4325	Nymphoides peltata	1050	1150	no	no
4326	Glinus lotoides	0	1000	no	no
4327	Mollugo cerviana	0	1700	no	no
4328	Mollugo verticillata	0	1000	no	no
4329	Ficus carica	0	800	no	no
4330	Maclura pomifera	0	150	no	no
4331	Morus alba	0	1300	no	no
4332	Myoporum laetum	0	200	no	no
4333	Myrica californica	0	150	no	yes
4334	Myrica hartwegii	300	1500	yes	yes
4335	Eucalyptus camaldulensis	0	300	no	no
4336	Eucalyptus citriodora	150	250	no	no
4337	Eucalyptus cladocalyx	150	250	no	no
4338	Eucalyptus globulus	0	300	no	no
4339	Eucalyptus polyanthemos	0	200	no	no
4340	Eucalyptus pulverulenta	0	250	no	no
4341	Eucalyptus sideroxylon	0	200	no	no
4342	Eucalyptus tereticornis	0	200	no	no
4343	Eucalyptus viminalis	0	100	no	no
4344	Leptospermum laevigatum	0	100	no	no
4345	Luma apiculata	50	150	no	no
4346	Abronia alpina	2400	2700	yes	yes
4347	Abronia gracilis	0	500	no	yes
4348	Abronia latifolia	0	100	no	yes
4349	Abronia maritima	0	100	no	yes
4350	Abronia nana ssp. covillei	1600	2800	no	yes
4351	Abronia pogonantha	0	1550	no	yes
4352	Abronia turbinata	900	2500	no	yes
4353	Abronia umbellata	0	100	no	yes
4354	Abronia umbellata ssp. breviflora	0	100	yes	yes
4355	Abronia umbellata ssp. umbellata	0	100	no	yes
4356	Abronia villosa	0	1600	no	yes
4357	Abronia villosa var. aurita	0	1600	no	yes
4358	Abronia villosa var. villosa	0	1000	no	yes
4359	Acleisanthes longiflora	10	2500	no	yes
4360	Allionia incarnata	0	1500	no	yes
4361	Anulocaulis annulatus	0	1200	no	yes
4362	Boerhavia coccinea	0	1000	no	yes
4363	Boerhavia coulteri	0	1150	no	yes
4364	Boerhavia intermedia	0	1300	no	yes
4365	Boerhavia triquetra	0	1600	no	yes
4366	Boerhavia wrightii	0	1400	no	yes
4367	Mirabilis alipes	1200	2000	no	yes
4368	Mirabilis bigelovii	0	2300	no	yes
4369	Mirabilis bigelovii var. bigelovii	0	200	no	yes
4370	Mirabilis bigelovii var. retrorsa	0	2300	no	yes
4371	Mirabilis californica	0	1000	no	yes
4372	Mirabilis coccinea	1300	1800	no	yes
4373	Mirabilis greenei	0	1000	yes	yes
4374	Mirabilis jalapa	0	300	no	no
4375	Mirabilis linearis var. linearis	0	300	no	no
4376	Mirabilis multiflora	0	2500	no	yes
4377	Mirabilis multiflora var. glandulosa	900	2500	no	yes
4378	Mirabilis multiflora var. pubescens	50	2100	no	yes
4379	Mirabilis nyctaginea	0	400	no	no
4380	Mirabilis oblongifolia	1500	2500	no	yes
4381	Mirabilis pumila	1400	2500	no	yes
4382	Mirabilis tenuiloba	0	500	no	yes
4383	Selinocarpus nevadensis	1200	1300	no	yes
4384	Tripterocalyx crux-maltae	1200	1500	no	yes
4385	Tripterocalyx micranthus	800	2450	no	yes
4386	Nuphar lutea ssp. polysepala	0	2500	no	no
4387	Nymphaea mexicana	0	100	no	no
4388	Nymphaea odorata	0	2700	no	no
4389	Forestiera pubescens	100	1800	no	yes
4390	Fraxinus anomala	1100	2400	no	yes
4391	Fraxinus dipetala	100	1300	yes	yes
4392	Fraxinus latifolia	0	1700	no	yes
4393	Fraxinus velutina	200	1600	no	yes
4394	Menodora scabra	1200	1800	no	yes
4395	Menodora scoparia	600	2000	no	yes
4396	Menodora spinescens	900	2300	no	yes
4397	Olea europaea	0	200	no	no
4398	Camissonia andina	500	2000	no	yes
4399	Camissonia arenaria	0	430	no	yes
4400	Camissonia benitensis	550	650	yes	yes
4401	Camissonia bistorta	0	600	yes	yes
4402	Camissonia boothii	0	2400	no	yes
4403	Camissonia boothii ssp. alyssoides	600	1700	no	yes
4404	Camissonia boothii ssp. boothii	900	2400	no	yes
4405	Camissonia boothii ssp. condensata	-70	1200	no	yes
4406	Camissonia boothii ssp. decorticans	0	1850	yes	yes
4407	Camissonia boothii ssp. desertorum	450	2000	no	yes
4408	Camissonia boothii ssp. intermedia	1500	2150	no	yes
4409	Camissonia brevipes	-70	1800	no	yes
4410	Camissonia brevipes ssp. arizonica	70	300	no	yes
4411	Camissonia brevipes ssp. brevipes	-70	1800	no	yes
4412	Camissonia brevipes ssp. pallidula	70	1100	no	yes
4413	Camissonia californica	0	1300	no	yes
4414	Camissonia campestris	0	2000	no	yes
4415	Camissonia campestris ssp. campestris	0	2000	no	yes
4416	Camissonia campestris ssp. obispoensis	100	500	yes	yes
4417	Camissonia cardiophylla	0	1400	no	yes
4418	Camissonia cardiophylla ssp. cardiophylla	0	600	no	yes
4419	Camissonia cardiophylla ssp. robusta	600	1400	no	yes
4420	Camissonia chamaenerioides	-50	1300	no	yes
4421	Camissonia cheiranthifolia	0	100	no	yes
4422	Camissonia cheiranthifolia ssp. cheiranthifolia	0	100	yes	yes
4423	Camissonia cheiranthifolia ssp. suffruticosa	0	100	yes	yes
4424	Camissonia claviformis	-70	2000	no	yes
4425	Camissonia claviformis ssp. aurantiaca	-70	900	no	yes
4426	Camissonia claviformis ssp. claviformis	850	1700	no	yes
4427	Camissonia claviformis ssp. cruciformis	600	1400	no	yes
4428	Camissonia claviformis ssp. funerea	-70	900	no	yes
4429	Camissonia claviformis ssp. integrior	1200	2000	no	yes
4430	Camissonia claviformis ssp. lancifolia	1200	1700	no	yes
4431	Camissonia claviformis ssp. peirsonii	-70	300	no	yes
4432	Camissonia claviformis ssp. yumae	0	300	no	yes
4433	Camissonia confusa	300	2000	yes	yes
4434	Camissonia contorta	0	2300	no	yes
4435	Camissonia graciliflora	0	800	yes	yes
4436	Camissonia guadalupensis ssp. clementina	0	30	yes	yes
4437	Camissonia hardhamiae	240	600	yes	yes
4438	Camissonia heterochroma	600	2100	no	yes
4439	Camissonia hirtella	0	2300	yes	yes
4440	Camissonia ignota	100	1100	yes	yes
4441	Camissonia integrifolia	700	1000	yes	yes
4442	Camissonia intermedia	300	800	no	yes
4443	Camissonia kernensis	700	1800	no	yes
4444	Camissonia kernensis ssp. gilmanii	760	1800	no	yes
4445	Camissonia kernensis ssp. kernensis	850	1800	no	yes
4446	Camissonia lacustris	400	600	yes	yes
4447	Camissonia lewisii	0	300	no	yes
4448	Camissonia luciae	300	1400	yes	yes
4449	Camissonia micrantha	0	300	yes	yes
4450	Camissonia minor	1150	1250	no	yes
4451	Camissonia munzii	600	1600	no	yes
4452	Camissonia ovata	0	500	yes	yes
4453	Camissonia pallida	30	1800	no	yes
4454	Camissonia pallida ssp. hallii	30	1800	no	yes
4455	Camissonia pallida ssp. pallida	30	1800	no	yes
4456	Camissonia palmeri	600	1400	no	yes
4457	Camissonia parvula	1000	2000	no	yes
4458	Camissonia pterosperma	1400	2400	no	yes
4459	Camissonia pubens	1000	3000	no	yes
4460	Camissonia pusilla	760	3000	no	yes
4461	Camissonia refracta	-30	1300	no	yes
4462	Camissonia robusta	0	300	yes	yes
4463	Camissonia sierrae	500	2350	no	yes
4464	Camissonia sierrae ssp. alticola	2000	2350	yes	yes
4465	Camissonia sierrae ssp. sierrae	500	1300	yes	yes
4466	Camissonia strigulosa	0	2100	no	yes
4467	Camissonia subacaulis	450	2600	no	yes
4468	Camissonia tanacetifolia	700	2500	no	yes
4469	Camissonia tanacetifolia ssp. quadriperforata	1300	1500	no	yes
4470	Camissonia tanacetifolia ssp. tanacetifolia	700	2500	no	yes
4471	Camissonia walkeri ssp. tortilis	600	1800	no	yes
4472	Circaea alpina ssp. pacifica	0	2700	no	yes
4473	Clarkia affinis	0	500	yes	yes
4474	Clarkia amoena	0	700	no	yes
4475	Clarkia amoena ssp. amoena	0	100	yes	yes
4476	Clarkia amoena ssp. huntiana	0	700	no	yes
4477	Clarkia amoena ssp. whitneyi	0	100	yes	yes
4478	Clarkia arcuata	0	1000	yes	yes
4479	Clarkia australis	800	1500	yes	yes
4480	Clarkia biloba	300	1000	no	yes
4481	Clarkia biloba ssp. australis	300	500	yes	yes
4482	Clarkia biloba ssp. biloba	0	1000	yes	yes
4483	Clarkia biloba ssp. brandegeae	0	500	yes	yes
4484	Clarkia borealis	400	800	no	yes
4485	Clarkia borealis ssp. arida	450	550	yes	yes
4486	Clarkia borealis ssp. borealis	400	800	yes	yes
4487	Clarkia bottae	0	1000	yes	yes
4488	Clarkia breweri	0	1000	yes	yes
4489	Clarkia concinna	0	1500	no	yes
4490	Clarkia concinna ssp. automixa	0	1500	yes	yes
4491	Clarkia concinna ssp. concinna	0	1500	yes	yes
4492	Clarkia concinna ssp. raichei	0	100	yes	yes
4493	Clarkia cylindrica	0	1000	no	yes
4494	Clarkia cylindrica ssp. clavicarpa	0	1000	yes	yes
4495	Clarkia cylindrica ssp. cylindrica	0	1000	yes	yes
4496	Clarkia davyi	0	100	yes	yes
4497	Clarkia delicata	0	1000	yes	yes
4498	Clarkia dudleyana	0	1500	yes	yes
4499	Clarkia epilobioides	0	1000	no	yes
4500	Clarkia exilis	0	1000	yes	yes
4501	Clarkia franciscana	0	100	yes	yes
4502	Clarkia gracilis	0	1500	no	yes
4503	Clarkia gracilis ssp. albicaulis	450	550	yes	yes
4504	Clarkia gracilis ssp. gracilis	0	1500	no	yes
4505	Clarkia gracilis ssp. sonomensis	0	500	no	yes
4506	Clarkia gracilis ssp. tracyi	100	500	yes	yes
4507	Clarkia heterandra	500	1700	yes	yes
4508	Clarkia imbricata	0	100	yes	yes
4509	Clarkia jolonensis	450	550	yes	yes
4510	Clarkia lassenensis	500	2000	no	yes
4511	Clarkia lewisii	0	300	yes	yes
4512	Clarkia lingulata	400	450	yes	yes
4513	Clarkia mildrediae	500	1600	yes	yes
4514	Clarkia modesta	0	1000	yes	yes
4515	Clarkia mosquinii	135	235	yes	yes
4516	Clarkia prostrata	0	100	yes	yes
4517	Clarkia purpurea	0	1500	no	yes
4518	Clarkia purpurea ssp. purpurea	0	100	yes	yes
4519	Clarkia purpurea ssp. quadrivulnera	0	1500	yes	yes
4520	Clarkia purpurea ssp. viminea	0	1500	no	yes
4521	Clarkia rhomboidea	0	2500	no	yes
4522	Clarkia rostrata	450	550	yes	yes
4523	Clarkia rubicunda	0	500	yes	yes
4524	Clarkia similis	0	1000	yes	yes
4525	Clarkia speciosa	0	700	no	yes
4526	Clarkia speciosa ssp. immaculata	0	100	yes	yes
4527	Clarkia speciosa ssp. nitens	0	700	yes	yes
4528	Clarkia speciosa ssp. polyantha	0	700	yes	yes
4529	Clarkia speciosa ssp. speciosa	0	500	yes	yes
4530	Clarkia springvillensis	450	550	yes	yes
4531	Clarkia stellata	1000	1500	yes	yes
4532	Clarkia tembloriensis	100	500	no	yes
4533	Clarkia tembloriensis ssp. calientensis	450	550	yes	yes
4534	Clarkia tembloriensis ssp. tembloriensis	100	500	yes	yes
4535	Clarkia unguiculata	0	1500	yes	yes
4536	Clarkia virgata	400	1100	yes	yes
4537	Clarkia williamsonii	400	2000	yes	yes
4538	Clarkia xantiana	500	2000	no	yes
4539	Clarkia xantiana ssp. parviflora	1000	1500	yes	yes
4540	Clarkia xantiana ssp. xantiana	500	2000	yes	yes
4541	Epilobium anagallidifolium	2100	3700	no	yes
4542	Epilobium angustifolium ssp. circumvagum	0	3300	no	yes
4543	Epilobium brachycarpum	0	3300	no	yes
4544	Epilobium canum	0	3000	no	yes
4545	Epilobium canum ssp. canum	0	1500	yes	yes
4546	Epilobium canum ssp. latifolium	500	3000	no	yes
4547	Epilobium ciliatum	0	4100	no	yes
4548	Epilobium ciliatum ssp. ciliatum	0	4100	no	yes
4549	Epilobium ciliatum ssp. glandulosum	0	3500	no	yes
4550	Epilobium ciliatum ssp. watsonii	0	350	no	yes
4551	Epilobium clavatum	1200	3600	no	yes
4552	Epilobium cleistogamum	0	300	yes	yes
4553	Epilobium densiflorum	0	2600	no	yes
4554	Epilobium foliosum	20	1500	no	yes
4555	Epilobium glaberrimum	600	3800	no	yes
4556	Epilobium glaberrimum ssp. fastigiatum	1200	3800	no	yes
4557	Epilobium glaberrimum ssp. glaberrimum	600	3000	no	yes
4558	Epilobium hallianum	600	3200	no	yes
4559	Epilobium hornemannii ssp. hornemannii	1500	3400	no	yes
4560	Epilobium howellii	2000	2700	yes	yes
4561	Epilobium lactiflorum	1400	3300	no	yes
4562	Epilobium latifolium	2500	3100	no	yes
4563	Epilobium leptophyllum	1950	2050	no	no
4564	Epilobium luteum	1450	1550	no	yes
4565	Epilobium minutum	100	1600	no	yes
4566	Epilobium nivium	1500	2500	yes	yes
4567	Epilobium obcordatum	1900	4000	no	yes
4568	Epilobium oreganum	500	1600	no	yes
4569	Epilobium oregonense	1700	3600	no	yes
4570	Epilobium pallidum	60	1800	no	yes
4571	Epilobium palustre	2150	2250	no	yes
4572	Epilobium pygmaeum	0	2500	no	yes
4573	Epilobium rigidum	150	1200	no	yes
4574	Epilobium saximontanum	1400	3500	no	yes
4575	Epilobium septentrionale	100	1800	yes	yes
4576	Epilobium siskiyouense	1700	2500	no	yes
4577	Epilobium torreyi	0	2600	no	yes
4578	Gaura coccinea	900	1600	no	yes
4579	Gaura drummondii	0	300	no	no
4580	Gaura parviflora	0	400	no	no
4581	Gaura sinuata	0	1000	no	no
4582	Gayophytum decipiens	1800	4200	no	yes
4583	Gayophytum diffusum	800	3700	no	yes
4584	Gayophytum diffusum ssp. diffusum	800	3700	no	yes
4585	Gayophytum diffusum ssp. parviflorum	800	3700	no	yes
4586	Gayophytum eriospermum	100	3000	yes	yes
4587	Gayophytum heterozygum	800	3000	no	yes
4588	Gayophytum humile	800	3000	no	yes
4589	Gayophytum oligospermum	1300	2800	yes	yes
4590	Gayophytum racemosum	1000	4000	no	yes
4591	Gayophytum ramosissimum	500	3000	no	yes
4592	Ludwigia hexapetala	0	300	no	yes
4593	Ludwigia palustris	0	1000	no	yes
4594	Ludwigia peploides	0	900	no	yes
4595	Ludwigia peploides ssp. montevidensis	0	500	no	no
4596	Ludwigia peploides ssp. peploides	0	900	no	yes
4597	Ludwigia repens	0	900	no	yes
4598	Oenothera biennis	0	300	no	no
4599	Oenothera caespitosa	1100	3400	no	yes
4600	Oenothera caespitosa ssp. crinita	1150	3370	no	yes
4601	Oenothera caespitosa ssp. marginata	0	2400	no	yes
4602	Oenothera californica	0	2500	no	yes
4603	Oenothera californica ssp. avita	800	2500	no	yes
4604	Oenothera californica ssp. californica	0	1900	no	yes
4605	Oenothera californica ssp. eurekensis	900	1200	no	yes
4606	Oenothera deltoides	0	1800	no	yes
4607	Oenothera deltoides ssp. cognata	0	700	no	yes
4608	Oenothera deltoides ssp. deltoides	0	1100	no	yes
4609	Oenothera deltoides ssp. howellii	0	100	yes	yes
4610	Oenothera deltoides ssp. piperi	850	1800	no	yes
4611	Oenothera elata	0	2800	no	yes
4612	Oenothera elata ssp. hirsutissima	0	2800	no	yes
4613	Oenothera elata ssp. hookeri	0	200	yes	yes
4614	Oenothera flava ssp. flava	900	1600	no	yes
4615	Oenothera glazioviana	0	500	no	no
4616	Oenothera laciniata	0	500	no	no
4617	Oenothera longissima	1000	1700	no	yes
4618	Oenothera primiveris	30	1400	no	yes
4619	Oenothera primiveris ssp. bufonis	30	1400	no	yes
4620	Oenothera primiveris ssp. primiveris	30	1400	no	yes
4621	Oenothera pubescens	550	650	no	yes
4622	Oenothera rosea	0	500	no	no
4623	Oenothera speciosa	0	500	no	no
4624	Oenothera stricta ssp. stricta	0	500	no	no
4625	Oenothera villosa ssp. strigosa	500	2000	no	yes
4626	Oenothera wolfii	0	100	yes	yes
4627	Oenothera xylocarpa	2200	3100	no	yes
4628	Boschniakia hookeri	0	300	no	yes
4629	Boschniakia strobilacea	0	3000	yes	yes
4630	Orobanche bulbosa	0	1700	yes	yes
4631	Orobanche californica	0	2500	no	yes
4632	Orobanche californica ssp. californica	0	150	yes	yes
4633	Orobanche californica ssp. feudgei	700	2500	no	yes
4634	Orobanche californica ssp. grandis	0	250	yes	yes
4635	Orobanche californica ssp. grayana	1200	1800	no	yes
4636	Orobanche californica ssp. jepsonii	0	2200	yes	yes
4637	Orobanche cooperi	0	500	no	yes
4638	Orobanche corymbosa	1200	2800	no	yes
4639	Orobanche fasciculata	0	3300	no	yes
4640	Orobanche parishii	0	2800	no	yes
