id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
47	Salix lucida ssp. lasiandra	Seed mass	0.041	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	seed_mass	0.041236364	mg
48	Sambucus mexicana	Seed mass	3.855	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	seed_mass	3.854515432	mg
49	Sequoia sempervirens	Seed mass	3.713	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	seed_mass	3.713235294	mg
50	Solanum umbelliferum	Seed mass	9.130	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	seed_mass	9.13	mg
51	Symphoricarpos albus var. laevigatus	Seed mass	5.496	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	seed_mass	5.496337255	mg
52	Symphoricarpos mollis	Seed mass	7.953	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	seed_mass	7.9525	mg
53	Toxicodendron diversilobum	Seed mass	35.228	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Toxicodendron diversilobum	seed_mass	35.22753247	mg
54	Umbellularia californica	Seed mass	2909.542	mg	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	seed_mass	2909.54225	mg
55	Acer macrophyllum	Wood density	0.432	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	wood_density	0.432317741	mm-2
56	Acer negundo var. californicum	Wood density	0.492	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	wood_density	0.491722977	mm-2
57	Adenostoma fasciculatum	Wood density	0.751	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	wood_density	0.751012489	mm-2
58	Aesculus californica	Wood density	0.483	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	wood_density	0.482692187	mm-2
59	Alnus rhombifolia	Wood density	0.524	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	wood_density	0.524421251	mm-2
60	Amelanchier utahensis	Wood density	0.798	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	wood_density	0.798413987	mm-2
61	Arbutus menziesii	Wood density	0.572	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	wood_density	0.571839825	mm-2
62	Artemisia californica	Wood density	0.753	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	wood_density	0.752895991	mm-2
63	Baccharis pilularis	Wood density	0.592	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	wood_density	0.592036792	mm-2
64	Ceanothus cuneatus var. cuneatus	Wood density	0.698	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	wood_density	0.697505718	mm-2
65	Ceanothus oliganthus var. sorediatus	Wood density	0.670	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	wood_density	0.669869297	mm-2
66	Cercocarpus betuloides var. betuloides	Wood density	0.800	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	wood_density	0.800208308	mm-2
67	Clematis lasiantha	Wood density	0.584	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	wood_density	0.583842597	mm-2
68	Cornus glabrata	Wood density	0.683	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	wood_density	0.682881796	mm-2
69	Cornus sericea ssp. sericea	Wood density	0.482	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	wood_density	0.482239915	mm-2
70	Corylus cornuta var. californica	Wood density	0.563	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	wood_density	0.562635554	mm-2
71	Dirca occidentalis	Wood density	0.326	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	wood_density	0.326361654	mm-2
72	Eriodictyon californicum	Wood density	0.544	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	wood_density	0.543656396	mm-2
73	Eriophyllum confertiflorum var. confertiflorum	Wood density	0.664	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriophyllum confertiflorum var. confertiflorum	wood_density	0.664323017	mm-2
74	Heteromeles arbutifolia	Wood density	0.628	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	wood_density	0.628373213	mm-2
75	Holodiscus discolor	Wood density	0.706	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	wood_density	0.705577768	mm-2
76	Juglans californica var. hindsii	Wood density	0.511	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	wood_density	0.510951581	mm-2
77	Lepechinia calycina	Wood density	0.615	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	wood_density	0.614563648	mm-2
78	Lonicera hispidula var. vacillans	Wood density	0.574	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lonicera hispidula var. vacillans	wood_density	0.574184912	mm-2
79	Lotus scoparius var. scoparius	Wood density	0.735	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	wood_density	0.735002217	mm-2
80	Mimulus aurantiacus	Wood density	0.616	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	wood_density	0.616491071	mm-2
81	Oemleria cerasiformis	Wood density	0.741	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	wood_density	0.740596043	mm-2
82	Populus balsamifera ssp. trichocarpa	Wood density	0.428	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	wood_density	0.428060041	mm-2
83	Prunus ilicifolia ssp. ilicifolia	Wood density	0.734	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	wood_density	0.733638359	mm-2
84	Pseudotsuga menziesii var. menziesii	Wood density	0.528	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	wood_density	0.527565184	mm-2
85	Quercus agrifolia var. agrifolia	Wood density	0.700	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	wood_density	0.699992353	mm-2
86	Quercus douglasii	Wood density	0.755	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	wood_density	0.754874567	mm-2
87	Quercus durata var. durata	Wood density	0.686	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	wood_density	0.685703145	mm-2
88	Quercus kelloggii	Wood density	0.722	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	wood_density	0.721925273	mm-2
89	Quercus lobata	Wood density	0.705	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	wood_density	0.70483516	mm-2
90	Rhamnus californica ssp. californica	Wood density	0.496	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	wood_density	0.496489447	mm-2
91	Rhamnus crocea	Wood density	0.751	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	wood_density	0.751476347	mm-2
92	Ribes californicum var. californicum	Wood density	0.731	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	wood_density	0.730743656	mm-2
93	Ribes divaricatum var. pubiflorum	Wood density	0.681	g cm-3	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	wood_density	0.681289553	mm-2
