id	taxon	trait	value	units	country	state	county	place.name	lat	long	latlong.conf	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.value	source.units
228	Cercocarpus betuloides var. betuloides	Leaf Nmass	2.140	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	leaf_Nmass	2.139982197	%
229	Clematis lasiantha	Leaf Nmass	1.488	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	leaf_Nmass	1.487600728	%
230	Cornus glabrata	Leaf Nmass	2.368	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	leaf_Nmass	2.36772728	%
231	Cornus sericea ssp. sericea	Leaf Nmass	2.214	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	leaf_Nmass	2.213714798	%
232	Corylus cornuta var. californica	Leaf Nmass	2.176	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	leaf_Nmass	2.175601815	%
233	Dirca occidentalis	Leaf Nmass	2.199	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	leaf_Nmass	2.199052352	%
234	Eriodictyon californicum	Leaf Nmass	1.103	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	leaf_Nmass	1.102724626	%
235	Heteromeles arbutifolia	Leaf Nmass	1.005	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	leaf_Nmass	1.005384984	%
236	Holodiscus discolor	Leaf Nmass	1.458	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	leaf_Nmass	1.457887983	%
237	Juglans californica var. hindsii	Leaf Nmass	1.870	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	leaf_Nmass	1.870486806	%
238	Lepechinia calycina	Leaf Nmass	1.190	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	leaf_Nmass	1.190215172	%
239	Lonicera hispidula var. vacillans	Leaf Nmass	1.203	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lonicera hispidula var. vacillans	leaf_Nmass	1.203302413	%
240	Lotus scoparius var. scoparius	Leaf Nmass	1.525	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	leaf_Nmass	1.525111807	%
241	Mimulus aurantiacus	Leaf Nmass	1.051	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	leaf_Nmass	1.051412681	%
242	Oemleria cerasiformis	Leaf Nmass	1.928	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	leaf_Nmass	1.92810526	%
243	Populus balsamifera ssp. trichocarpa	Leaf Nmass	2.006	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	leaf_Nmass	2.006093831	%
244	Prunus ilicifolia ssp. ilicifolia	Leaf Nmass	1.665	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	leaf_Nmass	1.665397127	%
245	Pseudotsuga menziesii var. menziesii	Leaf Nmass	1.273	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	leaf_Nmass	1.273359556	%
246	Quercus agrifolia var. agrifolia	Leaf Nmass	1.356	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	leaf_Nmass	1.355962572	%
247	Quercus douglasii	Leaf Nmass	1.618	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	leaf_Nmass	1.61781776	%
248	Quercus durata var. durata	Leaf Nmass	1.372	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	leaf_Nmass	1.371976895	%
249	Quercus kelloggii	Leaf Nmass	1.827	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	leaf_Nmass	1.827238475	%
250	Quercus lobata	Leaf Nmass	2.212	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	leaf_Nmass	2.211636232	%
251	Rhamnus californica ssp. californica	Leaf Nmass	1.500	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	leaf_Nmass	1.499581736	%
252	Rhamnus crocea	Leaf Nmass	1.677	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	leaf_Nmass	1.677381525	%
253	Ribes californicum var. californicum	Leaf Nmass	1.745	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	leaf_Nmass	1.745311321	%
254	Ribes divaricatum var. pubiflorum	Leaf Nmass	2.286	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	leaf_Nmass	2.286224575	%
255	Ribes malvaceum var. malvaceum	Leaf Nmass	1.967	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	leaf_Nmass	1.966582705	%
256	Ribes sanguineum var. glutinosum	Leaf Nmass	2.549	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	leaf_Nmass	2.548636226	%
257	Rosa californica	Leaf Nmass	1.597	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	leaf_Nmass	1.59670185	%
258	Rosa spithamea	Leaf Nmass	1.446	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	leaf_Nmass	1.445709309	%
259	Rubus parviflorus	Leaf Nmass	2.194	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	leaf_Nmass	2.194309958	%
260	Rubus ursinus	Leaf Nmass	2.010	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	leaf_Nmass	2.010380458	%
261	Salix lasiolepis	Leaf Nmass	1.825	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	leaf_Nmass	1.825445589	%
262	Salix lucida ssp. lasiandra	Leaf Nmass	2.961	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	leaf_Nmass	2.960966593	%
263	Sambucus mexicana	Leaf Nmass	1.116	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	leaf_Nmass	1.115752665	%
264	Sequoia sempervirens	Leaf Nmass	1.232	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	leaf_Nmass	1.232283441	%
265	Solanum umbelliferum	Leaf Nmass	3.198	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	leaf_Nmass	3.198432996	%
266	Symphoricarpos albus var. laevigatus	Leaf Nmass	1.551	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	leaf_Nmass	1.55082251	%
267	Symphoricarpos mollis	Leaf Nmass	1.658	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	leaf_Nmass	1.658164211	%
268	Toxicodendron diversilobum	Leaf Nmass	1.421	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Toxicodendron diversilobum	leaf_Nmass	1.420697927	%
269	Umbellularia californica	Leaf Nmass	1.808	%	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	leaf_Nmass	1.808189345	%
270	Acer macrophyllum	Maximum height (c)	14.700	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	maximum_height	14.7	m
271	Acer negundo var. californicum	Maximum height (c)	15.500	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	maximum_height	15.5	m
272	Adenostoma fasciculatum	Maximum height (c)	4.000	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	maximum_height	4	m
273	Aesculus californica	Maximum height (c)	14.400	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	maximum_height	14.4	m
274	Alnus rhombifolia	Maximum height (c)	26.100	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	maximum_height	26.1	m
275	Amelanchier utahensis	Maximum height (c)	3.100	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	maximum_height	3.1	m
276	Arbutus menziesii	Maximum height (c)	21.900	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	maximum_height	21.9	m
277	Artemisia californica	Maximum height (c)	2.600	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	maximum_height	2.6	m
278	Baccharis pilularis	Maximum height (c)	3.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	maximum_height	3.8	m
279	Ceanothus cuneatus var. cuneatus	Maximum height (c)	3.200	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	maximum_height	3.2	m
280	Ceanothus oliganthus var. sorediatus	Maximum height (c)	4.200	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	maximum_height	4.2	m
281	Cercocarpus betuloides var. betuloides	Maximum height (c)	9.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	maximum_height	9.8	m
282	Cornus glabrata	Maximum height (c)	2.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	maximum_height	2.8	m
283	Cornus sericea ssp. sericea	Maximum height (c)	8.000	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	maximum_height	8	m
284	Corylus cornuta var. californica	Maximum height (c)	3.000	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	maximum_height	3	m
285	Dirca occidentalis	Maximum height (c)	2.300	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	maximum_height	2.3	m
286	Eriodictyon californicum	Maximum height (c)	2.100	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	maximum_height	2.1	m
287	Eriophyllum confertiflorum var. confertiflorum	Maximum height (c)	0.300	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriophyllum confertiflorum var. confertiflorum	maximum_height	0.3	m
288	Heteromeles arbutifolia	Maximum height (c)	7.600	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	maximum_height	7.6	m
289	Holodiscus discolor	Maximum height (c)	2.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	maximum_height	2.8	m
290	Juglans californica var. hindsii	Maximum height (c)	6.400	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	maximum_height	6.4	m
291	Lepechinia calycina	Maximum height (c)	2.100	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lepechinia calycina	maximum_height	2.1	m
292	Lotus scoparius var. scoparius	Maximum height (c)	1.500	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Lotus scoparius	maximum_height	1.5	m
293	Mimulus aurantiacus	Maximum height (c)	2.200	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Mimulus aurantiacus	maximum_height	2.2	m
294	Oemleria cerasiformis	Maximum height (c)	2.500	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Oemleria cerasiformis	maximum_height	2.5	m
295	Populus balsamifera ssp. trichocarpa	Maximum height (c)	6.900	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Populus balsamifera ssp. trichocarpa	maximum_height	6.9	m
296	Prunus ilicifolia ssp. ilicifolia	Maximum height (c)	4.500	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Prunus ilicifolia ssp. ilicifolia	maximum_height	4.5	m
297	Pseudotsuga menziesii var. menziesii	Maximum height (c)	45.000	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Pseudotsuga menziesii var. menziesii	maximum_height	45	m
298	Quercus agrifolia var. agrifolia	Maximum height (c)	19.500	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus agrifolia var. agrifolia	maximum_height	19.5	m
299	Quercus douglasii	Maximum height (c)	18.300	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus douglasii	maximum_height	18.3	m
300	Quercus durata var. durata	Maximum height (c)	2.700	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus durata var. durata	maximum_height	2.7	m
301	Quercus kelloggii	Maximum height (c)	25.200	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus kelloggii	maximum_height	25.2	m
302	Quercus lobata	Maximum height (c)	17.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Quercus lobata	maximum_height	17.8	m
303	Rhamnus californica ssp. californica	Maximum height (c)	3.600	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus californica ssp. californica	maximum_height	3.6	m
304	Rhamnus crocea	Maximum height (c)	2.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rhamnus crocea	maximum_height	2.8	m
305	Ribes californicum var. californicum	Maximum height (c)	3.200	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes californicum var. californicum	maximum_height	3.2	m
306	Ribes divaricatum var. pubiflorum	Maximum height (c)	3.200	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes divaricatum var. pubiflorum	maximum_height	3.2	m
307	Ribes malvaceum var. malvaceum	Maximum height (c)	0.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes malvaceum var. malvaceum	maximum_height	0.8	m
308	Ribes sanguineum var. glutinosum	Maximum height (c)	1.900	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ribes sanguineum var. glutinosum	maximum_height	1.9	m
309	Rosa californica	Maximum height (c)	1.900	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa californica	maximum_height	1.9	m
310	Rosa spithamea	Maximum height (c)	0.900	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rosa spithamea	maximum_height	0.9	m
311	Rubus parviflorus	Maximum height (c)	1.800	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus parviflorus	maximum_height	1.8	m
312	Rubus ursinus	Maximum height (c)	2.400	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Rubus ursinus	maximum_height	2.4	m
313	Salix lasiolepis	Maximum height (c)	7.500	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lasiolepis	maximum_height	7.5	m
314	Salix lucida ssp. lasiandra	Maximum height (c)	21.400	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Salix lucida ssp. lasiandra	maximum_height	21.4	m
315	Sambucus mexicana	Maximum height (c)	10.000	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sambucus mexicana	maximum_height	10	m
316	Sequoia sempervirens	Maximum height (c)	30.000	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Sequoia sempervirens	maximum_height	30	m
317	Solanum umbelliferum	Maximum height (c)	1.900	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Solanum umbelliferum	maximum_height	1.9	m
318	Symphoricarpos albus var. laevigatus	Maximum height (c)	1.700	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos albus var. laevigatus	maximum_height	1.7	m
319	Symphoricarpos mollis	Maximum height (c)	0.600	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Symphoricarpos mollis	maximum_height	0.6	m
320	Umbellularia californica	Maximum height (c)	28.400	m	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Umbellularia californica	maximum_height	28.4	m
321	Acer macrophyllum	Leaf area to sapwood area	157.930	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer macrophyllum	leaf_area2sapwood_area	157.93	mm2 mm-2
322	Acer negundo var. californicum	Leaf area to sapwood area	131.750	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Acer negundo var. californicum	leaf_area2sapwood_area	131.75	mm2 mm-2
323	Adenostoma fasciculatum	Leaf area to sapwood area	11.330	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Adenostoma fasciculatum	leaf_area2sapwood_area	11.33	mm2 mm-2
324	Aesculus californica	Leaf area to sapwood area	99.120	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Aesculus californica	leaf_area2sapwood_area	99.12	mm2 mm-2
325	Alnus rhombifolia	Leaf area to sapwood area	82.520	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Alnus rhombifolia	leaf_area2sapwood_area	82.52	mm2 mm-2
326	Amelanchier utahensis	Leaf area to sapwood area	10.990	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Amelanchier utahensis	leaf_area2sapwood_area	10.99	mm2 mm-2
327	Arbutus menziesii	Leaf area to sapwood area	82.660	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Arbutus menziesii	leaf_area2sapwood_area	82.66	mm2 mm-2
328	Artemisia californica	Leaf area to sapwood area	26.150	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Artemisia californica	leaf_area2sapwood_area	26.15	mm2 mm-2
329	Baccharis pilularis	Leaf area to sapwood area	47.920	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Baccharis pilularis	leaf_area2sapwood_area	47.92	mm2 mm-2
330	Ceanothus cuneatus var. cuneatus	Leaf area to sapwood area	6.380	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus cuneatus var. cuneatus	leaf_area2sapwood_area	6.38	mm2 mm-2
331	Ceanothus oliganthus var. sorediatus	Leaf area to sapwood area	11.830	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Ceanothus oliganthus var. sorediatus	leaf_area2sapwood_area	11.83	mm2 mm-2
332	Cercocarpus betuloides var. betuloides	Leaf area to sapwood area	9.790	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cercocarpus betuloides var. betuloides	leaf_area2sapwood_area	9.79	mm2 mm-2
333	Clematis lasiantha	Leaf area to sapwood area	237.950	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Clematis lasiantha	leaf_area2sapwood_area	237.95	mm2 mm-2
334	Cornus glabrata	Leaf area to sapwood area	90.690	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus glabrata	leaf_area2sapwood_area	90.69	mm2 mm-2
335	Cornus sericea ssp. sericea	Leaf area to sapwood area	124.310	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Cornus sericea ssp. sericea	leaf_area2sapwood_area	124.31	mm2 mm-2
336	Corylus cornuta var. californica	Leaf area to sapwood area	87.810	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Corylus cornuta var. californica	leaf_area2sapwood_area	87.81	mm2 mm-2
337	Dirca occidentalis	Leaf area to sapwood area	45.150	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Dirca occidentalis	leaf_area2sapwood_area	45.15	mm2 mm-2
338	Eriodictyon californicum	Leaf area to sapwood area	53.140	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriodictyon californicum	leaf_area2sapwood_area	53.14	mm2 mm-2
339	Eriophyllum confertiflorum var. confertiflorum	Leaf area to sapwood area	11.460	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Eriophyllum confertiflorum var. confertiflorum	leaf_area2sapwood_area	11.46	mm2 mm-2
340	Heteromeles arbutifolia	Leaf area to sapwood area	70.130	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Heteromeles arbutifolia	leaf_area2sapwood_area	70.13	mm2 mm-2
341	Holodiscus discolor	Leaf area to sapwood area	72.070	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Holodiscus discolor	leaf_area2sapwood_area	72.07	mm2 mm-2
342	Juglans californica var. hindsii	Leaf area to sapwood area	196.430	mm2 mm-2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/2006	NA	NA	Juglans californica var. hindsii	leaf_area2sapwood_area	196.43	mm2 mm-2
