id	taxon	N	country	state	county	place.name	collection	accession	notes	created.by	created.date	modified.by	modified.date	source.family	source.taxon	source.genus	source.species	source.subspp.taxa	source.original.location	collection.type	collection.date	source.N	sun_shade	RefFile	RefRecord	Notes	blade_area_cm2	specific_leaf_area_cm2_g-1	blade_length_cm	blade_width_cm	leaf_thickness_micron	Num_lflets
30	Amelanchier alnifolia var. alnifolia	4	NA	NA	NA	NA	WPA	381-61*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier alnifolia var. alnifolia	Amelanchier	alnifolia	var._alnifolia		botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	1		12.42	146.08	4.40	3.73		1
31	Amelanchier alnifolia var. alnifolia	4	NA	NA	NA	NA	WPA	410-69*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier alnifolia var. alnifolia	Amelanchier	alnifolia	var._alnifolia		botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	3		10.61	128.56	3.83	3.20		1
32	Amelanchier arborea	5	NA	NA	NA	NA	WPA	423-50*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier arborea	Amelanchier	arborea			botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	4		24.79	199.93	6.83	4.13		1
33	Amelanchier arborea	5	NA	NA	NA	NA	WPA	543-44*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier arborea	Amelanchier	arborea			botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	6		13.84	144.17	5.97	3.10		1
34	Amelanchier arborea	5	NA	NA	NA	NA	WPA	423-50*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier arborea	Amelanchier	arborea			botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	5		18.99	128.32	6.23	3.73		1
35	Amelanchier asiatica	4	NA	NA	NA	NA	WPA	649-57*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier asiatica	Amelanchier	asiatica			botanic garden	09/07/01	4	Shade	LfDat01.xls/WPA.2001	7	shade	25.41	163.91	8.60	4.23		1
36	Amelanchier bartramiana	4	NA	NA	NA	NA	UCBG	85.0621		D. Ackerly	7/13/06			ROSACEAE	Amelanchier bartramiana	Amelanchier	bartramiana			botanic garden	06/19/01	4	Sun	LfDat01.xls/UCBG.2001	60		13.42	168.85	5.23	3.80		1
37	Amelanchier denticulata	4	NA	NA	NA	NA	WPA	578-57*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier denticulata	Amelanchier	denticulata			botanic garden	09/07/01	4	Sun	LfDat01.xls/WPA.2001	9		17.60	138.07	7.27	3.43		1
38	Amelanchier denticulata	5	NA	NA	NA	NA	UCBG	74.0284		D. Ackerly	7/13/06			ROSACEAE	Amelanchier denticulata	Amelanchier	denticulata			botanic garden	06/19/01	5	Sun	LfDat01.xls/UCBG.2001	63		4.08	90.87	2.93	2.33		1
39	Amelanchier denticulata	5	NA	NA	NA	NA	UCBG	68.0104		D. Ackerly	7/13/06			ROSACEAE	Amelanchier denticulata	Amelanchier	denticulata			botanic garden	06/19/01	5	Sun	LfDat01.xls/UCBG.2001	62		1.27	73.18	1.60	1.20		1
40	Amelanchier denticulata	5	NA	NA	NA	NA	UCBG	68.0104		D. Ackerly	7/13/06			ROSACEAE	Amelanchier denticulata	Amelanchier	denticulata			botanic garden	06/19/01	5	Shade	LfDat01.xls/UCBG.2001	61	Shade	1.34	92.53	1.57	1.40		1
41	Amelanchier intermedia	5	NA	NA	NA	NA	UCBG	86.0057		D. Ackerly	7/13/06			ROSACEAE	Amelanchier intermedia	Amelanchier	intermedia			botanic garden	06/19/01	5	Shade	LfDat01.xls/UCBG.2001	64	Shade	15.24	170.74	7.80	3.53		1
42	Amelanchier laevis	5	NA	NA	NA	NA	WPA	110-46*A		D. Ackerly	7/13/06			ROSACEAE	Amelanchier laevis	Amelanchier	laevis			botanic garden	09/07/01	5	Sun	LfDat01.xls/WPA.2001	10		22.01	305.65	7.47	4.13		1
