taxon	plot	abund	seed_mass	wood_density	leaf_size	specific_leaf_area	leaf_Nmass	maximum_height	vessel_density	vessel_area	leaf_area2sapwood_area	total_lumen_area	leaf_Narea
Cercocarpus betuloides var. betuloides	4	15	16.237	0.800208308	1.414471093	70.5244915	2.139982197	9.8	186.74	0.2592	9.79	48.404	3.034381605
Cercocarpus betuloides var. betuloides	10	15	16.237	0.800208308	1.414471093	70.5244915	2.139982197	9.8	186.74	0.2592	9.79	48.404	3.034381605
Cercocarpus betuloides var. betuloides	14	15	16.237	0.800208308	1.414471093	70.5244915	2.139982197	9.8	186.74	0.2592	9.79	48.404	3.034381605
Cercocarpus betuloides var. betuloides	18	15	16.237	0.800208308	1.414471093	70.5244915	2.139982197	9.8	186.74	0.2592	9.79	48.404	3.034381605
Cercocarpus betuloides var. betuloides	50	5	16.237	0.800208308	1.414471093	70.5244915	2.139982197	9.8	186.74	0.2592	9.79	48.404	3.034381605
Clematis lasiantha	4	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	5	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	7	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	10	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	13	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	14	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	18	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Clematis lasiantha	37	5	4.041428571	0.583842597	6.250468858	145.0501996	1.487600728	NA	535.08	0.8287	237.95	443.421	1.025576478
Cornus glabrata	22	5	37.726	0.682881796	14.5065625	246.4654003	2.36772728	2.8	280.94	0.3142	90.69	88.272	0.960673294
Cornus glabrata	31	5	37.726	0.682881796	14.5065625	246.4654003	2.36772728	2.8	280.94	0.3142	90.69	88.272	0.960673294
Cornus sericea ssp. sericea	21	30	29.22504439	0.482239915	21.91629603	250.426336	2.213714798	8	429.06	0.4442	124.31	190.591	0.883978432
Cornus sericea ssp. sericea	22	5	29.22504439	0.482239915	21.91629603	250.426336	2.213714798	8	429.06	0.4442	124.31	190.591	0.883978432
Cornus sericea ssp. sericea	24	50	29.22504439	0.482239915	21.91629603	250.426336	2.213714798	8	429.06	0.4442	124.31	190.591	0.883978432
Cornus sericea ssp. sericea	25	5	29.22504439	0.482239915	21.91629603	250.426336	2.213714798	8	429.06	0.4442	124.31	190.591	0.883978432
Cornus sericea ssp. sericea	28	30	29.22504439	0.482239915	21.91629603	250.426336	2.213714798	8	429.06	0.4442	124.31	190.591	0.883978432
Corylus cornuta var. californica	47	5	387.2257778	0.562635554	33.21333333	302.3202387	2.175601815	3	312.62	0.418	87.81	130.675	0.719634856
Dirca occidentalis	1	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	3	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	7	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	11	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	13	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	14	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	18	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	27	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	30	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	35	15	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	48	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	49	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Dirca occidentalis	50	5	17.41014408	0.326361654	12.0422475	231.9230653	2.199052352	2.3	2249.81	0.1445	45.15	325.097	0.948181825
Eriodictyon californicum	7	15	2.955793449	0.543656396	9.373306944	47.67460249	1.102724626	2.1	610.5	0.3081	53.14	188.094	2.313023221
Eriodictyon californicum	49	5	2.955793449	0.543656396	9.373306944	47.67460249	1.102724626	2.1	610.5	0.3081	53.14	188.094	2.313023221
Eriophyllum confertiflorum var. confertiflorum	30	5	0.2056	0.664323017	0.168663216	133.7084401	NA	0.3	756.91	0.0916	11.46	69.333	#VALUE!
Heteromeles arbutifolia	2	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	3	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	4	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	5	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	6	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	7	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	9	15	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	10	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	11	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	12	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	15	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	18	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	26	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	27	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	30	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	35	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	37	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	38	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	39	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	40	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	41	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	42	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	43	15	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	46	15	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Heteromeles arbutifolia	48	5	5.798393361	0.628373213	13.94360824	61.5551084	1.005384984	7.6	578.26	0.284	70.13	164.225	1.633308771
Holodiscus discolor	3	5	0.108460952	0.705577768	8.30808125	308.56738	1.457887983	2.8	373.52	0.2887	72.07	107.834	0.472469897
Holodiscus discolor	45	15	0.108460952	0.705577768	8.30808125	308.56738	1.457887983	2.8	373.52	0.2887	72.07	107.834	0.472469897
Holodiscus discolor	46	5	0.108460952	0.705577768	8.30808125	308.56738	1.457887983	2.8	373.52	0.2887	72.07	107.834	0.472469897
Holodiscus discolor	48	50	0.108460952	0.705577768	8.30808125	308.56738	1.457887983	2.8	373.52	0.2887	72.07	107.834	0.472469897
Juglans californica var. hindsii	20	5	9090.909091	0.510951581	18.44087121	431.8641223	1.870486806	6.4	110.37	1.5769	196.43	174.038	0.433119287
Juglans californica var. hindsii	45	5	9090.909091	0.510951581	18.44087121	431.8641223	1.870486806	6.4	110.37	1.5769	196.43	174.038	0.433119287
Juglans californica var. hindsii	47	5	9090.909091	0.510951581	18.44087121	431.8641223	1.870486806	6.4	110.37	1.5769	196.43	174.038	0.433119287
Lepechinia calycina	1	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	4	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	6	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	11	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	12	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	13	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	14	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	15	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	16	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	18	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	30	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lepechinia calycina	49	5	13.83877524	0.614563648	12.18466559	120.3060076	1.190215172	2.1	464.3	0.3874	51.54	179.87	0.98932314
Lonicera hispidula var. vacillans	2	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	3	15	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	5	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	9	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	13	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	15	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	20	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	22	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	23	15	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	26	15	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	27	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	38	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
Lonicera hispidula var. vacillans	40	5	7.750407407	0.574184912	6.280271421	163.964229	1.203302413	NA	713.2	0.2525	59.16	180.084	0.733881055
