id	means.id	source	source.id	taxon	trait	dstate	cval	units	country	state	county	place	lat	long
73	2	ackerly04	4	Ceanothus cordulatus	leaf_size	NA	4.55	cm2	NA	NA	NA	NA	NA	NA
74	3	ackerly04	6	Ceanothus crassifolius	leaf_size	NA	3.55	cm2	NA	NA	NA	NA	NA	NA
75	12	ackerly04	24	Ceanothus gloriosus var. exaltatus	leaf_size	NA	5.92	cm2	NA	NA	NA	NA	NA	NA
76	3	ackerly04	5	Ceanothus crassifolius	leaf_size	NA	0.5	cm2	NA	NA	NA	NA	NA	NA
77	1	ackerly04	3	Ceanothus arboreus	leaf_size	NA	8.97	cm2	NA	NA	NA	NA	NA	NA
78	8	ackerly04	17	Ceanothus divergens	leaf_size	NA	1.38	cm2	NA	NA	NA	NA	NA	NA
79	10	ackerly04	19	Ceanothus ferrisiae	leaf_size	NA	1.58	cm2	NA	NA	NA	NA	NA	NA
80	18	ackerly04	39	Ceanothus incanus	leaf_size	NA	5.91	cm2	NA	NA	NA	NA	NA	NA
81	20	ackerly04	44	Ceanothus jepsonii var. jepsonii	leaf_size	NA	1.94	cm2	NA	NA	NA	NA	NA	NA
82	26	ackerly04	59	Ceanothus megacarpus var. megacarpus	leaf_size	NA	4.3	cm2	NA	NA	NA	NA	NA	NA
83	18	ackerly04	40	Ceanothus incanus	leaf_size	NA	4.92	cm2	NA	NA	NA	NA	NA	NA
84	9	ackerly04	18	Ceanothus diversifolius	leaf_size	NA	0.94	cm2	NA	NA	NA	NA	NA	NA
85	15	ackerly04	31	Ceanothus griseus	leaf_size	NA	3.23	cm2	NA	NA	NA	NA	NA	NA
86	29	ackerly04	66	Ceanothus papillosus	leaf_size	NA	0.62	cm2	NA	NA	NA	NA	NA	NA
87	43	ackerly04	101	Ceanothus cuneatus var. rigidus	specific_leaf_area	NA	36.09	cm2/g	NA	NA	NA	NA	NA	NA
88	62	ackerly04	144	Ceanothus megacarpus var. insularis	specific_leaf_area	NA	24.82	cm2/g	NA	NA	NA	NA	NA	NA
89	56	ackerly04	127	Ceanothus integerrimus	specific_leaf_area	NA	110.46	cm2/g	NA	NA	NA	NA	NA	NA
