id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	ACCNUM	CARD	source.trait	source.value	source.units	source.notes
759	Ceanothus parryi	seed_mass		2.736	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus parryi	BSH-0-2027	2112	seed mass	2.736	mg	
760	Ceanothus prostratus	seed_mass		6.175	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus prostratus	BSH-0-2029	2114	seed mass	6.175	mg	
761	Ceanothus prostratus	seed_mass		11.339	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus prostratus			seed mass	11.339	mg	
763	Ceanothus purpureus	seed_mass		6.83	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus purpureus	BSH-0-2031	2115	seed mass	6.83	mg	
771	Ceanothus spinosus	seed_mass		7.41	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus spinosus	BSH-0-2036	2120	seed mass	7.41	mg	
772	Ceanothus thyrsiflorus	seed_mass		1.98	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus thyrsiflorus	BSH-0-2037	2121	seed mass	1.98	mg	
773	Ceanothus thyrsiflorus	seed_mass		2.05	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus thyrsiflorus			seed mass	2.05	mg	
774	Ceanothus thyrsiflorus	seed_mass		2.772	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus thyrsiflorus	BSH-0-2038	2122	seed mass	2.772	mg	
775	Ceanothus tomentosus	seed_mass		2.648	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus tomentosus	BSH-0-2039	2123	seed mass	2.648	mg	flat/aborted
776	Ceanothus velutinus var. velutinus	seed_mass		4.85	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus velutinus var. velutinus	BSH-0-2040	2125	seed mass	4.85	mg	
777	Ceanothus verrucosus	seed_mass		4.929	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Ceanothus verrucosus	BSH-0-2041	2126	seed mass	4.929	mg	
2	Abies magnifica var. magnifica	seed_mass		68.726	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Abies magnifica var. magnifica			seed mass	68.726	mg	
2801	Picea sitchensis	seed_mass		2.16	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Picea sitchensis	BSH-0-4067	3044	seed mass	2.16	mg	
2802	Picea sitchensis	seed_mass		1.544	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Picea sitchensis			seed mass	1.544	mg	
2805	Pinus attenuata	seed_mass		19	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus attenuata	BSH-0-4070	3047	seed mass	19	mg	wells with wings
2806	Pinus attenuata	seed_mass		24.428	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus attenuata			seed mass	24.428	mg	
2807	Pinus contorta ssp. contorta	seed_mass		3.36	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus contorta ssp. contorta	BSH-0-4915	3048	seed mass	3.36	mg	
2808	Pinus lambertiana	seed_mass		215.995	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus lambertiana	BSH-0-4927	3053	seed mass	215.995	mg	
2809	Pinus monophylla	seed_mass		703.18	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus monophylla	BSH-0-4926	3054	seed mass	703.18	mg	
2810	Pinus monophylla	seed_mass		377.992	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus monophylla			seed mass	377.992	mg	
2811	Pinus muricata	seed_mass		13.788	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus muricata	BSH-0-4071	3056	seed mass	13.788	mg	
2812	Pinus muricata	seed_mass		9.072	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus muricata			seed mass	9.072	mg	
2815	Pinus muricata	seed_mass		28.457	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus muricata	BSH-0-4074	3061	seed mass	28.457	mg	
2813	Pinus radiata	seed_mass		21.92	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus radiata	BSH-0-4073	3060	seed mass	21.92	mg	
2814	Pinus radiata	seed_mass		28.349	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pinus radiata	BSH-0-4072	3060	seed mass	28.349	mg	
2994	Pseudotsuga menziesii var. menziesii	seed_mass		13.957	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pseudotsuga menziesii var. menziesii	BSH-0-4222	3072	seed mass	13.957	mg	
2995	Pseudotsuga menziesii var. menziesii	seed_mass		9.028	mg	USA	CA						D. Ackerly	6/29/06	D. Ackerly	D. Ackerly	6/29/06	Pseudotsuga menziesii var. menziesii			seed mass	9.028	mg	
