id	taxon	trait	dstate	cval	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	notes	source.taxon	specimen.type	Source	Accession	Date	LvsSampled	leaf.light.env	source.notes	source.notes
20	Ceanothus foliosus	leaf_size		1.41	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus foliosus	B	UCBG	83.1170	07/24/01	6	Sun		
56	Ceanothus masonii	leaf_size		1.62	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus masonii	B	UCBG	83.1425	07/24/01	4	Sun		
55	Ceanothus masonii	leaf_size		1.92	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus masonii	B	UCBG	84.0009	07/24/01	4	Sun		
62	Ceanothus oliganthus var. oliganthus	leaf_size		2.35	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. oliganthus	B	UCSC	84.320	8/17/01	4	Shade	shade; var name added by default	
10	Ceanothus cuneatus var. cuneatus	leaf_size		0.59	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. cuneatus	B	UCBG	85.1225	07/24/01	4	Sun	var name added by default	
84	Ceanothus verrucosus	leaf_size		1.71	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus verrucosus	B	UCBG	86.0883	07/24/01	4	Sun		
42	Ceanothus integerrimus	leaf_size		2.61	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus integerrimus	B	UCBG	87.1311	07/24/01	6	Sun		
60	Ceanothus oliganthus var. oliganthus	leaf_size		3.01	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus oliganthus var. oliganthus	B	UCBG	87.1620	07/24/01	6	Sun	var name added by default	
13	Ceanothus cuneatus var. fascicularis	leaf_size		1.20	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus cuneatus var. fascicularis	B	UCBG	88.1259	07/24/01	4	Sun		
23	Ceanothus gloriosus var. exaltatus	leaf_size		4.66	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus gloriosus var. exaltatus	B	UCBG	88.1281	07/24/01	4	Sun		
72	Ceanothus thyrsiflorus	leaf_size		2.16	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCSC	88.133	8/17/01	4	Sun		
79	Ceanothus thyrsiflorus	leaf_size		2.73	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCSC	88.133	8/17/01	6	Sun	var name added by default	
76	Ceanothus thyrsiflorus	leaf_size		3.07	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCSC	88.137	8/17/01	4	Sun	var name added by default	
35	Ceanothus hearstiorum	leaf_size		3.27	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus hearstiorum	B	UCSC	88.208	8/17/01	4	Sun		
68	Ceanothus purpureus	leaf_size		3.27	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus purpureus	B	UCSC	88.208	8/17/01	4	Sun		
80	Ceanothus thyrsiflorus	leaf_size		3.79	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus thyrsiflorus	B	UCSC	88.237	8/17/01	3	Sun	var name added by default	
2	Ceanothus arboreus	leaf_size		23.72	cm2								D. Ackerly	6/29/06	D. Ackerly	6/29/06		Ceanothus arboreus	B	UCBG	89.1079	07/24/01	3	Sun		
