Baker.SHname	jep1.taxon
Hippuris vulgaris	HIPPURIS vulgaris
Hoita macrostachya 	HOITA macrostachya
Holcus lanatus	HOLCUS lanatus
Holocarpha obconica	HOLOCARPHA obconica
Holocarpha virgata	HOLOCARPHA virgata ssp. virgata
Holodiscus discolor	HOLODISCUS discolor
Hordeum brachyantherum	HORDEUM brachyantherum ssp. brachyantherum
Hordeum brachyantherum ssp. californicum 	HORDEUM brachyantherum ssp. californicum
Hordeum jubatum	HORDEUM jubatum
Hordeum marinum ssp. gussoneanum 	HORDEUM marinum ssp. gussoneanum
Hordeum murinum ssp. glaucum 	HORDEUM murinum ssp. glaucum
Hordeum murinum ssp. leporinum 	HORDEUM murinum ssp. leporinum
Hordeum pusillum 	HORDEUM intercedens
Horkelia cuneata ssp. puberula 	HORKELIA cuneata ssp. puberula
Horkelia marinensis	HORKELIA marinensis
Horkelia parryi	HORKELIA parryi
Horkelia sericata	HORKELIA sericata
Horkelia tenuiloba	HORKELIA tenuiloba
Hulsea algida	HULSEA algida
Hutchinsia procumbens	HUTCHINSIA procumbens
Hydrocotyle verticillata 	HYDROCOTYLE verticillata
Hydrophyllum capitatum var. alpinum	HYDROPHYLLUM capitatum var. alpinum
Hydrophyllum tenuipes	HYDROPHYLLUM tenuipes
Hymenoclea salsola	HYMENOCLEA salsola var. salsola
Hypericum anagalloides	HYPERICUM anagalloides
Hypericum concinnum	HYPERICUM concinnum
Hypericum formosum var scouleri	HYPERICUM formosum var. scouleri
Hypericum perforatum	HYPERICUM perforatum
Hypochoeris glabra	HYPOCHAERIS glabra
Hypochoeris radicata	HYPOCHAERIS radicata
Hyptis emoryi	HYPTIS emoryi
Iliamna latibracteata	ILIAMNA latibracteata
Ipomopsis aggregata	IPOMOPSIS aggregata
Ipomopsis aggregata 	IPOMOPSIS aggregata
Ipomopsis congesta	IPOMOPSIS congesta ssp. congesta
Iris bracteata	IRIS bracteata
Iris douglasiana	IRIS douglasiana
Iris hartwegii ssp pinetorum	IRIS hartwegii ssp. pinetorum
Iris innominata	IRIS innominata
Iris longipetala	IRIS longipetala
Iris missouriensis	IRIS missouriensis
Isatis tinctoria	ISATIS tinctoria
Isocoma acradenia 	ISOCOMA acradenia var. acradenia
Isocoma acradenia var. eremophila 	ISOCOMA acradenia var. eremophila
Isomeris arborea	ISOMERIS arborea
Isomeris arborea 	ISOMERIS arborea
Iva axillaris	IVA axillaris ssp. robustior
Ivesia lycopodioides	IVESIA lycopodioides ssp. lycopodioides
Jaumea carnosa	JAUMEA carnosa
Jepsonia heterandera	JEPSONIA heterandra
Juncus acutus ssp. leopoldii 	JUNCUS acutus ssp. leopoldii
Juncus balticus	JUNCUS balticus
Juncus bolanderi	JUNCUS bolanderi
Juncus bufonius	JUNCUS bufonius var. bufonius
Juncus confusus	JUNCUS confusus
Juncus cooperi	JUNCUS cooperi
Juncus effusus var. pacificus	JUNCUS effusus var. pacificus
Juncus ensifolius	JUNCUS ensifolius
Juncus mertensianus	JUNCUS mertensianus
Juncus mexicanus	JUNCUS mexicanus
Juncus nevadensis	JUNCUS nevadensis
Juncus occidentalis 	JUNCUS occidentalis
Juncus oxymeris	JUNCUS oxymeris
Juncus parryi	JUNCUS parryi
Juncus patens	JUNCUS patens
Juncus phaeocephalus	JUNCUS phaeocephalus var. phaeocephalus
Juncus phaeocephalus var paniculatus	JUNCUS phaeocephalus var. paniculatus
Juncus tenuis	JUNCUS tenuis
Juncus uncialis	JUNCUS uncialis
Juncus xiphioides	JUNCUS xiphioides
Juniperus californica	JUNIPERUS californica
Juniperus communis 	JUNIPERUS communis
Juniperus occidentalis	JUNIPERUS occidentalis var. occidentalis
Juniperus osteosperma	JUNIPERUS osteosperma
Kalmia polifolia ssp. microphylla 	KALMIA polifolia ssp. microphylla
Keckiella antirrhinoides 	KECKIELLA antirrhinoides var. antirrhinoides
Keckiella cordifolia 	KECKIELLA cordifolia
Keckiella corymbosa 	KECKIELLA corymbosa
Keckiella lemmonii 	KECKIELLA lemmonii
Kelloggia galioides	KELLOGGIA galioides
Koeleria macarantha 	KOELERIA macrantha
Krascheninnikovia lanata 	KRASCHENINNIKOVIA lanata
Kumlienia hystriculus 	KUMLIENIA hystricula
Lactuca saligna	LACTUCA saligna
Lactuca serriola	LACTUCA serriola
Lagophylla minor	LAGOPHYLLA minor
Lagophylla ramosissima	LAGOPHYLLA ramosissima ssp. ramosissima
Lamarkia aurea	LAMARCKIA aurea
Lamium amplexicaule	LAMIUM amplexicaule
Larrea tridentata 	LARREA tridentata
Lasthenia glaberrima	LASTHENIA glaberrima
Lasthenia glabrata	LASTHENIA glabrata ssp. glabrata
Lathyrus ?jepsonii	LATHYRUS jepsonii var. jepsonii
Lathyrus japonicus	LATHYRUS japonicus
Lathyrus nevadensis	LATHYRUS nevadensis var. nevadensis
Lathyrus vestitus 	LATHYRUS vestitus var. vestitus
Lathyrus vestitus var. vestitus 	LATHYRUS vestitus var. vestitus
Lavatera assurgentiflora	LAVATERA assurgentiflora
Layia chrysanthemoides	LAYIA chrysanthemoides
Layia fremontii	LAYIA fremontii
Layia glandulosa	LAYIA glandulosa
Layia glandulosa 	LAYIA glandulosa
Layia heterotricha	LAYIA heterotricha
Layia leucopappa	LAYIA leucopappa
Layia platyglossa	LAYIA platyglossa
Layia platyglossa 	LAYIA platyglossa
Ledum glandulosum 	LEDUM glandulosum
Legenere limosa	LEGENERE limosa
Lepechinia calycina	LEPECHINIA calycina
Lepichinia calycina	LEPECHINIA calycina
Lepichinia fragrans	LEPECHINIA fragrans
Lepidium campestre	LEPIDIUM campestre
Lepidium dictyotum	LEPIDIUM dictyotum var. dictyotum
Lepidium fremontii	LEPIDIUM fremontii var. fremontii
Lepidium lasiocarpum var. lasiocarpum	LEPIDIUM lasiocarpum var. lasiocarpum
Lepidium lasiocarpum var. lasiocarpum 	LEPIDIUM lasiocarpum var. lasiocarpum
Lepidium nitidum	LEPIDIUM nitidum var. nitidum
Lepidium oblongum 	LEPIDIUM oblongum var. oblongum
Lepidium oxycarpum	LEPIDIUM oxycarpum
Lepidium perfoliatum	LEPIDIUM perfoliatum
Lepidium virginicum	LEPIDIUM virginicum var. virginicum
Lepidium virginicum var. pubescens	LEPIDIUM virginicum var. pubescens
Lepidospartum squamatum	LEPIDOSPARTUM squamatum
Leptodactylon californicum	LEPTODACTYLON californicum
Leptodactylon californicum 	LEPTODACTYLON californicum
Leptodactylon pungens	LEPTODACTYLON pungens
Lesquerella occidentalis	LESQUERELLA occidentalis ssp. occidentalis
Lessingia filaginifolia  var. filaginiafolia 	LESSINGIA filaginifolia var. filaginifolia
Lessingia filaginifolia var. californica 	LESSINGIA filaginifolia var. californica
Lessingia filaginifolia var. filagiifolia 	LESSINGIA filaginifolia var. filaginifolia
Lessingia germanorum	LESSINGIA germanorum
Lessingia glandulifera var. glandulifera 	LESSINGIA glandulifera var. glandulifera
Lessingia glandulifera var. pectinata 	LESSINGIA glandulifera var. pectinata
Lessingia hololeuca	LESSINGIA hololeuca
Lessingia lemmonii var. lemmonii	LESSINGIA lemmonii var. lemmonii
Lessingia lemmonii var. peirsonii	LESSINGIA lemmonii var. lemmonii
Lessingia lemmonii var. ranunculosissimum	LESSINGIA lemmonii var. ramulosissima
Lessingia leptoclada	LESSINGIA leptoclada
Lessingia micradenia var. glabrata	LESSINGIA micradenia var. glabrata
Lessingia nana	LESSINGIA nana
Lessingia nemoclada	LESSINGIA nemaclada
Lessingia ramulosa	LESSINGIA ramulosa
Lessingia tenuis	LESSINGIA tenuis
Lessingia virgata	LESSINGIA virgata
Leucothoe davisiae	LEUCOTHOE davisiae
Lewisia cantelovii	LEWISIA cantelovii
Lewisia congdonii	LEWISIA congdonii
Lewisia cotyledon	LEWISIA cotyledon var. cotyledon
Lewisia cotyledon var. heckneri	LEWISIA cotyledon var. heckneri
Lewisia glandulosa 	LEWISIA glandulosa
Lewisia rediviva	LEWISIA rediviva
Lewisia triphylla	LEWISIA triphylla
Leymus cinereus 	LEYMUS cinereus
Ligusticum apiifolium	LIGUSTICUM apiifolium
Ligusticum californicum	LIGUSTICUM californicum
Lilaea scilloides	LILAEA scilloides
Lilium columbianum	LILIUM columbianum
Lilium humboldtii	LILIUM humboldtii ssp. humboldtii
Lilium humboldtii ssp. occellatum	LILIUM humboldtii ssp. ocellatum
Lilium maritimum	LILIUM maritimum
Lilium pardalinum ssp. wigginsii 	LILIUM pardalinum ssp. wigginsii
Lilium parvum	LILIUM parvum
Limnanthes alba ssp. alba	LIMNANTHES alba ssp. alba
Limnanthes bakeri	LIMNANTHES bakeri
Limnanthes douglasii var douglasii	LIMNANTHES douglasii ssp. douglasii
Limnanthes douglasii var nivea	LIMNANTHES douglasii ssp. nivea
Limnanthes douglasii var rosea	LIMNANTHES douglasii ssp. rosea
Limnanthes sp	NOT TO SPECIES
Limnanthes striata	LIMNANTHES striata
Limonium californicum	LIMONIUM californicum
Limosella aquatica	LIMOSELLA aquatica
Linanthus androsaceus	LINANTHUS androsaceus
Linanthus aureus	LINANTHUS aureus ssp. aureus
Linanthus ciliatus or montanus	LINANTHUS ciliatus
Linanthus dichotomus	LINANTHUS dichotomus
Linanthus dichotomus 	LINANTHUS dichotomus
Linanthus harknesii	LINANTHUS harknessii
Linanthus montanus	LINANTHUS montanus
Linanthus nuttallii	LINANTHUS nuttallii ssp. nuttallii
Linanthus parryae	LINANTHUS parryae
Linanthus parviflorus 	LINANTHUS parviflorus
Linanthus septentrionalis	LINANTHUS septentrionalis
Linaria canadensis	LINARIA canadensis
Linaria canadensis var. texana	LINARIA canadensis
Lindernia dubia var. anagallidea 	LINDERNIA dubia var. anagallidea
Linum bienne 	LINUM bienne
Linum lewisii 	LINUM lewisii var. lewisii
Lippia wrightii	ALOYSIA wrightii
Lithophragma heterophyllum 	LITHOPHRAGMA heterophyllum
Lithospermum californicum	LITHOSPERMUM californicum
Lithospermum ruderale	LITHOSPERMUM ruderale
Lobelia dunnii var. serrata	LOBELIA dunnii var. serrata
Lobularia maritima	LOBULARIA maritima
Loeflingia squarrosa	LOEFLINGIA squarrosa var. squarrosa
Loeseliastrum matthewsii 	FRAXINUS anomala
Loeseliastrum schottii 	LOESELIASTRUM schottii
Loeseliastrum setosissima ssp. punctata 	LANGLOISIA setosissima ssp. punctata
Lolium multiflorum	LOLIUM multiflorum
Lolium perenne	LOLIUM perenne
Lomatium lucidum	LOMATIUM lucidum
Lomatium macrocarpum	LOMATIUM macrocarpum
Lomatium marginatum	LOMATIUM marginatum var. marginatum
Lomatium nevadense	LOMATIUM nevadense var. nevadense
Lomatium nudicaule	LOMATIUM nudicaule
Lomatium tomentosum	LOMATIUM dasycarpum ssp. tomentosum
Lomatium triternatum	LOMATIUM triternatum var. triternatum
Lomatium utriculatum	LOMATIUM utriculatum
Lonicera ciliosa	LONICERA ciliosa
Lonicera conjugialis	LONICERA conjugialis
Lonicera hispidula var vacillans	LONICERA hispidula var. vacillans
Lonicera involucrata	LONICERA involucrata var. involucrata
Lonicera involucrata var ledebourii	LONICERA involucrata var. ledebourii
Lonicera subspicata var. denudata 	LONICERA subspicata var. denudata
Lotus corniculatus	LOTUS corniculatus
Lotus crassifolius	LOTUS crassifolius var. crassifolius
Lotus dendroideus var. dendroideus 	LOTUS dendroideus var. dendroideus
Lotus formosissimus  ?	LOTUS formosissimus
Lotus grandiflorus	LOTUS grandiflorus var. grandiflorus
Lotus humistratus	LOTUS humistratus
Lotus junceus	LOTUS junceus var. junceus
Lotus micranthus	LOTUS micranthus
Lotus pinnatus	LOTUS pinnatus
Lotus purshianus	LOTUS purshianus var. purshianus
Lotus salsuginosus	LOTUS salsuginosus var. salsuginosus
Lotus scoparius	LOTUS scoparius var. scoparius
Lotus strigosus	LOTUS strigosus
Lotus uliginosus	LOTUS uliginosus
Lotus wrangelianus 	LOTUS wrangelianus
Ludwigia palustris 	LUDWIGIA palustris
Luetkia pectinata	LUETKEA pectinata
Lupinus albifrons	LUPINUS albifrons var. albifrons
Lupinus albifrons 	LUPINUS albifrons var. albifrons
Lupinus albifrons var douglasii	LUPINUS albifrons var. douglasii
Lupinus albifrons var. abramsii 	LUPINUS albifrons var. abramsii
Lupinus andersonii  ?	LUPINUS andersonii
Lupinus arboreus  	LUPINUS arboreus
Lupinus arbustus 	LUPINUS arbustus
Lupinus argenteus var. heteranthus 	LUPINUS argenteus var. heteranthus
Lupinus arizonicus	LUPINUS arizonicus
Lupinus benthamii	LUPINUS benthamii
Lupinus benthamii 	LUPINUS benthamii
Lupinus bicolor	LUPINUS bicolor
Lupinus bicolor 	LUPINUS bicolor
Lupinus chamissonis	LUPINUS chamissonis
Lupinus croceus	LUPINUS croceus
Lupinus croseus 	LUPINUS croceus
Lupinus excubitus	LUPINUS excubitus var. excubitus
Lupinus excubitus var. astromontanus	LUPINUS excubitus var. austromontanus
Lupinus formosus	LUPINUS formosus var. formosus
Lupinus hirsutissimus	LUPINUS hirsutissimus
Lupinus latifolius	LUPINUS latifolius var. latifolius
Lupinus latifolius var columbianus	LUPINUS latifolius var. columbianus
Lupinus latifolius var parishii	LUPINUS latifolius var. parishii
Lupinus lepidus var. confertus 	LUPINUS lepidus var. confertus
Lupinus lepidus var. culbertsonii 	LUPINUS lepidus var. culbertsonii
Lupinus longifolius	LUPINUS longifolius
Lupinus luteolus	LUPINUS luteolus
Lupinus microcarpus 	LUPINUS microcarpus var. microcarpus
Lupinus microcarpus var. densiflorus 	LUPINUS microcarpus var. densiflorus
Lupinus microcarpus var. microcarpus 	LUPINUS microcarpus var. microcarpus
Lupinus nanus	LUPINUS nanus
Lupinus onustus	LUPINUS onustus
Lupinus peirsonii	LUPINUS peirsonii
Lupinus polyphyllus	LUPINUS polyphyllus var. polyphyllus
Lupinus sparsiflorus	LUPINUS sparsiflorus
Lupinus stiversii	LUPINUS stiversii
Lupinus succulentus	LUPINUS succulentus
Lupinus tidestromii	LUPINUS tidestromii
Lupinus variicolor	LUPINUS variicolor
Luzula comosa	LUZULA comosa
Luzula comosa 	LUZULA comosa
Luzula divaricata	LUZULA divaricata
Luzula orestera	LUZULA orestera
Luzula parviflora	LUZULA parviflora
Lycium brevipes	LYCIUM brevipes var. brevipes
Lycium californicum	LYCIUM californicum
Lycium cooperi	LYCIUM cooperi
Lycopus americanus	LYCOPUS americanus
Lycopus asper 	LYCOPUS asper
Lyonothamnus floribundus	LYONOTHAMNUS floribundus ssp. floribundus
Lyonothamnus floribundus ssp. asplenifolius	LYONOTHAMNUS floribundus ssp. aspleniifolius
Lysichiton americanum	LYSICHITON americanus
Lysimachia nummularia	LYSIMACHIA nummularia
Lythrum californicum	LYTHRUM californicum
Lythrum hypssopifolia	LYTHRUM hyssopifolia
Lythrum tribracteatum	LYTHRUM tribracteatum
Machaeranthera canescens 	MACHAERANTHERA canescens var. canescens
Machaeranthera canescens var. canescens 	MACHAERANTHERA canescens var. canescens
Machaeranthera gracilis 	MACHAERANTHERA gracilis
Madia elegans	MADIA elegans ssp. elegans
Madia elegans ssp. densifolia	MADIA elegans ssp. densifolia
Madia elegans ssp. vernalis	MADIA elegans ssp. vernalis
Madia exigua	MADIA exigua
Madia glomerata	MADIA glomerata
Madia gracilis	MADIA gracilis
Madia madioides	MADIA madioides
Madia nutans	MADIA nutans
Madia radiata	MADIA radiata
Madia sativa	MADIA sativa
Madia sativa 	MADIA sativa
Maianthemum dilatatum	MAIANTHEMUM dilatatum
Malacothamnus fasciculatus 	MALACOTHAMNUS fasciculatus
Malacothrix californica	MALACOTHRIX californica
Malacothrix clevelandii	MALACOTHRIX clevelandii
Malacothrix coulteri	MALACOTHRIX coulteri
Malacothrix foliosa	MALACOTHRIX foliosa
Malacothrix glabrata	MALACOTHRIX glabrata
Malacothrix saxatilis	MALACOTHRIX saxatilis var. saxatilis
Malosma laurina 	MALOSMA laurina
Malus fusca	MALUS fusca
Malva neglecta	MALVA neglecta
Malva nicaeensis	MALVA nicaeensis
Marah fabaceus	MARAH fabaceus
Marrubium vulgare	MARRUBIUM vulgare
Maurandya antirrhiniflora	MAURANDYA antirrhiniflora ssp. antirrhiniflora
Meconella californica	MECONELLA californica
Meconella linearis	MECONELLA linearis
Medicago lupulina	MEDICAGO lupulina
Medicago polymorpha 	MEDICAGO polymorpha
Melica aristata	MELICA aristata
Melica californica	MELICA californica
Melica geyeri	MELICA geyeri
Melica harfordii	MELICA harfordii
Melica imperfecta	MELICA imperfecta
Melilotus albus	MELILOTUS albus
Melilotus indica 	MELILOTUS indicus
Melilotus officinalis	MELILOTUS officinalis
Mentha pulegium	MENTHA pulegium
Mentzelia congesta	MENTZELIA congesta
Mentzelia dispersa	MENTZELIA dispersa
Mentzelia laevicaulis	MENTZELIA laevicaulis
Mentzelia lindleyi	MENTZELIA lindleyi
Mentzelia pectinata	MENTZELIA pectinata
Mentzelia tridentata 	MENTZELIA tridentata
Mentzelia veatchiana	MENTZELIA veatchiana
Menyanthes trifoliata	MENYANTHES trifoliata
Mesembryanthemum crystallinum	MESEMBRYANTHEMUM crystallinum
Mesembryanthenum nodiflorum	MESEMBRYANTHEMUM nodiflorum
Micropus californicus	MICROPUS californicus var. californicus
Microseris acuminata	MICROSERIS acuminata
Microseris bigelovii	MICROSERIS bigelovii
Microseris campestris	MICROSERIS campestris
Microseris douglasii	MICROSERIS douglasii ssp. douglasii
Microseris elegans	MICROSERIS elegans
Microseris nutans	MICROSERIS nutans
Microseris sylvatica	MICROSERIS sylvatica
Mimulus aurantiacus	MIMULUS aurantiacus
Mimulus bifidus 	MIMULUS aurantiacus
Mimulus breweri	MIMULUS breweri
Mimulus cardinalis	MIMULUS cardinalis
Mimulus clevelandii	MIMULUS clevelandii
Mimulus douglasii	MIMULUS douglasii
Mimulus filicaulis 	MIMULUS filicaulis
Mimulus floribundus	MIMULUS floribundus
Mimulus guttatus	MIMULUS guttatus
Mimulus guttatus 	MIMULUS guttatus
Mimulus leptaleus	MIMULUS leptaleus
Mimulus lewisii	MIMULUS lewisii
Mimulus longiflorus 	MIMULUS aurantiacus
Mimulus mephiticus 	MIMULUS mephiticus
Mimulus moschatus	MIMULUS moschatus
Mimulus nudatus	MIMULUS nudatus
Mimulus pilosus	MIMULUS pilosus
Mimulus primuloides 	MIMULUS primuloides ssp. primuloides
Mimulus puniceus 	MIMULUS aurantiacus
Mirabilis biglovii	MIRABILIS bigelovii var. bigelovii
Mirabilis biglovii 	MIRABILIS bigelovii var. bigelovii
Mirabilis californica 	MIRABILIS californica
Mirabilis greenei	MIRABILIS greenei
Mirabilis multiflora var. pubescens 	MIRABILIS multiflora var. pubescens
Mitella breweri	MITELLA breweri
Mitella trifida	MITELLA trifida
Monardella hypoleuca	MONARDELLA hypoleuca ssp. hypoleuca
Monardella lanceolata	MONARDELLA lanceolata
Monardella odoratissima ssp. pallida	MONARDELLA odoratissima ssp. pallida
Monardella odoratissima ssp. pallida 	MONARDELLA odoratissima ssp. pallida
Monardella purpurea 	MONARDELLA purpurea
Monardella undulata	MONARDELLA undulata
Monardella villosa	MONARDELLA villosa ssp. villosa
Monolopia lanceolata	MONOLOPIA lanceolata
Monolopia major	MONOLOPIA major
Monoptilon bellioides	MONOPTILON bellioides
Montia chamissoi	MONTIA chamissoi
Montia fontana	MONTIA fontana
Montia fontana 	MONTIA fontana
Muhlenbergia filiformis	MUHLENBERGIA filiformis
Muhlenbergia mexicana	MUHLENBERGIA mexicana
Muhlenbergia rigens	MUHLENBERGIA rigens
Muilla transmontana	MUILLA transmontana
Myosotis discolor 	MYOSOTIS discolor
Myosotis sylvatica	NOT IN JEPSON
Myosurus minimus 	MYOSURUS minimus
Myrica californica	MYRICA californica
Nama aretioides	NAMA aretioides
Nama demissum	NAMA demissum var. demissum
Nama lobbii	NAMA lobbii
Nassella cernua 	NASSELLA cernua
Nassella lepida 	NASSELLA lepida
Nassella pulchra 	NASSELLA pulchra
Nasturtium officionale	RORIPPA nasturtium-aquaticum
Nemocladus capillaris	NEMACLADUS capillaris
Nemophila maculata	NEMOPHILA maculata
Nemophila menziesii	NEMOPHILA menziesii var. menziesii
Nemophila parviflora	NEMOPHILA parviflora var. parviflora
Nicotiana acuminata var. multiflora	NICOTIANA acuminata var. multiflora
Nicotiana attenuata	NICOTIANA attenuata
Nicotiana glauca	NICOTIANA glauca
Nicotiana obtusifolia 	NICOTIANA obtusifolia
Nicotiana quadrivalvis 	NICOTIANA quadrivalvis
Nolina parryi	NOLINA parryi
Nothochelone nemorosa 	NOTHOCHELONE nemorosa
Odontostomum hartwegii	ODONTOSTOMUM hartwegii
Oemleria cerasiformis 	OEMLERIA cerasiformis
Oenanthe sarmentosa	OENANTHE sarmentosa
Oenothera californica	OENOTHERA californica ssp. californica
Oenothera decorticans	CAMISSONIA boothii ssp. decorticans
Oenothera deltoides	OENOTHERA deltoides ssp. deltoides
Oenothera deltoides ssp. howellii	OENOTHERA deltoides ssp. howellii
Oenothera primaveris	OENOTHERA primiveris ssp. primiveris
Oenothera wolfii 	OENOTHERA wolfii
Opuntia acanthocarpa var. coloradensis 	OPUNTIA acanthocarpa var. coloradensis
Opuntia basilaris var basilaris 	OPUNTIA basilaris var. basilaris
Opuntia basilaris var brachyclada	OPUNTIA basilaris var. brachyclada
Opuntia littoralis 	OPUNTIA littoralis
Opuntia x occidentalis	OPUNTIA X-occidentalis
Opuntia x vaseyi 	OPUNTIA X-vaseyi
Orobanche bulbosa	OROBANCHE bulbosa
Orobanche californica ssp. californica 	OROBANCHE californica ssp. californica
Orobanche fasiculata 	OROBANCHE fasciculata
Orobanche ludoviciana	OROBANCHE cooperi
Orobanche uniflora 	OROBANCHE uniflora
Orthilia secunda 	ORTHILIA secunda
Orthocarpus pachystachyus	ORTHOCARPUS pachystachyus
Orthocarpus purpurascens	CASTILLEJA exserta ssp. exserta
Osmorhiza brachypoda	OSMORHIZA brachypoda
Osmorhiza chilensis	OSMORHIZA chilensis
Osmorhiza occidentalis	OSMORHIZA occidentalis
Oxalis albicans ssp. pilosa 	OXALIS albicans ssp. pilosa
Oxalis corniculata	OXALIS corniculata
Oxalis laxa	OXALIS laxa
Oxalis oregana	OXALIS oregana
Oxalis triliifolia	OXALIS trilliifolia
Oxyria digyna	OXYRIA digyna
Oxytheca perfoliata	OXYTHECA perfoliata
Paeonia brownii	PAEONIA brownii
Paeonia californica	PAEONIA californica
Palafoxia arida var. arida 	PALAFOXIA arida var. arida
Papaver californica	PAPAVER californicum
Parentucellia viscosa	PARENTUCELLIA viscosa
Parkinsonia aculeata	PARKINSONIA aculeata
Parvisedum pumilum	PARVISEDUM pumilum
Paspalum dilatatum	PASPALUM dilatatum
Pectis papposa	PECTIS papposa var. papposa
Pectocarya penicillata	PECTOCARYA penicillata
Pectocarya platycarpa	PECTOCARYA penicillata
Pedicularis attollens	PEDICULARIS attollens
Pedicularis densiflora	PEDICULARIS densiflora
Pedicularis groenlandica	PEDICULARIS groenlandica
Penstemon anguineus	PENSTEMON anguineus
Penstemon azureus	PENSTEMON azureus var. azureus
Penstemon centranthifolius	PENSTEMON centranthifolius
Penstemon clevelandii	PENSTEMON clevelandii var. clevelandii
Penstemon clevelandii ssp. connatus	PENSTEMON clevelandii var. connatus
Penstemon davidsonii var. davidsonii 	KECKIELLA corymbosa
Penstemon deustus	PENSTEMON deustus
Penstemon eatonii var. undosus	PENSTEMON eatonii var. undosus
Penstemon grinnellii	PENSTEMON grinnellii var. grinnellii
Penstemon grinnellii var. scrophularioides	PENSTEMON grinnellii var. scrophularioides
Penstemon heterodoxus	PENSTEMON heterodoxus var. heterodoxus
Penstemon heterophyllus	PENSTEMON heterophyllus var. heterophyllus
Penstemon laetus	PENSTEMON laetus var. laetus
Penstemon laetus var. leptosepalus	PENSTEMON laetus var. leptosepalus
Penstemon neotericus	PENSTEMON neotericus
Penstemon newberryi	PENSTEMON newberryi var. newberryi
Penstemon palmeri var. palmeri 	PENSTEMON palmeri var. palmeri
Penstemon rattanii var. kleei	PENSTEMON rattanii var. kleei
Penstemon rostriflorus 	PENSTEMON rostriflorus
Penstemon rupicola	PENSTEMON rupicola
Penstemon rydbergii var. oreocharis 	PENSTEMON rydbergii var. oreocharis
Penstemon speciosus	PENSTEMON speciosus
Penstemon spectabilis	PENSTEMON spectabilis var. spectabilis
Penstemon spectabilis 	PENSTEMON spectabilis var. spectabilis
Penstemon utahensis	PENSTEMON utahensis
Perideridia kelloggii	PERIDERIDIA kelloggii
Perideridia oregona ?	PERIDERIDIA oregana
Perideridia parishii	PERIDERIDIA parishii ssp. parishii
Perityle emoryi	PERITYLE emoryi
Petasites frigidus var. palmatus 	PETASITES frigidus var. palmatus
Petrorhagia prolifera 	PETRORHAGIA prolifera
Petunia parviflora	PETUNIA parviflora
Peucephyllum schottii	PEUCEPHYLLUM schottii
Phacelia barnebyana	PHACELIA barnebyana
Phacelia bicolor var. bicolor 	PHACELIA bicolor var. bicolor
Phacelia bolanderi	PHACELIA bolanderi
Phacelia californica	PHACELIA californica
Phacelia cicutaria	PHACELIA cicutaria var. cicutaria
Phacelia ciliata	PHACELIA ciliata
Phacelia congdonii 	PHACELIA congdonii
Phacelia crenulata	PHACELIA crenulata var. crenulata
Phacelia crenulata var ambigua	PHACELIA crenulata var. ambigua
Phacelia distans	PHACELIA distans
Phacelia divaricata	PHACELIA divaricata
Phacelia eisenii	PHACELIA eisenii
Phacelia floribunda	PHACELIA floribunda
Phacelia fremontii	PHACELIA fremontii
Phacelia grandiflora	PHACELIA grandiflora
Phacelia hastata	PHACELIA hastata ssp. hastata
Phacelia hastata ssp. compacta 	PHACELIA hastata ssp. compacta
Phacelia hydrophylloides	PHACELIA hydrophylloides
Phacelia imbricata ssp. imbricata 	PHACELIA imbricata ssp. imbricata
Phacelia malvaefolia	PHACELIA malvifolia
Phacelia minor	PHACELIA minor
Phacelia mutabilis	PHACELIA mutabilis
Phacelia procera	PHACELIA procera
Phacelia tanacetifolia	PHACELIA tanacetifolia
Phacelia viscida	PHACELIA viscida
Phalaris aquatica 	PHALARIS aquatica
Phalaris arundinacea	PHALARIS arundinacea
Phalaris lemmonii	PHALARIS lemmonii
Philadelphus lewisii	PHILADELPHUS lewisii
Philadelphus lewisii ssp gordonianus 	PHILADELPHUS lewisii
Phleum alpinum	PHLEUM alpinum
Phlox diffusa	PHLOX diffusa
Phlox gracilis	PHLOX gracilis
Phlox gracilis 	PHLOX gracilis
Phlox speciosa ssp. occidentalis	PHLOX speciosa ssp. occidentalis
Pholistoma auritum	PHOLISTOMA auritum var. auritum
Pholistoma membranaceum	PHOLISTOMA membranaceum
Pholistoma racemosum	PHOLISTOMA racemosum
Phoradendron californicum 	PHORADENDRON californicum
Phoradendron densum 	PHORADENDRON densum
Phoradendron villosum 	PHORADENDRON villosum
Phragmites communis	PHRAGMITES australis
Phyla nodiflora 	PHYLA nodiflora var. nodiflora
Phyllodoce breweri	PHYLLODOCE breweri
Phyllodoce empetriformis	PHYLLODOCE empetriformis
Physocarpus capitatus	PHYSOCARPUS capitatus
Picea sitchensis	PICEA sitchensis
Pickeringia montana	PICKERINGIA montana var. montana
Pinus attenuata	PINUS attenuata
Pinus contorta 	PINUS contorta ssp. contorta
Pinus lambertiana	PINUS lambertiana
Pinus monophylla	PINUS monophylla
Pinus muricata	PINUS muricata
Pinus muricata 	PINUS muricata
Pinus radiata	PINUS radiata
Piperia elegans 	PIPERIA elegans
Plagiobothrys arizonicus	PLAGIOBOTHRYS arizonicus
Plagiobothrys bracteatus	PLAGIOBOTHRYS bracteatus
Plagiobothrys canescens	PLAGIOBOTHRYS canescens
Plagiobothrys fulvus var. campestris 	PLAGIOBOTHRYS fulvus
Plagiobothrys glaber	PLAGIOBOTHRYS glaber
