Baker.SHname	jep1.taxon
Baccharis douglasii	BACCHARIS douglasii
Baccharis emoryi	BACCHARIS emoryi
Baccharis pilularis	BACCHARIS pilularis
Baccharis salicifolia	BACCHARIS salicifolia
Baccharis sarothroides	BACCHARIS sarothroides
Baccharis sergiloides	BACCHARIS sergiloides
Baileya pleniradiata	BAILEYA pleniradiata
Balsamorrhiza hookeri var. lanata	BALSAMORHIZA hookeri var. lanata
Balsamorrhiza sagittata	BALSAMORHIZA sagittata
Bebbia juncea var. aspera	BEBBIA juncea var. aspera
Bebbia juncea var. aspera 	BEBBIA juncea var. aspera
Beckmannia syzigachne	BECKMANNIA syzigachne
Bellis perennis	BELLIS perennis
Berberis aquifolium	BERBERIS aquifolium var. aquifolium
Berberis aquifolium var. aquifolium	BERBERIS aquifolium var. aquifolium
Berberis aquifolium var. dictyota	BERBERIS aquifolium var. dictyota
Berberis aquifolium var. repens	BERBERIS aquifolium var. repens
Berberis fremontii	BERBERIS fremontii
Berberis nervosa	BERBERIS nervosa
Berberis nevinii	BERBERIS nevinii
Berberis pinnata	BERBERIS pinnata ssp. pinnata
Betula glandulosa	BETULA glandulosa
Betula occidentalis	BETULA occidentalis
Bidens frondosa	BIDENS frondosa
Bidens laevis	BIDENS laevis
Bidens pilosa	BIDENS pilosa var. pilosa
Blennosperma bakeri	BLENNOSPERMA bakeri
Blennosperma nanum	BLENNOSPERMA nanum var. nanum
Bloomeria crocea	BLOOMERIA crocea
Boerhaavia coccinea	BOERHAVIA coccinea
Boschniakia strobilacea	BOSCHNIAKIA strobilacea
Bouteloua aristidioides	BOUTELOUA aristidoides var. aristidoides
Bouteloua barbata	BOUTELOUA barbata var. barbata
Boykinia occidentalis	BOYKINIA occidentalis
Brassica napus	BRASSICA napus
Brassica nigra	BRASSICA nigra
Brassica rapa 	BRASSICA rapa
Brickellia arguta var odontolepis	BRICKELLIA arguta var. odontolepis
Brickellia desertorum	BRICKELLIA desertorum
Briza maxima	BRIZA maxima
Briza minor	BRIZA minor
Brodiaea appendiculata	BRODIAEA appendiculata
Brodiaea californica	BRODIAEA californica var. californica
Brodiaea coronaria	BRODIAEA coronaria ssp. coronaria
Brodiaea elegans	BRODIAEA elegans ssp. elegans
Brodiaea stellaris	BRODIAEA stellaris
Brodiaea terrestris ssp. terrestris	BRODIAEA terrestris ssp. terrestris
Bromus arenarius	BROMUS arenarius
Bromus briziformis	BROMUS briziformis
Bromus carinatus	BROMUS carinatus var. carinatus
Bromus carinatus var. carinatus 	BROMUS carinatus var. carinatus
Bromus carinatus var. maritimus 	BROMUS carinatus var. maritimus
Bromus catharticus	BROMUS catharticus
Bromus commutatis 	BROMUS japonicus
Bromus diandrus 	BROMUS diandrus
Bromus inermis ssp. inermis	BROMUS inermis ssp. inermis
Bromus laevipes	BROMUS laevipes
Bromus madritensis	BROMUS madritensis ssp. madritensis
Bromus madritensis ssp. rubens	BROMUS madritensis ssp. rubens
Bromus madritensis ssp. rubens 	BROMUS madritensis ssp. rubens
Bromus mollis 	BROMUS hordeaceus
Bromus orcuttianus	BROMUS orcuttianus
Bromus sterilis	BROMUS sterilis
Bromus tectorum	BROMUS tectorum
Bromus vulgaris	BROMUS vulgaris
Bursera microphylla	BURSERA microphylla
Caesalpina virgata 	CAESALPINIA virgata
Cakile edentula ssp californica	CAKILE edentula
Cakile maritima	CAKILE maritima
Calamagrostis ophitidis	CALAMAGROSTIS ophitidis
Calamagrostis stricta ssp. inexpansa 	CALAMAGROSTIS stricta ssp. inexpansa
Calamogrostis bolanderi	CALAMAGROSTIS bolanderi
Calandrinia ambigua	CALANDRINIA ambigua
Calandrinia ciliata	CALANDRINIA ciliata
Calandrinia maritima	CALANDRINIA maritima
Calendula officinalis	CALENDULA officinalis
Calliandra eriophylla	CALLIANDRA eriophylla
Callitriche hermaphroditica	CALLITRICHE hermaphroditica
Calochortus albus	CALOCHORTUS albus
Calochortus catalinae	CALOCHORTUS catalinae
Calochortus clavatus	CALOCHORTUS clavatus ssp. clavatus
Calochortus luteus	CALOCHORTUS luteus
Calochortus monophyllus	CALOCHORTUS monophyllus
Calochortus nudus	CALOCHORTUS nudus
Calochortus obispoensis	CALOCHORTUS obispoensis
Calochortus pulchellus	CALOCHORTUS pulchellus
Calochortus splendens	CALOCHORTUS splendens
Calochortus superbus 	CALOCHORTUS superbus
Calochortus venustus	CALOCHORTUS venustus
Calochortus weedii	CALOCHORTUS weedii var. weedii
Caltha leptosepala var. biflora 	CALTHA leptosepala var. biflora
Calycadenia multiglandulosa	CALYCADENIA multiglandulosa
Calycadenia multiglandulosa 	CALYCADENIA multiglandulosa
