,Species,Individual,Total.leaf.area..in2.,Ave..leaf.area..in2.,leafArea,Ave..oven.dry.mass..mg.,Total.oven.dry.mass..mg.,Total.oven.dry.mass..g.,Number.of.leaves,sla,Notes,lat,long,l.sla,precip,temp,cwd,ldmc,height
81,Pseudotsuga menzesii,86,0.688,0.038222222,24.65944889,4.383333333,78.9,0.0789,18,5.625729785,,38.31527,-123.0586,0.750178868,6.764277441,12.30166667,NA,317.6328502,1.8
82,Salix spp.,87,8.36,0.836,539.35376,51.24,512.4,0.5124,10,10.52602966,,38.31905,-123.07069,1.022264589,6.762405755,12.25625,588,310.3385622,1.5
83,Baccharis pilularis,88,3.846,0.3846,248.128536,14.57,145.7,0.1457,10,17.03009856,,38.31901,-123.0706,1.231217161,6.762405755,12.25625,588,162.2133155,0.65
84,Bromus spp.,89,0.754,0.754,486.45064,18,18,0.018,1,27.02503556,,38.31882,-123.0704,1.431766274,6.762405755,12.25625,588,226.9861286,0.65
85,Bromus spp.,90,1.301,0.433666667,279.7843867,39.63333333,118.9,0.1189,3,7.059320101,,38.3178,-123.07034,0.848762875,6.762405755,12.25625,574.8,310.0391134,0.45
86,Bromus spp.,91,2.864,0.954666667,615.9127467,23.83333333,71.5,0.0715,3,25.84249287,,38.3178,-123.07034,1.412334405,6.762405755,12.25625,574.8,262.7710401,0.6
87,Bromus spp.,92,2.178,1.089,702.57924,30.2,60.4,0.0604,2,23.26421325,,38.3178,-123.07034,1.36668837,6.762405755,12.25625,574.8,301.0967099,0.65
88,Avena spp.,94,1.145,0.5725,369.3541,18.9,37.8,0.0378,2,19.54254497,,38.3178,-123.07033,1.29098112,6.762405755,12.25625,574.8,243.0868167,0.75
89,Avena spp.,95,1.234,1.234,796.12744,47.2,47.2,0.0472,1,16.86710678,,38.3178,-123.07033,1.227040594,6.762405755,12.25625,574.8,342.2770123,0.9
90,Baccharis pilularis,96,3.365,0.224333333,144.7308933,11.06666667,166,0.166,15,13.07809277,,38.31776,-123.07019,1.116544414,6.762405755,12.25625,574.8,269.2619627,1.3
91,Pseudotsuga menzesii,97,0.761,0.03805,24.548338,5.74,114.8,0.1148,20,4.276713937,,38.31722,-123.06374,0.631110202,6.762405755,12.25625,279.6,382.4117255,2
92,Quercus wislizeni,98,13.116,1.093,705.15988,82.23333333,986.8,0.9868,12,8.575110012,,37.95289,-121.864,0.9332397,6.348719323,15.17416667,792,485.4865689,11.70635233
93,Heteromeles arbutifolia,99,4.923,1.641,1058.70756,138.1333333,414.4,0.4144,3,7.664388707,,37.95289,-121.864,0.884477522,6.348719323,15.17416667,792,372.5613593,2.1
94,Nassella pulchra,100,0.835,0.4175,269.3543,6.1,12.2,0.0122,2,44.15644262,,37.95289,-121.864,1.644994078,6.348719323,15.17416667,792,202.6578073,0.52
95,Mimulus aurantiacus,101,5.35,0.356666667,230.1070667,12.62666667,189.4,0.1894,15,18.22389652,,37.95291,-121.86399,1.260641241,6.348719323,15.17416667,792,231.8521239,1.08
96,Adenostoma fasciculatum,102,1.383,0.076833333,49.56979333,13.85555556,249.4,0.2494,18,3.577611387,,37.95286,-121.86376,0.553593164,6.348719323,15.17416667,777,435.8615869,2.7139798
97,Heteromeles arbutifolia,103,12.331,1.761571429,1136.495423,205.5714286,1439,1.439,7,5.528469743,,37.95212,-121.86309,0.742604937,6.348719323,15.17416667,777,445.8697403,2.2
98,Pinus sabiniana,104,1.508,0.215428571,138.9858971,73.61428571,515.3,0.5153,7,1.888028876,,37.95027,-121.86172,0.276008632,6.322277946,15.08666667,870.1,511.7687953,8.130402164
99,Avena spp.,105,3.465,1.155,745.1598,30.5,91.5,0.0915,3,24.43146885,,37.95061,-121.86087,1.387949578,6.322277946,15.08666667,870.1,217.3913043,0.55
100,Quercus douglasii,106,8.888,0.987555556,637.1313422,85.62222222,770.6,0.7706,9,7.441191383,,37.9508,-121.86065,0.871642474,6.322277946,15.08666667,870.1,447.035619,10.52572613
101,Arctostaphylos spp.,107,12.038,0.6019,388.321804,68.9,1378,1.378,20,5.636020377,,37.9507,-121.86078,0.750972555,6.322277946,15.08666667,870.1,392.3355066,2.1
102,Salix spp.,108,12.088,1.726857143,1114.099154,76.65714286,536.6,0.5366,7,14.53353351,,37.97498,-121.86199,1.162371216,6.208771096,14.84125,852.9,294.818966,2.2
103,Populus fremontii,109,36.656,6.109333333,3941.497493,284.0833333,1704.5,1.7045,6,13.87444116,,37.97498,-121.86199,1.142215499,6.208771096,14.84125,852.9,275.6663216,12.19726272
104,Quercus lobata,110,4.393,2.1965,1417.09394,93.75,187.5,0.1875,2,15.11566869,,37.35047,-121.7314,1.179427364,6.452900327,14.86625,793.7,266.9419134,19.38292021
105,Salix spp.,111,8.494,1.415666667,913.3315067,86.15,516.9,0.5169,6,10.60164256,,37.35047,-121.7314,1.025373158,6.452900327,14.86625,793.7,378.321013,7.617249043
106,Quercus agrifolia,112,7.557,1.2595,812.57902,113.7166667,682.3,0.6823,6,7.145645786,,37.35078,-121.73124,0.854041484,6.452900327,14.86625,793.7,413.2897208,6.138560792
107,Artemesia californica,113,2.075,0.2075,133.8707,10.13,101.3,0.1013,10,13.21527147,,37.35119,-121.73128,1.121076089,6.452900327,14.86625,793.7,278.9096916,0.95
108,Avena spp.,114,3.396,1.132,730.32112,32.46666667,97.4,0.0974,3,22.49449035,,37.35122,-121.73127,1.352076158,6.452900327,14.86625,793.7,221.0120263,0.6
109,Bromus spp.,115,0.98,0.326666667,210.7522667,9.633333333,28.9,0.0289,3,21.87739792,,37.35122,-121.73126,1.339995666,6.452900327,14.86625,793.7,269.8412698,0.55
110,Umbellularia californica,116,14.947,1.868375,1205.400815,176.5375,1412.3,1.4123,8,6.828015662,,37.35135,-121.73162,0.834294509,6.452900327,14.86625,842.8,532.7222662,29.69059288
111,Baccharis pilularis,117,4.382,0.313,201.93508,15.12857143,211.8,0.2118,14,13.34792786,,37.35085,-121.73237,1.125413851,6.452900327,14.86625,793.7,296.8049327,1.6
112,Aesculus californica,118,16.067,3.2134,2073.157144,182.54,912.7,0.9127,5,11.35727591,,37.35075,-121.73263,1.055274177,6.452900327,14.86625,793.7,221.6474817,16.28088724
113,Quercus lobata,119,24.411,8.137,5249.66692,402.2666667,1206.8,1.2068,3,13.05021608,,37.35104,-121.73155,1.115617703,6.452900327,14.86625,793.7,341.7148035,26.08802095
114,Mimulus aurantiacus,120,2.013,0.287571429,185.5295829,18.5,129.5,0.1295,7,10.0286261,,37.33483,-121.72117,1.00124144,6.462733001,14.94291667,816.7,338.3851581,0.95
115,Artemesia californica,121,1.741,0.133923077,86.40181231,5.576923077,72.5,0.0725,13,15.49273876,,37.33483,-121.72117,1.190128198,6.462733001,14.94291667,816.7,239.0372568,1.9
116,Baccharis pilularis,122,3.371,0.280916667,181.2361967,10.85833333,130.3,0.1303,12,16.69097744,,37.33483,-121.72117,1.22248177,6.462733001,14.94291667,816.7,255.7911268,3
117,Quercus agrifolia,123,20.476,2.925142857,1887.185166,330.0857143,2310.6,2.3106,7,5.717257924,,37.33483,-121.72117,0.757187785,6.462733001,14.94291667,816.7,543.5426958,15.66919867
118,Quercus kelloggii,124,17.379,5.793,3737.41188,344.2666667,1032.8,1.0328,3,10.8561538,,37.33483,-121.72117,1.035675987,6.462733001,14.94291667,816.7,444.3870746,13.6801277
119,Bromus spp.,125,6.604,2.201333333,1420.212213,70.46666667,211.4,0.2114,3,20.15438335,,37.33483,-121.72117,1.304369515,6.462733001,14.94291667,816.7,372.2486353,0.9
120,Quercus lobata,126,14.106,2.8212,1820.125392,148.18,740.9,0.7409,5,12.28320551,,37.33483,-121.72117,1.089311718,6.462733001,14.94291667,816.7,312.4314751,25.5511954
121,Aesculus californica,127,8.281,1.6562,1068.513992,49.4,247,0.247,5,21.62983789,,37.33513,-121.72189,1.335053265,6.462733001,14.94291667,816.7,209.1093803,14.00365544
122,Pinus sabiniana,128,2.03,0.225555556,145.5194222,42.33333333,381,0.381,9,3.437466667,,37.32876,-121.68066,0.536238496,6.421687306,14.75,789.5,475.3587024,7.235165008
123,Acer macrophyllum,129,31.328,7.832,5052.89312,356.075,1424.3,1.4243,4,14.19053042,,37.3254,-121.67312,1.151998629,6.41398341,14.645,821.3,317.9737905,11.17289473
124,Arbutus menzesii,130,38.118,7.6236,4918.441776,1014.66,5073.3,5.0733,5,4.847379197,,37.3254,-121.67312,0.685506995,6.41398341,14.645,821.3,495.5943264,4
125,Pinus sabiniana,131,2.81,0.401428571,258.9856571,86.2,603.4,0.6034,7,3.004473981,,37.3254,-121.67312,0.477768447,6.41398341,14.645,821.3,437.785678,18.30939375
126,Quercus durata,132,6.717,0.55975,361.12831,70.83333333,850,0.85,12,5.098282024,,37.3254,-121.67312,0.707423856,6.41398341,14.645,821.3,575.8027368,2
127,Quercus douglasii,133,4.486,0.8972,578.837552,47.98,239.9,0.2399,5,12.06414239,,37.32921,-121.66486,1.081496454,6.423555358,14.26541667,825.9,387.3728403,13.78296576
128,Quercus kelloggii,134,9.16,4.58,2954.8328,292.75,585.5,0.5855,2,10.09336567,Leaves quite eaten,37.32921,-121.66486,1.004036007,6.423555358,14.26541667,825.9,420.3460406,5
129,Aesculus californica,135,10.124,1.687333333,1088.599973,105.6833333,634.1,0.6341,6,10.30058325,,37.32921,-121.66486,1.012861816,6.423555358,14.26541667,825.9,232.81686,4
130,Pinus sabiniana,136,3.809,0.423222222,273.0460489,100.7777778,907,0.907,9,2.709387475,,37.32921,-121.66486,0.432871119,6.423555358,14.26541667,825.9,466.467805,2
131,Quercus chrysolepis,137,5.332,0.888666667,573.3321867,130.8333333,785,0.785,6,4.382156841,,37.34085,-121.67251,0.641687917,6.4180223,14.42125,834.8,562.8047032,7.62
132,Arctostaphylos spp.,138,8.133,0.67775,437.25719,151.1,1813.2,1.8132,12,2.893826539,,37.34142,-121.66282,0.461472495,6.429267763,14.03541667,793.5,485.5788543,3
133,Quercus douglasii,139,15.877,1.764111111,1138.133924,94.26666667,848.4,0.8484,9,12.07355648,,37.34142,-121.66282,1.081835218,6.429267763,14.03541667,793.5,332.3019075,11.4813048
134,Quercus chrysolepis,140,6.205,0.517083333,333.6014833,75.15,901.8,0.9018,12,4.439141495,,37.3416,-121.64274,0.647298988,6.478202375,12.79375,805.2,579.1535547,4
135,Adenostoma fasciculatum,141,0.826,0.075090909,48.44565091,23.48181818,258.3,0.2583,11,2.063113279,,37.3499,-121.59612,0.314523074,6.430203232,14.53458333,851.5,363.9179249,2.5
136,Ceanothus cuneatus,142,3.475,0.2171875,140.1206875,29.23125,467.7,0.4677,16,4.793523626,,37.3499,-121.59612,0.680654872,6.430203232,14.53458333,851.5,388.2616636,2
137,Quercus douglasii,143,4.1,0.585714286,377.8794286,36.11428571,252.8,0.2528,7,10.46343354,,37.35903,-121.58417,1.01967422,6.340729606,14.165,822.6,438.6604199,6.895713229
138,Heteromeles arbutifolia,145,13.362,1.908857143,1231.518274,213.5285714,1494.7,1.4947,7,5.767463652,,37.35785,-121.58196,0.760984866,6.340729606,14.165,822.6,470.5493468,4
139,Adenostoma fasciculatum,146,1.264,0.079,50.96764,18.20625,291.3,0.2913,16,2.799458428,,37.33108,-121.49221,0.447074023,6.271347536,14.58,918.3,428.5083848,1.5
140,Arctostaphylos spp.,147,5.096,0.728,469.67648,128.2857143,898,0.898,7,3.661175234,,37.33108,-121.49221,0.563620516,6.271347536,14.58,918.3,495.4209423,2.5
141,Ceanothus cuneatus,148,1.593,0.122538462,79.05691385,16.03846154,208.5,0.2085,13,4.929208058,,37.33108,-121.49221,0.69277715,6.271347536,14.58,918.3,352.6725304,3
142,Pinus sabiniana,149,2.332,0.212,136.77392,42.49090909,467.4,0.4674,11,3.218898417,,37.33108,-121.49221,0.507707271,6.271347536,14.58,918.3,482.6019618,6
143,Aesculus californica,150,10.986,2.1972,1417.545552,136.4,682,0.682,5,10.3925627,,37.33108,-121.49221,1.016722653,6.271347536,14.58,918.3,240.335483,3
144,Avena spp.,151,2.625,0.875,564.515,18.6,55.8,0.0558,3,30.35026882,,37.95444,-121.85803,1.482162542,6.294527722,15.20375,746.5,160.0229424,0.65
145,Quercus douglasii,152,6.27,0.78375,505.64415,50.0875,400.7,0.4007,8,10.09521637,,37.95142,-121.85705,1.004115632,6.322277946,15.08666667,909.1,391.6911046,12.8783325
146,Arctostaphylos spp.,153,9.35,0.779166667,502.6871667,161.175,1934.1,1.9341,12,3.11889044,,37.95083,-121.85989,0.494000119,6.322277946,15.08666667,870.1,465.4873646,2.4
147,Heteromeles arbutifolia,154,16.197,2.024625,1306.207065,247.0875,1976.7,1.9767,8,5.286414995,,37.95083,-121.85989,0.723161253,6.322277946,15.08666667,870.1,410.3847032,2.3
148,Mimulus aurantiacus,155,1.7,0.34,219.3544,17.44,87.2,0.0872,5,12.57766055,,37.95052,-121.86222,1.09959987,6.322277946,15.08666667,870.1,301.7301038,1.15
149,Adenostoma fasciculatum,156,0.698,0.077555556,50.03574222,14.32222222,128.9,0.1289,9,3.493573933,,37.95086,-121.86515,0.543269938,6.348719323,15.17416667,866.9,466.8598334,2.5
