id	taxon	trait	dstate	value	sd	N	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.dstate	source.value	source.sd	source.N	source.units
418	Sambucus mexicana	Mean vessel area	NA	0.4077	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Sambucus mexicana	vessel_area	NA	0.4077	NA	NA	mm2
419	Solanum umbelliferum	Mean vessel area	NA	0.3724	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Solanum umbelliferum	vessel_area	NA	0.3724	NA	NA	mm2
420	Symphoricarpos albus var. laevigatus	Mean vessel area	NA	0.2184	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Symphoricarpos albus var. laevigatus	vessel_area	NA	0.2184	NA	NA	mm2
421	Symphoricarpos mollis	Mean vessel area	NA	0.1351	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Symphoricarpos mollis	vessel_area	NA	0.1351	NA	NA	mm2
422	Umbellularia californica	Mean vessel area	NA	0.5002	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Umbellularia californica	vessel_area	NA	0.5002	NA	NA	mm2
474	Acer macrophyllum	Total lumen area	NA	118.322	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Acer macrophyllum	total_lumen_area	NA	118.322	NA	NA	mm2
475	Acer negundo var. californicum	Total lumen area	NA	121.275	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Acer negundo var. californicum	total_lumen_area	NA	121.275	NA	NA	mm2
476	Adenostoma fasciculatum	Total lumen area	NA	128.231	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Adenostoma fasciculatum	total_lumen_area	NA	128.231	NA	NA	mm2
477	Aesculus californica	Total lumen area	NA	129.953	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Aesculus californica	total_lumen_area	NA	129.953	NA	NA	mm2
478	Alnus rhombifolia	Total lumen area	NA	155.696	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Alnus rhombifolia	total_lumen_area	NA	155.696	NA	NA	mm2
479	Amelanchier utahensis	Total lumen area	NA	106.811	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Amelanchier utahensis	total_lumen_area	NA	106.811	NA	NA	mm2
480	Arbutus menziesii	Total lumen area	NA	160.959	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Arbutus menziesii	total_lumen_area	NA	160.959	NA	NA	mm2
481	Artemisia californica	Total lumen area	NA	124.598	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Artemisia californica	total_lumen_area	NA	124.598	NA	NA	mm2
482	Baccharis pilularis	Total lumen area	NA	103.518	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Baccharis pilularis	total_lumen_area	NA	103.518	NA	NA	mm2
