id	taxon	trait	value	units	created.by	created.date
6446	Penstemon purpusii	Low elevation	1500	m	D. Ackerly	7/21/06
6447	Penstemon rattanii	Low elevation	0	m	D. Ackerly	7/21/06
6448	Penstemon rattanii var. kleei	Low elevation	400	m	D. Ackerly	7/21/06
6449	Penstemon rattanii var. rattanii	Low elevation	0	m	D. Ackerly	7/21/06
6450	Penstemon roezlii	Low elevation	700	m	D. Ackerly	7/21/06
6451	Penstemon rostriflorus	Low elevation	1600	m	D. Ackerly	7/21/06
6452	Penstemon rupicola	Low elevation	1100	m	D. Ackerly	7/21/06
6453	Penstemon rydbergii var. oreocharis	Low elevation	1200	m	D. Ackerly	7/21/06
6454	Penstemon scapoides	Low elevation	2000	m	D. Ackerly	7/21/06
6455	Penstemon speciosus	Low elevation	1200	m	D. Ackerly	7/21/06
6456	Penstemon spectabilis	Low elevation	100	m	D. Ackerly	7/21/06
6457	Penstemon spectabilis var. spectabilis	Low elevation	100	m	D. Ackerly	7/21/06
6458	Penstemon spectabilis var. subviscosus	Low elevation	500	m	D. Ackerly	7/21/06
6459	Penstemon stephensii	Low elevation	1200	m	D. Ackerly	7/21/06
6460	Penstemon sudans	Low elevation	1200	m	D. Ackerly	7/21/06
6461	Penstemon thompsoniae	Low elevation	1500	m	D. Ackerly	7/21/06
6462	Penstemon thurberi	Low elevation	500	m	D. Ackerly	7/21/06
6463	Penstemon tracyi	Low elevation	2000	m	D. Ackerly	7/21/06
6464	Penstemon utahensis	Low elevation	1200	m	D. Ackerly	7/21/06
6465	Penstemon venustus	Low elevation	900	m	D. Ackerly	7/21/06
6466	Scrophularia atrata	Low elevation	0	m	D. Ackerly	7/21/06
6467	Scrophularia californica	Low elevation	0	m	D. Ackerly	7/21/06
6468	Scrophularia californica ssp. californica	Low elevation	0	m	D. Ackerly	7/21/06
6469	Scrophularia californica ssp. floribunda	Low elevation	0	m	D. Ackerly	7/21/06
6470	Scrophularia desertorum	Low elevation	1000	m	D. Ackerly	7/21/06
6471	Scrophularia lanceolata	Low elevation	1400	m	D. Ackerly	7/21/06
6472	Scrophularia villosa	Low elevation	0	m	D. Ackerly	7/21/06
6473	Stemodia durantifolia	Low elevation	0	m	D. Ackerly	7/21/06
6474	Synthyris missurica	Low elevation	2000	m	D. Ackerly	7/21/06
6475	Synthyris reniformis	Low elevation	0	m	D. Ackerly	7/21/06
6476	Tonella tenella	Low elevation	0	m	D. Ackerly	7/21/06
6477	Triphysaria eriantha	Low elevation	0	m	D. Ackerly	7/21/06
6478	Triphysaria eriantha ssp. eriantha	Low elevation	0	m	D. Ackerly	7/21/06
6479	Triphysaria eriantha ssp. rosea	Low elevation	0	m	D. Ackerly	7/21/06
6480	Triphysaria floribunda	Low elevation	0	m	D. Ackerly	7/21/06
6481	Triphysaria micrantha	Low elevation	0	m	D. Ackerly	7/21/06
6482	Triphysaria pusilla	Low elevation	0	m	D. Ackerly	7/21/06
6483	Triphysaria versicolor	Low elevation	0	m	D. Ackerly	7/21/06
6484	Triphysaria versicolor ssp. faucibarbata	Low elevation	0	m	D. Ackerly	7/21/06
6485	Triphysaria versicolor ssp. versicolor	Low elevation	0	m	D. Ackerly	7/21/06
6486	Verbascum blattaria	Low elevation	0	m	D. Ackerly	7/21/06
6487	Verbascum speciosum	Low elevation	0	m	D. Ackerly	7/21/06
6488	Verbascum thapsus	Low elevation	0	m	D. Ackerly	7/21/06
6489	Verbascum virgatum	Low elevation	0	m	D. Ackerly	7/21/06
6490	Veronica americana	Low elevation	0	m	D. Ackerly	7/21/06
6491	Veronica anagallis-aquatica	Low elevation	0	m	D. Ackerly	7/21/06
6492	Veronica arvensis	Low elevation	0	m	D. Ackerly	7/21/06
6493	Veronica beccabunga	Low elevation	0	m	D. Ackerly	7/21/06
6494	Veronica catenata	Low elevation	0	m	D. Ackerly	7/21/06
6495	Veronica chamaedrys	Low elevation	0	m	D. Ackerly	7/21/06
6496	Veronica copelandii	Low elevation	2500	m	D. Ackerly	7/21/06
6497	Veronica cusickii	Low elevation	0	m	D. Ackerly	7/21/06
6498	Veronica filiformis	Low elevation	0	m	D. Ackerly	7/21/06
6499	Veronica hederifolia	Low elevation	0	m	D. Ackerly	7/21/06
6500	Veronica peregrina ssp. xalapensis	Low elevation	0	m	D. Ackerly	7/21/06
6501	Veronica persica	Low elevation	0	m	D. Ackerly	7/21/06
6502	Veronica scutellata	Low elevation	0	m	D. Ackerly	7/21/06
6503	Veronica serpyllifolia ssp. humifusa	Low elevation	1700	m	D. Ackerly	7/21/06
6504	Veronica triphyllos	Low elevation	0	m	D. Ackerly	7/21/06
6505	Veronica wormskjoldii	Low elevation	2600	m	D. Ackerly	7/21/06
6506	Ailanthus altissima	Low elevation	0	m	D. Ackerly	7/21/06
6507	Castela emoryi	Low elevation	600	m	D. Ackerly	7/21/06
6508	Simmondsia chinensis	Low elevation	0	m	D. Ackerly	7/21/06
6509	Cestrum fasciculatum	Low elevation	0	m	D. Ackerly	7/21/06
6510	Chamaesaracha coronopus	Low elevation	1500	m	D. Ackerly	7/21/06
6511	Chamaesaracha nana	Low elevation	1500	m	D. Ackerly	7/21/06
6512	Datura discolor	Low elevation	0	m	D. Ackerly	7/21/06
6513	Datura ferox	Low elevation	0	m	D. Ackerly	7/21/06
6514	Datura stramonium	Low elevation	0	m	D. Ackerly	7/21/06
6515	Datura wrightii	Low elevation	0	m	D. Ackerly	7/21/06
6516	Lycium andersonii	Low elevation	0	m	D. Ackerly	7/21/06
6517	Lycium barbarum	Low elevation	0	m	D. Ackerly	7/21/06
6518	Lycium brevipes	Low elevation	0	m	D. Ackerly	7/21/06
6519	Lycium brevipes var. brevipes	Low elevation	0	m	D. Ackerly	7/21/06
6520	Lycium brevipes var. hassei	Low elevation	0	m	D. Ackerly	7/21/06
6521	Lycium californicum	Low elevation	0	m	D. Ackerly	7/21/06
6522	Lycium cooperi	Low elevation	0	m	D. Ackerly	7/21/06
6523	Lycium fremontii	Low elevation	0	m	D. Ackerly	7/21/06
6524	Lycium pallidum var. oligospermum	Low elevation	0	m	D. Ackerly	7/21/06
6525	Lycium parishii	Low elevation	0	m	D. Ackerly	7/21/06
6526	Lycium torreyi	Low elevation	0	m	D. Ackerly	7/21/06
6527	Lycium verrucosum	Low elevation	0	m	D. Ackerly	7/21/06
6528	Lycopersicon esculentum	Low elevation	0	m	D. Ackerly	7/21/06
6529	Lycopersicon peruvianum	Low elevation	0	m	D. Ackerly	7/21/06
6530	Nicandra physalodes	Low elevation	0	m	D. Ackerly	7/21/06
6531	Nicotiana acuminata var. multiflora	Low elevation	0	m	D. Ackerly	7/21/06
6532	Nicotiana attenuata	Low elevation	200	m	D. Ackerly	7/21/06
6533	Nicotiana clevelandii	Low elevation	0	m	D. Ackerly	7/21/06
6534	Nicotiana glauca	Low elevation	0	m	D. Ackerly	7/21/06
6535	Nicotiana obtusifolia	Low elevation	0	m	D. Ackerly	7/21/06
6536	Nicotiana quadrivalvis	Low elevation	0	m	D. Ackerly	7/21/06
6537	Nicotiana sylvestris	Low elevation	0	m	D. Ackerly	7/21/06
6538	Oryctes nevadensis	Low elevation	1200	m	D. Ackerly	7/21/06
6539	Petunia parviflora	Low elevation	0	m	D. Ackerly	7/21/06
6540	Physalis acutifolia	Low elevation	0	m	D. Ackerly	7/21/06
6541	Physalis crassifolia	Low elevation	0	m	D. Ackerly	7/21/06
6542	Physalis hederifolia	Low elevation	700	m	D. Ackerly	7/21/06
6543	Physalis hederifolia var. fendleri	Low elevation	900	m	D. Ackerly	7/21/06
6544	Physalis hederifolia var. palmeri	Low elevation	700	m	D. Ackerly	7/21/06
6545	Physalis lancifolia	Low elevation	0	m	D. Ackerly	7/21/06
6546	Physalis lobata	Low elevation	500	m	D. Ackerly	7/21/06
6547	Physalis longifolia	Low elevation	0	m	D. Ackerly	7/21/06
6548	Physalis philadelphica	Low elevation	0	m	D. Ackerly	7/21/06
6549	Physalis pubescens	Low elevation	0	m	D. Ackerly	7/21/06
6550	Physalis pubescens var. grisea	Low elevation	0	m	D. Ackerly	7/21/06
6551	Physalis pubescens var. integrifolia	Low elevation	0	m	D. Ackerly	7/21/06
6552	Physalis viscosa	Low elevation	0	m	D. Ackerly	7/21/06
6553	Salpichroa origanifolia	Low elevation	0	m	D. Ackerly	7/21/06
6554	Solanum americanum	Low elevation	0	m	D. Ackerly	7/21/06
6555	Solanum aviculare	Low elevation	0	m	D. Ackerly	7/21/06
6556	Solanum carolinense	Low elevation	0	m	D. Ackerly	7/21/06
6557	Solanum dimidiatum	Low elevation	0	m	D. Ackerly	7/21/06
6558	Solanum douglasii	Low elevation	0	m	D. Ackerly	7/21/06
6559	Solanum dulcamara	Low elevation	0	m	D. Ackerly	7/21/06
6560	Solanum elaeagnifolium	Low elevation	0	m	D. Ackerly	7/21/06
6561	Solanum furcatum	Low elevation	0	m	D. Ackerly	7/21/06
6562	Solanum lanceolatum	Low elevation	0	m	D. Ackerly	7/21/06
6563	Solanum marginatum	Low elevation	0	m	D. Ackerly	7/21/06
6564	Solanum nigrum	Low elevation	0	m	D. Ackerly	7/21/06
6565	Solanum parishii	Low elevation	0	m	D. Ackerly	7/21/06
6566	Solanum rostratum	Low elevation	0	m	D. Ackerly	7/21/06
6567	Solanum sarrachoides	Low elevation	0	m	D. Ackerly	7/21/06
6568	Solanum sisymbriifolium	Low elevation	0	m	D. Ackerly	7/21/06
6569	Solanum triflorum	Low elevation	100	m	D. Ackerly	7/21/06
6570	Solanum umbelliferum	Low elevation	0	m	D. Ackerly	7/21/06
6571	Solanum wallacei	Low elevation	0	m	D. Ackerly	7/21/06
6572	Solanum xanti	Low elevation	0	m	D. Ackerly	7/21/06
6573	Staphylea bolanderi	Low elevation	300	m	D. Ackerly	7/21/06
6574	Ayenia compacta	Low elevation	0	m	D. Ackerly	7/21/06
6575	Fremontodendron californicum	Low elevation	400	m	D. Ackerly	7/21/06
6576	Fremontodendron californicum ssp. californicum	Low elevation	400	m	D. Ackerly	7/21/06
6577	Fremontodendron californicum ssp. decumbens	Low elevation	2000	m	D. Ackerly	7/21/06
6578	Fremontodendron mexicanum	Low elevation	300	m	D. Ackerly	7/21/06
6579	Styrax officinalis var. redivivus	Low elevation	0	m	D. Ackerly	7/21/06
6580	Tamarix aphylla	Low elevation	0	m	D. Ackerly	7/21/06
6581	Tamarix chinensis	Low elevation	0	m	D. Ackerly	7/21/06
6582	Tamarix gallica	Low elevation	0	m	D. Ackerly	7/21/06
6583	Tamarix parviflora	Low elevation	0	m	D. Ackerly	7/21/06
6584	Tamarix ramosissima	Low elevation	0	m	D. Ackerly	7/21/06
6585	Dirca occidentalis	Low elevation	0	m	D. Ackerly	7/21/06
6586	Tropaeolum majus	Low elevation	0	m	D. Ackerly	7/21/06
6587	Celtis reticulata	Low elevation	500	m	D. Ackerly	7/21/06
6588	Ulmus minor	Low elevation	0	m	D. Ackerly	7/21/06
6589	Ulmus parvifolia	Low elevation	0	m	D. Ackerly	7/21/06
6590	Ulmus pumila	Low elevation	0	m	D. Ackerly	7/21/06
6591	Boehmeria nivea	Low elevation	0	m	D. Ackerly	7/21/06
6592	Hesperocnide tenella	Low elevation	0	m	D. Ackerly	7/21/06
6593	Parietaria hespera	Low elevation	0	m	D. Ackerly	7/21/06
6594	Parietaria hespera var. californica	Low elevation	0	m	D. Ackerly	7/21/06
6595	Parietaria hespera var. hespera	Low elevation	0	m	D. Ackerly	7/21/06
6596	Parietaria judaica	Low elevation	0	m	D. Ackerly	7/21/06
6597	Parietaria pensylvanica	Low elevation	0	m	D. Ackerly	7/21/06
6598	Soleirolia soleirolii	Low elevation	0	m	D. Ackerly	7/21/06
6599	Urtica dioica	Low elevation	0	m	D. Ackerly	7/21/06
6600	Urtica dioica ssp. gracilis	Low elevation	0	m	D. Ackerly	7/21/06
6601	Urtica dioica ssp. holosericea	Low elevation	0	m	D. Ackerly	7/21/06
6602	Urtica urens	Low elevation	0	m	D. Ackerly	7/21/06
6603	Centranthus ruber	Low elevation	0	m	D. Ackerly	7/21/06
6604	Plectritis brachystemon	Low elevation	0	m	D. Ackerly	7/21/06
6605	Plectritis ciliosa	Low elevation	0	m	D. Ackerly	7/21/06
6606	Plectritis ciliosa ssp. ciliosa	Low elevation	0	m	D. Ackerly	7/21/06
6607	Plectritis ciliosa ssp. insignis	Low elevation	0	m	D. Ackerly	7/21/06
6608	Plectritis congesta	Low elevation	100	m	D. Ackerly	7/21/06
6609	Plectritis macrocera	Low elevation	0	m	D. Ackerly	7/21/06
6610	Valeriana californica	Low elevation	1500	m	D. Ackerly	7/21/06
6611	Valeriana occidentalis	Low elevation	1500	m	D. Ackerly	7/21/06
6612	Valeriana pubicarpa	Low elevation	2100	m	D. Ackerly	7/21/06
6613	Valeriana sitchensis	Low elevation	0	m	D. Ackerly	7/21/06
6614	Valeriana sitchensis ssp. scouleri	Low elevation	0	m	D. Ackerly	7/21/06
6615	Valeriana sitchensis ssp. sitchensis	Low elevation	1500	m	D. Ackerly	7/21/06
6616	Valerianella locusta	Low elevation	0	m	D. Ackerly	7/21/06
6617	Aloysia wrightii	Low elevation	900	m	D. Ackerly	7/21/06
6618	Avicennia marina var. resinifera	Low elevation	0	m	D. Ackerly	7/21/06
6619	Lantana camara	Low elevation	0	m	D. Ackerly	7/21/06
6620	Lantana montevidensis	Low elevation	0	m	D. Ackerly	7/21/06
6621	Phyla lanceolata	Low elevation	0	m	D. Ackerly	7/21/06
6622	Phyla nodiflora	Low elevation	0	m	D. Ackerly	7/21/06
6623	Phyla nodiflora var. incisa	Low elevation	0	m	D. Ackerly	7/21/06
6624	Phyla nodiflora var. nodiflora	Low elevation	0	m	D. Ackerly	7/21/06
6625	Verbena bonariensis	Low elevation	0	m	D. Ackerly	7/21/06
6626	Verbena bracteata	Low elevation	0	m	D. Ackerly	7/21/06
6627	Verbena californica	Low elevation	300	m	D. Ackerly	7/21/06
6628	Verbena gooddingii	Low elevation	1200	m	D. Ackerly	7/21/06
6629	Verbena hastata	Low elevation	0	m	D. Ackerly	7/21/06
6630	Verbena lasiostachys	Low elevation	0	m	D. Ackerly	7/21/06
6631	Verbena lasiostachys var. lasiostachys	Low elevation	0	m	D. Ackerly	7/21/06
6632	Verbena lasiostachys var. scabrida	Low elevation	0	m	D. Ackerly	7/21/06
6633	Verbena litoralis	Low elevation	0	m	D. Ackerly	7/21/06
6634	Verbena menthifolia	Low elevation	0	m	D. Ackerly	7/21/06
6635	Verbena scabra	Low elevation	0	m	D. Ackerly	7/21/06
6636	Verbena tenuisecta	Low elevation	0	m	D. Ackerly	7/21/06
6637	Viola adunca	Low elevation	0	m	D. Ackerly	7/21/06
6638	Viola arvensis	Low elevation	0	m	D. Ackerly	7/21/06
6639	Viola aurea	Low elevation	1000	m	D. Ackerly	7/21/06
6640	Viola bakeri	Low elevation	1300	m	D. Ackerly	7/21/06
6641	Viola beckwithii	Low elevation	900	m	D. Ackerly	7/21/06
6642	Viola cuneata	Low elevation	600	m	D. Ackerly	7/21/06
6643	Viola douglasii	Low elevation	100	m	D. Ackerly	7/21/06
6644	Viola glabella	Low elevation	0	m	D. Ackerly	7/21/06
6645	Viola hallii	Low elevation	500	m	D. Ackerly	7/21/06
6646	Viola lobata	Low elevation	100	m	D. Ackerly	7/21/06
6647	Viola lobata ssp. integrifolia	Low elevation	400	m	D. Ackerly	7/21/06
6648	Viola lobata ssp. lobata	Low elevation	100	m	D. Ackerly	7/21/06
6649	Viola macloskeyi	Low elevation	1000	m	D. Ackerly	7/21/06
6650	Viola ocellata	Low elevation	100	m	D. Ackerly	7/21/06
6651	Viola odorata	Low elevation	0	m	D. Ackerly	7/21/06
6652	Viola palustris	Low elevation	0	m	D. Ackerly	7/21/06
6653	Viola pedunculata	Low elevation	0	m	D. Ackerly	7/21/06
6654	Viola pinetorum	Low elevation	1400	m	D. Ackerly	7/21/06
6655	Viola pinetorum ssp. grisea	Low elevation	1500	m	D. Ackerly	7/21/06
6656	Viola pinetorum ssp. pinetorum	Low elevation	1400	m	D. Ackerly	7/21/06
6657	Viola praemorsa	Low elevation	500	m	D. Ackerly	7/21/06
6658	Viola praemorsa ssp. linguifolia	Low elevation	500	m	D. Ackerly	7/21/06
6659	Viola praemorsa ssp. praemorsa	Low elevation	500	m	D. Ackerly	7/21/06
6660	Viola primulifolia ssp. occidentalis	Low elevation	100	m	D. Ackerly	7/21/06
6661	Viola purpurea	Low elevation	400	m	D. Ackerly	7/21/06
6662	Viola purpurea ssp. integrifolia	Low elevation	1200	m	D. Ackerly	7/21/06
6663	Viola purpurea ssp. mohavensis	Low elevation	1000	m	D. Ackerly	7/21/06
6664	Viola purpurea ssp. purpurea	Low elevation	500	m	D. Ackerly	7/21/06
6665	Viola purpurea ssp. quercetorum	Low elevation	400	m	D. Ackerly	7/21/06
6666	Viola purpurea ssp. venosa	Low elevation	1300	m	D. Ackerly	7/21/06
6667	Viola sempervirens	Low elevation	0	m	D. Ackerly	7/21/06
6668	Viola sheltonii	Low elevation	800	m	D. Ackerly	7/21/06
6669	Viola sororia ssp. affinis	Low elevation	300	m	D. Ackerly	7/21/06
6670	Viola tomentosa	Low elevation	1500	m	D. Ackerly	7/21/06
6671	Viola tricolor	Low elevation	0	m	D. Ackerly	7/21/06
6672	Arceuthobium abietinum	Low elevation	0	m	D. Ackerly	7/21/06
6673	Arceuthobium americanum	Low elevation	1300	m	D. Ackerly	7/21/06
6674	Arceuthobium californicum	Low elevation	600	m	D. Ackerly	7/21/06
6675	Arceuthobium campylopodum	Low elevation	0	m	D. Ackerly	7/21/06
6676	Arceuthobium cyanocarpum	Low elevation	2100	m	D. Ackerly	7/21/06
6677	Arceuthobium divaricatum	Low elevation	1400	m	D. Ackerly	7/21/06
6678	Arceuthobium douglasii	Low elevation	1500	m	D. Ackerly	7/21/06
6679	Arceuthobium littorum	Low elevation	0	m	D. Ackerly	7/21/06
6680	Arceuthobium monticola	Low elevation	700	m	D. Ackerly	7/21/06
6681	Arceuthobium occidentale	Low elevation	100	m	D. Ackerly	7/21/06
6682	Arceuthobium siskiyouense	Low elevation	400	m	D. Ackerly	7/21/06
6683	Arceuthobium tsugense	Low elevation	1300	m	D. Ackerly	7/21/06
6684	Arceuthobium tsugense ssp. mertensianae	Low elevation	1300	m	D. Ackerly	7/21/06
6685	Arceuthobium tsugense ssp. tsugense	Low elevation	0	m	D. Ackerly	7/21/06
6686	Phoradendron californicum	Low elevation	0	m	D. Ackerly	7/21/06
6687	Phoradendron densum	Low elevation	200	m	D. Ackerly	7/21/06
6688	Phoradendron juniperinum	Low elevation	1700	m	D. Ackerly	7/21/06
6689	Phoradendron libocedri	Low elevation	1300	m	D. Ackerly	7/21/06
6690	Phoradendron macrophyllum	Low elevation	0	m	D. Ackerly	7/21/06
6691	Phoradendron pauciflorum	Low elevation	1400	m	D. Ackerly	7/21/06
6692	Phoradendron villosum	Low elevation	0	m	D. Ackerly	7/21/06
6693	Viscum album	Low elevation	0	m	D. Ackerly	7/21/06
6694	Parthenocissus vitacea	Low elevation	0	m	D. Ackerly	7/21/06
6695	Vitis californica	Low elevation	0	m	D. Ackerly	7/21/06
6696	Vitis girdiana	Low elevation	0	m	D. Ackerly	7/21/06
6697	Vitis vinifera	Low elevation	0	m	D. Ackerly	7/21/06
6698	Fagonia laevis	Low elevation	0	m	D. Ackerly	7/21/06
6699	Fagonia pachyacantha	Low elevation	0	m	D. Ackerly	7/21/06
6700	Kallstroemia californica	Low elevation	0	m	D. Ackerly	7/21/06
6701	Kallstroemia grandiflora	Low elevation	300	m	D. Ackerly	7/21/06
6702	Kallstroemia parviflora	Low elevation	1500	m	D. Ackerly	7/21/06
6703	Larrea tridentata	Low elevation	0	m	D. Ackerly	7/21/06
6704	Tribulus terrestris	Low elevation	0	m	D. Ackerly	7/21/06
6705	Zygophyllum fabago	Low elevation	0	m	D. Ackerly	7/21/06
6706	Alisma gramineum	Low elevation	1200	m	D. Ackerly	7/21/06
6707	Alisma lanceolatum	Low elevation	0	m	D. Ackerly	7/21/06
6708	Alisma plantago-aquatica	Low elevation	0	m	D. Ackerly	7/21/06
6709	Damasonium californicum	Low elevation	0	m	D. Ackerly	7/21/06
6710	Echinodorus berteroi	Low elevation	0	m	D. Ackerly	7/21/06
6711	Sagittaria cuneata	Low elevation	0	m	D. Ackerly	7/21/06
6712	Sagittaria latifolia	Low elevation	0	m	D. Ackerly	7/21/06
6713	Sagittaria longiloba	Low elevation	0	m	D. Ackerly	7/21/06
6714	Sagittaria montevidensis ssp. calycina	Low elevation	0	m	D. Ackerly	7/21/06
6715	Sagittaria sanfordii	Low elevation	0	m	D. Ackerly	7/21/06
6716	Aponogeton distachyon	Low elevation	0	m	D. Ackerly	7/21/06
6717	Acorus calamus	Low elevation	0	m	D. Ackerly	7/21/06
6718	Arum italicum	Low elevation	0	m	D. Ackerly	7/21/06
6719	Lysichiton americanus	Low elevation	0	m	D. Ackerly	7/21/06
6720	Peltandra virginica	Low elevation	0	m	D. Ackerly	7/21/06
6721	Pistia stratiotes	Low elevation	0	m	D. Ackerly	7/21/06
6722	Zantedeschia aethiopica	Low elevation	0	m	D. Ackerly	7/21/06
6723	Phoenix canariensis	Low elevation	0	m	D. Ackerly	7/21/06
6724	Phoenix dactylifera	Low elevation	0	m	D. Ackerly	7/21/06
6725	Washingtonia filifera	Low elevation	0	m	D. Ackerly	7/21/06
6726	Commelina benghalensis	Low elevation	0	m	D. Ackerly	7/21/06
6727	Tradescantia fluminensis	Low elevation	400	m	D. Ackerly	7/21/06
6728	Halodule wrightii	Low elevation	0	m	D. Ackerly	7/21/06
6729	Bulbostylis capillaris	Low elevation	1000	m	D. Ackerly	7/21/06
6730	Carex abrupta	Low elevation	1400	m	D. Ackerly	7/21/06
6731	Carex albida	Low elevation	0	m	D. Ackerly	7/21/06
6732	Carex albonigra	Low elevation	3000	m	D. Ackerly	7/21/06
6733	Carex alma	Low elevation	100	m	D. Ackerly	7/21/06
6734	Carex amplectens	Low elevation	1200	m	D. Ackerly	7/21/06
6735	Carex amplifolia	Low elevation	0	m	D. Ackerly	7/21/06
6736	Carex angustata	Low elevation	300	m	D. Ackerly	7/21/06
6737	Carex aquatilis	Low elevation	0	m	D. Ackerly	7/21/06
6738	Carex aquatilis var. aquatilis	Low elevation	0	m	D. Ackerly	7/21/06
6739	Carex aquatilis var. dives	Low elevation	0	m	D. Ackerly	7/21/06
6740	Carex arcta	Low elevation	0	m	D. Ackerly	7/21/06
6741	Carex atherodes	Low elevation	1300	m	D. Ackerly	7/21/06
6742	Carex athrostachya	Low elevation	100	m	D. Ackerly	7/21/06
6743	Carex aurea	Low elevation	1100	m	D. Ackerly	7/21/06
6744	Carex barbarae	Low elevation	0	m	D. Ackerly	7/21/06
6745	Carex bolanderi	Low elevation	0	m	D. Ackerly	7/21/06
6746	Carex brainerdii	Low elevation	900	m	D. Ackerly	7/21/06
6747	Carex brevicaulis	Low elevation	0	m	D. Ackerly	7/21/06
6748	Carex breweri var. breweri	Low elevation	2300	m	D. Ackerly	7/21/06
6749	Carex buxbaumii	Low elevation	0	m	D. Ackerly	7/21/06
6750	Carex californica	Low elevation	0	m	D. Ackerly	7/21/06
6751	Carex canescens	Low elevation	1100	m	D. Ackerly	7/21/06
6752	Carex capitata	Low elevation	1900	m	D. Ackerly	7/21/06
6753	Carex cephalophora	Low elevation	0	m	D. Ackerly	7/21/06
6754	Carex comosa	Low elevation	0	m	D. Ackerly	7/21/06
6755	Carex concinnoides	Low elevation	0	m	D. Ackerly	7/21/06
6756	Carex congdonii	Low elevation	2600	m	D. Ackerly	7/21/06
6757	Carex cusickii	Low elevation	0	m	D. Ackerly	7/21/06
6758	Carex davyi	Low elevation	1500	m	D. Ackerly	7/21/06
6759	Carex densa	Low elevation	0	m	D. Ackerly	7/21/06
6760	Carex deweyana ssp. leptopoda	Low elevation	0	m	D. Ackerly	7/21/06
6761	Carex diandra	Low elevation	100	m	D. Ackerly	7/21/06
6762	Carex disperma	Low elevation	1100	m	D. Ackerly	7/21/06
6763	Carex douglasii	Low elevation	300	m	D. Ackerly	7/21/06
6764	Carex dudleyi	Low elevation	0	m	D. Ackerly	7/21/06
6765	Carex echinata	Low elevation	0	m	D. Ackerly	7/21/06
6766	Carex echinata ssp. echinata	Low elevation	0	m	D. Ackerly	7/21/06
6767	Carex echinata ssp. phyllomanica	Low elevation	0	m	D. Ackerly	7/21/06
6768	Carex eleocharis	Low elevation	3500	m	D. Ackerly	7/21/06
6769	Carex feta	Low elevation	0	m	D. Ackerly	7/21/06
6770	Carex filifolia	Low elevation	1500	m	D. Ackerly	7/21/06
6771	Carex filifolia var. erostrata	Low elevation	1500	m	D. Ackerly	7/21/06
6772	Carex filifolia var. filifolia	Low elevation	3200	m	D. Ackerly	7/21/06
6773	Carex fissuricola	Low elevation	1500	m	D. Ackerly	7/21/06
6774	Carex fracta	Low elevation	800	m	D. Ackerly	7/21/06
6775	Carex garberi	Low elevation	0	m	D. Ackerly	7/21/06
6776	Carex geyeri	Low elevation	1500	m	D. Ackerly	7/21/06
6777	Carex gigas	Low elevation	800	m	D. Ackerly	7/21/06
6778	Carex globosa	Low elevation	0	m	D. Ackerly	7/21/06
6779	Carex gracilior	Low elevation	0	m	D. Ackerly	7/21/06
6780	Carex gynodynama	Low elevation	0	m	D. Ackerly	7/21/06
6781	Carex halliana	Low elevation	1800	m	D. Ackerly	7/21/06
6782	Carex harfordii	Low elevation	0	m	D. Ackerly	7/21/06
6783	Carex hassei	Low elevation	0	m	D. Ackerly	7/21/06
6784	Carex haydeniana	Low elevation	2400	m	D. Ackerly	7/21/06
6785	Carex helleri	Low elevation	2400	m	D. Ackerly	7/21/06
6786	Carex hendersonii	Low elevation	0	m	D. Ackerly	7/21/06
6787	Carex heteroneura	Low elevation	1800	m	D. Ackerly	7/21/06
6788	Carex heteroneura var. epapillosa	Low elevation	1800	m	D. Ackerly	7/21/06
6789	Carex heteroneura var. heteroneura	Low elevation	1800	m	D. Ackerly	7/21/06
6790	Carex hirtissima	Low elevation	0	m	D. Ackerly	7/21/06
6791	Carex hoodii	Low elevation	1200	m	D. Ackerly	7/21/06
6792	Carex hystricina	Low elevation	0	m	D. Ackerly	7/21/06
6793	Carex illota	Low elevation	2100	m	D. Ackerly	7/21/06
6794	Carex incurviformis var. danaensis	Low elevation	3700	m	D. Ackerly	7/21/06
6795	Carex inops ssp. inops	Low elevation	1000	m	D. Ackerly	7/21/06
6796	Carex integra	Low elevation	900	m	D. Ackerly	7/21/06
6797	Carex interior	Low elevation	1100	m	D. Ackerly	7/21/06
6798	Carex jonesii	Low elevation	900	m	D. Ackerly	7/21/06
6799	Carex laeviculmis	Low elevation	700	m	D. Ackerly	7/21/06
6800	Carex lanuginosa	Low elevation	0	m	D. Ackerly	7/21/06
6801	Carex lasiocarpa	Low elevation	1800	m	D. Ackerly	7/21/06
6802	Carex leavenworthii	Low elevation	0	m	D. Ackerly	7/21/06
6803	Carex lemmonii	Low elevation	700	m	D. Ackerly	7/21/06
6804	Carex lenticularis	Low elevation	0	m	D. Ackerly	7/21/06
6805	Carex lenticularis var. impressa	Low elevation	1200	m	D. Ackerly	7/21/06
6806	Carex lenticularis var. limnophila	Low elevation	0	m	D. Ackerly	7/21/06
6807	Carex lenticularis var. lipocarpa	Low elevation	0	m	D. Ackerly	7/21/06
6808	Carex leporinella	Low elevation	2100	m	D. Ackerly	7/21/06
6809	Carex leptalea	Low elevation	0	m	D. Ackerly	7/21/06
6810	Carex limosa	Low elevation	1200	m	D. Ackerly	7/21/06
6811	Carex livida	Low elevation	0	m	D. Ackerly	7/21/06
6812	Carex luzulifolia	Low elevation	2100	m	D. Ackerly	7/21/06
