id	taxon	trait	value	units	created.by	created.date
149	Abies magnifica var. shastensis	Low elevation	1300	m	D. Ackerly	7/21/06
150	Abies procera	Low elevation	0	m	D. Ackerly	7/21/06
151	Picea breweriana	Low elevation	500	m	D. Ackerly	7/21/06
152	Picea engelmannii	Low elevation	1200	m	D. Ackerly	7/21/06
153	Picea sitchensis	Low elevation	0	m	D. Ackerly	7/21/06
154	Pinus albicaulis	Low elevation	0	m	D. Ackerly	7/21/06
155	Pinus attenuata	Low elevation	0	m	D. Ackerly	7/21/06
156	Pinus balfouriana	Low elevation	2100	m	D. Ackerly	7/21/06
157	Pinus balfouriana ssp. austrina	Low elevation	2700	m	D. Ackerly	7/21/06
158	Pinus balfouriana ssp. balfouriana	Low elevation	2100	m	D. Ackerly	7/21/06
159	Pinus contorta	Low elevation	0	m	D. Ackerly	7/21/06
160	Pinus contorta ssp. bolanderi	Low elevation	0	m	D. Ackerly	7/21/06
161	Pinus contorta ssp. contorta	Low elevation	0	m	D. Ackerly	7/21/06
162	Pinus contorta ssp. murrayana	Low elevation	0	m	D. Ackerly	7/21/06
163	Pinus coulteri	Low elevation	0	m	D. Ackerly	7/21/06
164	Pinus edulis	Low elevation	1300	m	D. Ackerly	7/21/06
165	Pinus flexilis	Low elevation	0	m	D. Ackerly	7/21/06
166	Pinus jeffreyi	Low elevation	400	m	D. Ackerly	7/21/06
167	Pinus lambertiana	Low elevation	0	m	D. Ackerly	7/21/06
168	Pinus longaeva	Low elevation	2200	m	D. Ackerly	7/21/06
169	Pinus monophylla	Low elevation	0	m	D. Ackerly	7/21/06
170	Pinus monticola	Low elevation	100	m	D. Ackerly	7/21/06
171	Pinus muricata	Low elevation	0	m	D. Ackerly	7/21/06
172	Pinus ponderosa	Low elevation	100	m	D. Ackerly	7/21/06
173	Pinus quadrifolia	Low elevation	1100	m	D. Ackerly	7/21/06
174	Pinus radiata	Low elevation	0	m	D. Ackerly	7/21/06
175	Pinus sabiniana	Low elevation	100	m	D. Ackerly	7/21/06
176	Pinus torreyana	Low elevation	0	m	D. Ackerly	7/21/06
177	Pinus washoensis	Low elevation	0	m	D. Ackerly	7/21/06
178	Pseudotsuga macrocarpa	Low elevation	200	m	D. Ackerly	7/21/06
179	Pseudotsuga menziesii var. menziesii	Low elevation	0	m	D. Ackerly	7/21/06
180	Tsuga heterophylla	Low elevation	0	m	D. Ackerly	7/21/06
181	Tsuga mertensiana	Low elevation	1200	m	D. Ackerly	7/21/06
182	Taxus brevifolia	Low elevation	0	m	D. Ackerly	7/21/06
183	Torreya californica	Low elevation	0	m	D. Ackerly	7/21/06
184	Sequoia sempervirens	Low elevation	0	m	D. Ackerly	7/21/06
185	Sequoiadendron giganteum	Low elevation	800	m	D. Ackerly	7/21/06
186	Carlowrightia arizonica	Low elevation	300	m	D. Ackerly	7/21/06
187	Justicia californica	Low elevation	0	m	D. Ackerly	7/21/06
188	Acer circinatum	Low elevation	0	m	D. Ackerly	7/21/06
189	Acer glabrum	Low elevation	1500	m	D. Ackerly	7/21/06
