"","species","hemisphere","chilefornia_northbay","chilefornia_california","chilefornia_westernNA","fia_northbay","fia_california","fia_westernNA","CODE","SPECIES","COMMON.NAME","TR","SA","TS","hectares","rownum","notes"
"94","Dasyphyllum excelsum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Dendromecon harfordii","north",0,288,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Dendromecon rigida","north",203,2141,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Desfontainia fulgens","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Discaria chacaye","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Drimys winteri","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Embothrium coccineum","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Erythrina flabelliformis","north",0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Escallonia angustifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Escallonia myrtoidea","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Escallonia pulverulenta","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Escallonia revoluta","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Escallonia rubra","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Eucryphia cordifolia","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Eucryphia glutinosa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Euonymus occidentalis","north",89,414,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Festuca rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,""
"111","Fitzroya cupressoides","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Frangula californica","north",584,4510,4174,NA,NA,NA,"FRACAL","Frangula californica","Coffeeberry",26,70,3,NA,NA,NA
"113","Frangula purshiana","north",65,660,910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Fraxinus anomala","north",0,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Fraxinus dipetala","north",88,848,872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Fraxinus latifolia","north",266,830,1013,9,40,167,"FRALAT","Fraxinus latifolia","Oregon ash",NA,NA,NA,15,NA,NA
"117","Fraxinus velutina","north",0,498,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Garrya congdonii","north",104,228,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Garrya elliptica","north",226,720,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Garrya flavescens","north",81,1171,861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
