id	taxon	LowEl	HighEl
231	Rhus ovata	0	1300
232	Rhus trilobata	0	2200
233	Schinus molle	0	700
234	Schinus terebinthifolius	0	200
235	Toxicodendron diversilobum	0	1700
236	Ammi majus	0	1000
237	Ammi visnaga	0	1000
238	Ammoselinum giganteum	400	4100
239	Anethum graveolens	0	1000
240	Angelica arguta	200	2000
241	Angelica breweri	1000	3000
242	Angelica californica	0	1500
243	Angelica callii	1100	2000
244	Angelica genuflexa	0	1000
245	Angelica hendersonii	0	100
246	Angelica kingii	1900	3000
247	Angelica lineariloba	2300	3000
248	Angelica lucida	0	100
249	Angelica tomentosa	600	2400
250	Anthriscus caucalis	0	400
251	Apiastrum angustifolium	0	1500
252	Apium graveolens	0	1000
253	Apium nodiflorum	0	1000
254	Berula erecta	0	1800
255	Bowlesia incana	0	1200
256	Bupleurum lancifolium	0	1000
257	Ciclospermum leptophyllum	0	200
258	Cicuta douglasii	0	2500
259	Cicuta maculata	0	2000
260	Cicuta maculata var. angustifolia	1500	2100
261	Cicuta maculata var. bolanderi	0	200
262	Conioselinum pacificum	0	100
263	Conium maculatum	0	1000
264	Coriandrum sativum	0	1000
265	Cymopterus aboriginum	1500	2500
266	Cymopterus cinerarius	2500	3500
267	Cymopterus deserticola	1500	4100
268	Cymopterus gilmanii	1000	2000
269	Cymopterus globosus	1200	2100
270	Cymopterus multinervatus	600	1500
271	Cymopterus panamintensis	700	2500
272	Cymopterus panamintensis var. acutifolius	700	1000
273	Cymopterus panamintensis var. panamintensis	800	2500
274	Cymopterus purpurascens	1300	2200
275	Cymopterus ripleyi	1000	1600
276	Cymopterus terebinthinus	100	3500
277	Cymopterus terebinthinus var. californicus	100	3500
278	Cymopterus terebinthinus var. petraeus	1800	3400
279	Daucus carota	0	1200
280	Daucus pusillus	0	1500
281	Eryngium alismifolium	1300	1800
282	Eryngium aristulatum	0	1000
283	Eryngium aristulatum var. aristulatum	0	1000
284	Eryngium aristulatum var. hooveri	0	1000
285	Eryngium aristulatum var. parishii	0	200
286	Eryngium armatum	0	200
287	Eryngium articulatum	0	1800
288	Eryngium castrense	0	800
289	Eryngium constancei	800	4100
290	Eryngium mathiasiae	1000	1500
291	Eryngium pinnatisectum	200	500
292	Eryngium racemosum	0	100
293	Eryngium spinosepalum	100	200
294	Eryngium vaseyi	0	600
295	Foeniculum vulgare	0	400
296	Glehnia littoralis ssp. leiocarpa	0	100
297	Heracleum lanatum	0	2600
298	Hydrocotyle moschata	100	4100
299	Hydrocotyle ranunculoides	0	1500
300	Hydrocotyle sibthorpioides	300	4100
301	Hydrocotyle umbellata	0	1000
302	Hydrocotyle verticillata	0	100
303	Ligusticum apiifolium	0	1800
304	Ligusticum californicum	0	1500
305	Ligusticum grayi	1400	3300
306	Lilaeopsis masonii	0	100
307	Lilaeopsis occidentalis	0	100
308	Lomatium bicolor var. leptocarpum	1000	2300
309	Lomatium californicum	100	1800
310	Lomatium canbyi	1900	2100
311	Lomatium caruifolium	0	600
312	Lomatium caruifolium var. caruifolium	0	600
313	Lomatium caruifolium var. denticulatum	0	500
314	Lomatium ciliolatum	1200	2100
315	Lomatium ciliolatum var. ciliolatum	1200	2100
316	Lomatium ciliolatum var. hooveri	300	600
317	Lomatium congdonii	300	1200
318	Lomatium dasycarpum	0	1600
319	Lomatium dasycarpum ssp. dasycarpum	0	1600
320	Lomatium dasycarpum ssp. tomentosum	0	1500
321	Lomatium dissectum	100	3000
322	Lomatium dissectum var. dissectum	100	2000
323	Lomatium dissectum var. multifidum	600	3000
324	Lomatium engelmannii	1100	2300
325	Lomatium foeniculaceum	1600	3300
326	Lomatium foeniculaceum ssp. fimbriatum	1600	3300
327	Lomatium foeniculaceum ssp. inyoense	0	3000
328	Lomatium hallii	100	4100
329	Lomatium howellii	100	1000
330	Lomatium insulare	0	800
331	Lomatium lucidum	400	1500
332	Lomatium macrocarpum	100	3000
333	Lomatium marginatum	200	1000
334	Lomatium marginatum var. marginatum	200	1000
335	Lomatium marginatum var. purpureum	300	800
336	Lomatium martindalei	200	3000
337	Lomatium mohavense	1000	2000
338	Lomatium nevadense	1000	3000
339	Lomatium nevadense var. nevadense	1500	3000
340	Lomatium nevadense var. parishii	1000	3000
341	Lomatium nudicaule	100	2000
342	Lomatium parryi	1500	2500
343	Lomatium parvifolium	0	200
344	Lomatium peckianum	800	1800
345	Lomatium piperi	1000	1500
346	Lomatium plummerae	1500	2300
347	Lomatium ravenii	1000	3000
348	Lomatium repostum	100	800
349	Lomatium rigidum	1200	2200
350	Lomatium shevockii	2200	2500
351	Lomatium stebbinsii	1200	1700
352	Lomatium torreyi	1100	3300
353	Lomatium tracyi	500	1500
354	Lomatium triternatum	200	2000
355	Lomatium triternatum var. macrocarpum	200	1500
356	Lomatium triternatum var. triternatum	200	2000
357	Lomatium utriculatum	0	1600
358	Lomatium vaginatum	600	1900
359	Oenanthe pimpinelloides	1400	1600
360	Oenanthe sarmentosa	0	1000
361	Oreonana clementis	1700	4000
362	Oreonana purpurascens	2500	2600
363	Oreonana vestita	2400	3500
364	Orogenia fusiformis	1500	2000
365	Osmorhiza brachypoda	200	2000
366	Osmorhiza chilensis	100	2800
367	Osmorhiza depauperata	500	3300
368	Osmorhiza occidentalis	300	3100
369	Osmorhiza purpurea	100	2200
370	Oxypolis occidentalis	1200	2600
371	Pastinaca sativa	0	1000
372	Perideridia bacigalupii	400	1000
373	Perideridia bolanderi	600	2000
374	Perideridia bolanderi ssp. bolanderi	1000	2000
375	Perideridia bolanderi ssp. involucrata	600	1000
376	Perideridia californica	300	1300
377	Perideridia gairdneri	0	3000
378	Perideridia gairdneri ssp. borealis	0	3000
379	Perideridia gairdneri ssp. gairdneri	0	400
380	Perideridia howellii	300	1500
381	Perideridia kelloggii	0	1000
382	Perideridia lemmonii	1000	2500
383	Perideridia leptocarpa	600	1500
384	Perideridia oregana	300	2000
385	Perideridia parishii	2000	3000
386	Perideridia parishii ssp. latifolia	2000	3000
387	Perideridia parishii ssp. parishii	2000	3000
388	Perideridia pringlei	300	1800
389	Petroselinum crispum	0	1000
390	Podistera nevadensis	3000	4000
391	Sanicula arctopoides	0	300
392	Sanicula arguta	0	600
393	Sanicula bipinnata	0	1000
394	Sanicula bipinnatifida	0	1200
395	Sanicula crassicaulis	0	1000
396	Sanicula graveolens	600	2600
397	Sanicula hoffmannii	0	300
398	Sanicula laciniata	0	900
399	Sanicula maritima	100	4100
400	Sanicula peckiana	100	800
401	Sanicula saxatilis	900	1100
402	Sanicula tracyi	100	1000
403	Sanicula tuberosa	100	2700
404	Scandix pecten-veneris	0	1000
405	Sium suave	0	2000
406	Spermolepis echinata	0	1500
407	Sphenosciadium capitellatum	900	3000
408	Tauschia arguta	100	1500
409	Tauschia glauca	0	1700
410	Tauschia hartwegii	300	1500
411	Tauschia howellii	2000	2500
412	Tauschia kelloggii	0	1700
413	Tauschia parishii	1200	2400
414	Torilis arvensis	0	1600
415	Torilis nodosa	0	1500
416	Yabea microcarpa	0	1000
417	Amsonia tomentosa	300	1800
418	Apocynum androsaemifolium	200	2500
419	Apocynum cannabinum	0	2000
420	Catharanthus roseus	100	200
421	Cycladenia humilis	1200	2800
422	Cycladenia humilis var. humilis	1200	2800
423	Cycladenia humilis var. venusta	1500	2500
424	Vinca major	0	200
425	Ilex aquifolium	0	200
426	Aralia californica	0	2000
427	Hedera helix	0	1000
428	Aristolochia californica	0	700
429	Asarum caudatum	0	2200
430	Asarum hartwegii	100	2200
431	Asarum lemmonii	1100	1900
432	Asarum marmoratum	200	1800
433	Araujia sericifera	100	400
434	Asclepias albicans	200	1100
435	Asclepias asperula ssp. asperula	1500	2000
436	Asclepias californica	200	2100
437	Asclepias cordifolia	0	2000
438	Asclepias cryptoceras	1400	1700
439	Asclepias curassavica	0	2000
440	Asclepias eriocarpa	200	1900
441	Asclepias erosa	100	1900
442	Asclepias fascicularis	0	2200
443	Asclepias linaria	1000	1400
444	Asclepias nyctaginifolia	1000	1700
445	Asclepias solanoana	700	1600
446	Asclepias speciosa	0	1900
447	Asclepias subulata	0	700
448	Asclepias vestita	0	1400
449	Cynanchum utahense	0	1000
450	Matelea parvifolia	700	1000
451	Sarcostemma cynanchoides ssp. hartwegii	0	1600
452	Sarcostemma hirtellum	100	1200
453	Acamptopappus shockleyi	500	2000
454	Acamptopappus sphaerocephalus	0	2200
455	Acamptopappus sphaerocephalus var. hirtellus	0	1600
456	Acamptopappus sphaerocephalus var. sphaerocephalus	0	2200
457	Achillea millefolium	0	3500
458	Achyrachaena mollis	0	900
459	Acourtia microcephala	0	1600
460	Acroptilon repens	0	1900
461	Adenocaulon bicolor	0	2000
462	Adenophyllum cooperi	600	1600
463	Adenophyllum porophylloides	200	1500
464	Ageratina adenophora	0	300
