id	taxon	LowEl	HighEl
3816	Nama densum var. parviflorum	1200	1800
3817	Nama depressum	600	1600
3818	Nama dichotomum var. dichotomum	1900	2200
3819	Nama hispidum var. spathulatum	0	600
3820	Nama lobbii	1300	2200
3821	Nama pusillum	0	1700
3822	Nama rothrockii	1700	4000
3823	Nama stenocarpum	0	500
3824	Nemophila breviflora	1500	2200
3825	Nemophila heterophylla	0	1700
3826	Nemophila maculata	0	3100
3827	Nemophila menziesii	0	1900
3828	Nemophila menziesii var. atomaria	0	1500
3829	Nemophila menziesii var. integrifolia	100	1900
3830	Nemophila menziesii var. menziesii	0	1600
3831	Nemophila parviflora	0	2300
3832	Nemophila parviflora var. austiniae	1100	2300
3833	Nemophila parviflora var. parviflora	0	1600
3834	Nemophila parviflora var. quercifolia	700	2200
3835	Nemophila pedunculata	0	2400
3836	Nemophila pulchella	100	1900
3837	Nemophila pulchella var. fremontii	400	1400
3838	Nemophila pulchella var. gracilis	100	1000
3839	Nemophila pulchella var. pulchella	100	1900
3840	Nemophila spatulata	1100	3200
3841	Phacelia adenophora	1200	2600
3842	Phacelia affinis	0	3400
3843	Phacelia amabilis	500	700
3844	Phacelia anelsonii	1200	1500
3845	Phacelia argentea	0	100
3846	Phacelia austromontana	1800	3000
3847	Phacelia barnebyana	1600	2700
3848	Phacelia bicolor var. bicolor	700	3400
3849	Phacelia bolanderi	0	1400
3850	Phacelia brachyloba	0	2300
3851	Phacelia breweri	0	1400
3852	Phacelia californica	0	1000
3853	Phacelia calthifolia	0	1000
3854	Phacelia campanularia	0	1600
3855	Phacelia campanularia ssp. campanularia	0	1600
3856	Phacelia campanularia ssp. vasiformis	0	1600
3857	Phacelia cicutaria	0	1400
3858	Phacelia cicutaria var. cicutaria	0	1400
3859	Phacelia cicutaria var. hispida	0	1400
3860	Phacelia cicutaria var. hubbyi	0	1000
3861	Phacelia ciliata	0	1700
3862	Phacelia coerulea	1400	2000
3863	Phacelia congdonii	600	1700
3864	Phacelia cookei	1400	1700
3865	Phacelia corymbosa	100	2600
3866	Phacelia crenulata	0	2200
3867	Phacelia crenulata var. ambigua	0	1600
3868	Phacelia crenulata var. crenulata	0	2200
3869	Phacelia crenulata var. minutiflora	0	500
3870	Phacelia cryptantha	0	1900
3871	Phacelia curvipes	500	2700
3872	Phacelia dalesiana	1500	2000
3873	Phacelia davidsonii	700	2500
3874	Phacelia distans	0	2100
3875	Phacelia divaricata	0	1500
3876	Phacelia douglasii	0	1700
3877	Phacelia egena	0	2500
3878	Phacelia eisenii	1300	3400
3879	Phacelia exilis	1100	2700
3880	Phacelia floribunda	0	500
3881	Phacelia fremontii	0	2300
3882	Phacelia glandulifera	800	2500
3883	Phacelia grandiflora	0	900
3884	Phacelia greenei	800	1500
3885	Phacelia grisea	300	1200
3886	Phacelia gymnoclada	1700	2300
3887	Phacelia hastata	900	4000
3888	Phacelia hastata ssp. compacta	1800	4000
3889	Phacelia hastata ssp. hastata	900	2400
3890	Phacelia heterophylla ssp. virgata	100	2900
3891	Phacelia humilis	800	2300
3892	Phacelia humilis var. dudleyi	800	1700
3893	Phacelia humilis var. humilis	1500	2300
3894	Phacelia hydrophylloides	1500	3100
3895	Phacelia imbricata	0	2600
3896	Phacelia imbricata ssp. imbricata	0	2300
3897	Phacelia imbricata ssp. patula	700	2600
3898	Phacelia insularis	0	100
3899	Phacelia insularis var. continentis	0	100
3900	Phacelia insularis var. insularis	0	100
3901	Phacelia inundata	1500	2000
3902	Phacelia inyoensis	1400	3200
3903	Phacelia ivesiana	0	1000
3904	Phacelia ixodes	0	100
3905	Phacelia lemmonii	400	2300
3906	Phacelia leonis	1200	1900
3907	Phacelia linearis	800	2000
3908	Phacelia longipes	400	1900
3909	Phacelia lyonii	0	500
3910	Phacelia malvifolia	0	1400
3911	Phacelia marcescens	1400	2400
3912	Phacelia minor	0	1600
3913	Phacelia mohavensis	1400	2500
3914	Phacelia monoensis	1900	2900
3915	Phacelia mustelina	1000	2100
3916	Phacelia mutabilis	900	3100
3917	Phacelia nashiana	0	2200
3918	Phacelia neglecta	0	1000
3919	Phacelia nemoralis	0	800
3920	Phacelia nemoralis ssp. nemoralis	0	700
3921	Phacelia nemoralis ssp. oregonensis	0	800
3922	Phacelia novenmillensis	1900	2200
3923	Phacelia orogenes	2400	3400
3924	Phacelia pachyphylla	0	1000
3925	Phacelia parishii	800	1200
3926	Phacelia parryi	0	2400
3927	Phacelia pedicellata	0	1400
3928	Phacelia peirsoniana	1500	2700
3929	Phacelia perityloides	600	2300
3930	Phacelia perityloides var. jaegeri	1900	2300
3931	Phacelia perityloides var. perityloides	2100	2300
3932	Phacelia phacelioides	500	1200
3933	Phacelia platyloba	300	1200
3934	Phacelia pringlei	1400	2700
3935	Phacelia procera	1200	2200
3936	Phacelia pulchella var. gooddingii	800	1000
3937	Phacelia purpusii	900	2300
3938	Phacelia quickii	1000	2400
3939	Phacelia racemosa	1800	3000
3940	Phacelia ramosissima	0	3100
3941	Phacelia ramosissima var. austrolitoralis	0	300
3942	Phacelia ramosissima var. eremophila	600	2800
3943	Phacelia ramosissima var. latifolia	0	2500
3944	Phacelia ramosissima var. montereyensis	0	100
3945	Phacelia ramosissima var. ramosissima	100	2800
3946	Phacelia ramosissima var. subglabra	200	3100
3947	Phacelia rattanii	0	1400
3948	Phacelia rotundifolia	0	2000
3949	Phacelia saxicola	1000	2300
3950	Phacelia sericea var. ciliosa	2100	2700
3951	Phacelia stebbinsii	1000	1600
3952	Phacelia stellaris	0	400
3953	Phacelia suaveolens	300	1700
3954	Phacelia suaveolens var. keckii	1000	1600
3955	Phacelia suaveolens var. suaveolens	300	1700
3956	Phacelia tanacetifolia	0	2000
3957	Phacelia tetramera	1500	2400
3958	Phacelia thermalis	1000	1700
3959	Phacelia umbrosa	1000	1600
3960	Phacelia vallicola	600	2400
3961	Phacelia vallis-mortae	600	2400
3962	Phacelia viscida	0	700
3963	Pholistoma auritum	0	1900
3964	Pholistoma auritum var. arizonicum	300	700
3965	Pholistoma auritum var. auritum	0	1900
3966	Pholistoma membranaceum	0	1400
3967	Pholistoma racemosum	0	500
3968	Romanzoffia californica	0	800
3969	Romanzoffia sitchensis	1700	2100
3970	Romanzoffia tracyi	0	100
3971	Tricardia watsonii	100	2300
3972	Turricula parryi	100	2300
3973	Hypericum anagalloides	0	1000
3974	Hypericum canariense	0	100
3975	Hypericum concinnum	100	1000
3976	Hypericum formosum var. scouleri	100	2500
3977	Hypericum mutilum	0	300
3978	Hypericum perforatum	0	1500
3979	Juglans californica	0	900
3980	Juglans californica var. californica	0	900
3981	Juglans californica var. hindsii	0	200
3982	Juglans regia	0	200
3983	Koeberlinia spinosa ssp. tenuispina	1500	1700
3984	Krameria erecta	0	1200
3985	Krameria grayi	0	1400
3986	Acanthomintha duttonii	0	300
3987	Acanthomintha ilicifolia	0	900
3988	Acanthomintha lanceolata	0	1200
3989	Acanthomintha obovata	0	1500
3990	Acanthomintha obovata ssp. cordata	0	1500
3991	Acanthomintha obovata ssp. obovata	0	1500
3992	Agastache parvifolia	1400	2200
3993	Agastache urticifolia	400	3000
3994	Glechoma hederacea	0	800
3995	Hedeoma drummondii	1400	1700
3996	Hedeoma nana ssp. californica	900	2100
3997	Hyptis emoryi	0	1000
3998	Lamium amplexicaule	0	800
3999	Lamium purpureum	0	300
4000	Lepechinia calycina	100	900
4001	Lepechinia cardiophylla	600	1200
4002	Lepechinia fragrans	0	1100
4003	Lepechinia ganderi	400	900
4004	Lycopus americanus	0	1000
4005	Lycopus asper	0	1300
4006	Lycopus uniflorus	0	100
4007	Marrubium vulgare	0	600
4008	Melissa officinalis	0	800
4009	Mentha arvensis	0	2400
4010	Mentha X-piperita	0	2500
4011	Mentha pulegium	0	1000
4012	Mentha spicata var. spicata	0	1700
4013	Mentha suaveolens	0	1200
4014	Moluccella laevis	0	800
4015	Monarda pectinata	1100	1500
4016	Monardella antonina	500	900
4017	Monardella antonina ssp. antonina	500	900
4018	Monardella antonina ssp. benitensis	500	900
4019	Monardella australis	1500	3200
4020	Monardella beneolens	2500	3500
4021	Monardella breweri	0	1400
4022	Monardella candicans	0	800
4023	Monardella cinerea	1800	4100
4024	Monardella crispa	0	100
4025	Monardella douglasii	0	1100
4026	Monardella douglasii ssp. douglasii	0	1100
4027	Monardella douglasii ssp. venosa	0	400
4028	Monardella exilis	600	1100
4029	Monardella follettii	600	2000
4030	Monardella frutescens	0	200
4031	Monardella glauca	1000	3500
4032	Monardella hypoleuca	0	1500
4033	Monardella hypoleuca ssp. hypoleuca	0	1500
4034	Monardella hypoleuca ssp. lanata	300	1000
4035	Monardella lanceolata	0	2600
4036	Monardella leucocephala	0	100
4037	Monardella linoides	900	3100
4038	Monardella linoides ssp. linoides	900	3100
4039	Monardella linoides ssp. oblonga	900	2300
4040	Monardella linoides ssp. stricta	1600	3000
4041	Monardella linoides ssp. viminea	0	400
4042	Monardella macrantha	600	2000
4043	Monardella macrantha ssp. hallii	600	2000
4044	Monardella macrantha ssp. macrantha	600	2000
4045	Monardella nana	900	2600
4046	Monardella nana ssp. arida	900	1500
4047	Monardella nana ssp. leptosiphon	1200	1800
4048	Monardella nana ssp. nana	1200	1600
4049	Monardella nana ssp. tenuiflora	900	2600
4050	Monardella odoratissima	600	3100
4051	Monardella odoratissima ssp. odoratissima	1200	2100
4052	Monardella odoratissima ssp. pallida	1000	3100
4053	Monardella palmeri	200	800
4054	Monardella pringlei	300	400
4055	Monardella purpurea	400	1400
4056	Monardella robisonii	1100	1500
4057	Monardella sheltonii	600	2000
4058	Monardella siskiyouensis	0	900
4059	Monardella stebbinsii	800	1100
4060	Monardella undulata	0	300
4061	Monardella villosa	0	1300
4062	Monardella villosa ssp. franciscana	0	400
4063	Monardella villosa ssp. globosa	200	600
4064	Monardella villosa ssp. obispoensis	0	900
4065	Monardella villosa ssp. villosa	0	1300
4066	Monardella viridis	0	1800
4067	Monardella viridis ssp. saxicola	500	1800
4068	Monardella viridis ssp. viridis	300	1000
4069	Nepeta cataria	0	1300
4070	Origanum vulgare	0	500
4071	Pogogyne abramsii	100	200
4072	Pogogyne clareana	300	400
4073	Pogogyne douglasii	0	900
4074	Pogogyne floribunda	1000	1500
4075	Pogogyne nudiuscula	100	300
4076	Pogogyne serpylloides	0	1200
4077	Pogogyne zizyphoroides	0	400
4078	Poliomintha incana	1600	1700
4079	Prunella vulgaris	0	2400
4080	Prunella vulgaris var. lanceolata	0	2400
4081	Prunella vulgaris var. vulgaris	0	200
4082	Pycnanthemum californicum	500	1800
4083	Salazaria mexicana	0	1800
4084	Salvia aethiopis	500	4100
4085	Salvia apiana	0	1500
4086	Salvia brandegeei	0	200
4087	Salvia carduacea	0	1400
4088	Salvia clevelandii	0	1000
4089	Salvia columbariae	0	1200
4090	Salvia dorrii	1000	4000
4091	Salvia dorrii var. dorrii	800	3100
4092	Salvia dorrii var. incana	300	1100
4093	Salvia dorrii var. pilosa	900	1900
4094	Salvia eremostachya	700	1400
4095	Salvia funerea	0	400
4096	Salvia greatae	0	300
4097	Salvia leucophylla	0	800
4098	Salvia mellifera	0	1200
4099	Salvia mohavensis	300	1500
4100	Salvia munzii	0	800
4101	Salvia pachyphylla	1400	2500
4102	Salvia sonomensis	0	2000
4103	Salvia spathacea	0	800
4104	Salvia vaseyi	0	800
4105	Salvia verbenacea	0	200
4106	Satureja chandleri	500	700
4107	Satureja douglasii	0	900
4108	Satureja mimuloides	400	1800
4109	Scutellaria antirrhinoides	0	2000
4110	Scutellaria bolanderi	300	2000
4111	Scutellaria bolanderi ssp. austromontana	600	2000
4112	Scutellaria bolanderi ssp. bolanderi	300	1500
4113	Scutellaria californica	300	2000
4114	Scutellaria galericulata	1000	2100
4115	Scutellaria lateriflora	0	500
4116	Scutellaria nana	1000	1900
4117	Scutellaria siphocampyloides	300	2300
4118	Scutellaria tuberosa	200	1000
4119	Stachys ajugoides	0	2500
4120	Stachys ajugoides var. ajugoides	0	1000
4121	Stachys ajugoides var. rigida	0	2500
4122	Stachys albens	0	3000
4123	Stachys arvensis	0	100
4124	Stachys bullata	0	500
4125	Stachys chamissonis	0	200
4126	Stachys palustris ssp. pilosa	1200	1500
4127	Stachys pycnantha	0	1100
4128	Stachys stricta	0	600
4129	Teucrium cubense ssp. depressum	0	400
4130	Teucrium glandulosum	400	500
4131	Trichostema austromontanum	1000	2500
4132	Trichostema austromontanum ssp. austromontanum	1000	2500
4133	Trichostema austromontanum ssp. compactum	2400	2600
4134	Trichostema lanatum	0	800
4135	Trichostema lanceolatum	0	1000
4136	Trichostema laxum	0	1500
4137	Trichostema micranthum	2000	2300
4138	Trichostema oblongum	100	3000
4139	Trichostema ovatum	0	300
4140	Trichostema parishii	600	2000
4141	Trichostema rubisepalum	300	1000
4142	Trichostema simulatum	500	1500
4143	Umbellularia californica	0	1600
4144	Pholisma arenarium	0	1900
4145	Pholisma sonorae	0	200
4146	Pinguicula vulgaris ssp. macroceras	0	500
4147	Utricularia gibba	0	1600
4148	Utricularia intermedia	1200	2700
4149	Utricularia minor	800	2900
4150	Utricularia vulgaris	0	2700
4151	Floerkea proserpinacoides	1500	3200
4152	Limnanthes alba	0	1800
4153	Limnanthes alba ssp. alba	0	1400
4154	Limnanthes alba ssp. versicolor	0	1800
4155	Limnanthes bakeri	0	500
4156	Limnanthes douglasii	0	1000
4157	Limnanthes douglasii ssp. douglasii	0	700
4158	Limnanthes douglasii ssp. nivea	0	1000
4159	Limnanthes douglasii ssp. rosea	0	200
4160	Limnanthes douglasii ssp. sulphurea	0	100
4161	Limnanthes floccosa	0	400
4162	Limnanthes floccosa ssp. californica	0	100
4163	Limnanthes floccosa ssp. floccosa	0	400
4164	Limnanthes gracilis ssp. parishii	600	2000
4165	Limnanthes montana	0	1700
4166	Limnanthes striata	0	800
4167	Limnanthes vinculans	0	300
4168	Hesperolinon adenophyllum	100	1000
4169	Hesperolinon bicarpellatum	0	100
4170	Hesperolinon breweri	0	700
4171	Hesperolinon californicum	0	1300
4172	Hesperolinon clevelandii	100	1400
4173	Hesperolinon congestum	0	200
4174	Hesperolinon didymocarpum	100	200
4175	Hesperolinon disjunctum	100	1000
4176	Hesperolinon drymarioides	100	1000
4177	Hesperolinon micranthum	0	2000
4178	Hesperolinon serpentinum	0	800
4179	Hesperolinon spergulinum	100	1000
4180	Hesperolinon tehamense	100	1000
4181	Linum bienne	0	1000
4182	Linum grandiflorum	0	200
4183	Linum lewisii	400	3400
4184	Linum lewisii var. alpicola	2000	3400
4185	Linum lewisii var. lewisii	400	2000
4186	Linum puberulum	1000	2500
4187	Linum usitatissimum	0	100
4188	Sclerolinon digynum	1000	1800
4189	Eucnide rupestris	500	600
4190	Eucnide urens	0	1400
4191	Mentzelia affinis	0	1200
4192	Mentzelia albicaulis	500	2300
4193	Mentzelia congesta	1500	2700
4194	Mentzelia crocea	0	1500
4195	Mentzelia desertorum	0	700
4196	Mentzelia dispersa	0	2500
4197	Mentzelia eremophila	700	1100
4198	Mentzelia gracilenta	200	1500
4199	Mentzelia hirsutissima	0	600
4200	Mentzelia involucrata	0	900
4201	Mentzelia inyoensis	1900	2000
4202	Mentzelia jonesii	200	1500
4203	Mentzelia laevicaulis	0	2700
4204	Mentzelia lindleyi	0	800
4205	Mentzelia micrantha	0	1600
4206	Mentzelia montana	1200	2600
4207	Mentzelia multiflora ssp. longiloba	0	700
4208	Mentzelia nitens	500	1800
4209	Mentzelia obscura	200	1500
4210	Mentzelia oreophila	900	1800
4211	Mentzelia pectinata	0	1800
4212	Mentzelia polita	1200	1500
4213	Mentzelia pterosperma	1000	1200
4214	Mentzelia reflexa	0	1200
4215	Mentzelia torreyi	1200	2100
4216	Mentzelia tricuspis	200	400
4217	Mentzelia tridentata	700	1000
4218	Mentzelia veatchiana	400	1900
4219	Petalonyx linearis	0	1000
4220	Petalonyx nitidus	1000	2100
4221	Petalonyx thurberi	0	1200
4222	Petalonyx thurberi ssp. gilmanii	0	1200
4223	Petalonyx thurberi ssp. thurberi	0	1200
4224	Ammannia coccinea	0	300
4225	Ammannia robusta	0	500
4226	Lythrum californicum	0	2200
4227	Lythrum hyssopifolia	0	1600
4228	Lythrum portula	1000	2200
4229	Lythrum salicaria	0	1000
4230	Lythrum tribracteatum	0	1500
4231	Rotala indica	0	100
4232	Rotala ramosior	0	1900
4233	Abutilon palmeri	600	800
4234	Abutilon parvulum	900	1300
4235	Abutilon theophrasti	0	100
4236	Alcea rosea	0	100
4237	Anoda cristata	0	800
4238	Eremalche exilis	0	1500
4239	Eremalche parryi	100	1300
4240	Eremalche parryi ssp. kernensis	100	1000
4241	Eremalche parryi ssp. parryi	100	1300
4242	Eremalche rotundifolia	0	1200
4243	Herissantia crispa	0	600
4244	Hibiscus denudatus	0	800
4245	Hibiscus lasiocarpus	0	100
4246	Hibiscus trionum	0	100
4247	Horsfordia alata	100	500
4248	Horsfordia newberryi	100	800
4249	Iliamna bakeri	1000	2500
4250	Iliamna latibracteata	500	2000
4251	Lavatera arborea	0	100
4252	Lavatera assurgentiflora	0	400
4253	Lavatera cretica	0	100
4254	Malacothamnus abbottii	0	400
4255	Malacothamnus aboriginum	100	1700
4256	Malacothamnus clementinus	200	4100
4257	Malacothamnus davidsonii	200	700
4258	Malacothamnus densiflorus	100	1100
4259	Malacothamnus fasciculatus	0	600
4260	Malacothamnus fremontii	0	1300
4261	Malacothamnus jonesii	200	900
4262	Malacothamnus marrubioides	400	1100
4263	Malacothamnus palmeri	0	800
4264	Malva neglecta	0	3000
4265	Malva nicaeensis	0	400
4266	Malva parviflora	0	1500
4267	Malva sylvestris	0	300
4268	Malvella leprosa	0	1000
4269	Modiola caroliniana	0	400
4270	Sida rhombifolia	0	300
4271	Sidalcea calycosa	0	1200
4272	Sidalcea calycosa ssp. calycosa	0	1200
4273	Sidalcea calycosa ssp. rhizomata	0	100
4274	Sidalcea covillei	1100	1300
4275	Sidalcea diploscypha	0	800
4276	Sidalcea glaucescens	900	3000
4277	Sidalcea hartwegii	0	1000
4278	Sidalcea hickmanii	0	2200
4279	Sidalcea hickmanii ssp. anomala	600	800
4280	Sidalcea hickmanii ssp. hickmanii	500	1200
4281	Sidalcea hickmanii ssp. parishii	1000	2500
4282	Sidalcea hickmanii ssp. viridis	0	400
4283	Sidalcea hirsuta	0	1100
4284	Sidalcea keckii	400	4100
4285	Sidalcea malachroides	0	700
4286	Sidalcea malviflora	0	2300
4287	Sidalcea malviflora ssp. asprella	100	2300
4288	Sidalcea malviflora ssp. californica	0	1000
4289	Sidalcea malviflora ssp. dolosa	1500	2300
4290	Sidalcea malviflora ssp. laciniata	0	700
4291	Sidalcea malviflora ssp. malviflora	0	500
4292	Sidalcea malviflora ssp. patula	0	700
4293	Sidalcea malviflora ssp. purpurea	0	100
4294	Sidalcea malviflora ssp. sparsifolia	0	2200
4295	Sidalcea multifida	2000	2500
4296	Sidalcea neomexicana	0	1500
4297	Sidalcea oregana	0	3000
4298	Sidalcea oregana ssp. eximia	0	1200
4299	Sidalcea oregana ssp. hydrophila	1100	2300
4300	Sidalcea oregana ssp. oregana	500	2500
4301	Sidalcea oregana ssp. spicata	1100	3000
4302	Sidalcea oregana ssp. valida	100	4100
4303	Sidalcea pedata	1600	2500
4304	Sidalcea ranunculacea	2000	3000
4305	Sidalcea reptans	1200	2000
4306	Sidalcea robusta	100	1600
4307	Sidalcea stipularis	700	4100
4308	Sphaeralcea ambigua	100	2500
4309	Sphaeralcea ambigua var. ambigua	100	2500
4310	Sphaeralcea ambigua var. rosacea	100	800
4311	Sphaeralcea ambigua var. rugosa	100	2500
4312	Sphaeralcea angustifolia	0	500
4313	Sphaeralcea coulteri	0	300
4314	Sphaeralcea emoryi var. emoryi	0	600
4315	Sphaeralcea grossulariifolia	200	4100
4316	Sphaeralcea munroana	2000	4100
4317	Sphaeralcea orcuttii	0	900
4318	Sphaeralcea rusbyi var. eremicola	1300	1500
4319	Proboscidea althaeifolia	0	1000
4320	Proboscidea louisianica ssp. louisianica	0	500
4321	Proboscidea lutea	0	500
4322	Proboscidea parviflora ssp. parviflora	0	1000
4323	Melia azedarach	0	200
4324	Menyanthes trifoliata	900	3200
4325	Nymphoides peltata	1100	4100
4326	Glinus lotoides	0	1000
4327	Mollugo cerviana	0	1700
4328	Mollugo verticillata	0	1000
4329	Ficus carica	0	800
4330	Maclura pomifera	0	200
4331	Morus alba	0	1300
4332	Myoporum laetum	0	200
4333	Myrica californica	0	200
4334	Myrica hartwegii	300	1500
4335	Eucalyptus camaldulensis	0	300
4336	Eucalyptus citriodora	100	300
4337	Eucalyptus cladocalyx	100	300
4338	Eucalyptus globulus	0	300
4339	Eucalyptus polyanthemos	0	200
4340	Eucalyptus pulverulenta	0	300
4341	Eucalyptus sideroxylon	0	200
4342	Eucalyptus tereticornis	0	200
4343	Eucalyptus viminalis	0	100
4344	Leptospermum laevigatum	0	100
4345	Luma apiculata	0	200
4346	Abronia alpina	2400	2700
4347	Abronia gracilis	0	500
4348	Abronia latifolia	0	100
4349	Abronia maritima	0	100
4350	Abronia nana ssp. covillei	1600	2800
4351	Abronia pogonantha	0	1600
4352	Abronia turbinata	900	2500
4353	Abronia umbellata	0	100
4354	Abronia umbellata ssp. breviflora	0	100
4355	Abronia umbellata ssp. umbellata	0	100
4356	Abronia villosa	0	1600
4357	Abronia villosa var. aurita	0	1600
4358	Abronia villosa var. villosa	0	1000
4359	Acleisanthes longiflora	0	2500
4360	Allionia incarnata	0	1500
4361	Anulocaulis annulatus	0	1200
4362	Boerhavia coccinea	0	1000
4363	Boerhavia coulteri	0	1200
4364	Boerhavia intermedia	0	1300
4365	Boerhavia triquetra	0	1600
4366	Boerhavia wrightii	0	1400
4367	Mirabilis alipes	1200	2000
4368	Mirabilis bigelovii	0	2300
4369	Mirabilis bigelovii var. bigelovii	0	200
4370	Mirabilis bigelovii var. retrorsa	100	2300
4371	Mirabilis californica	0	1000
4372	Mirabilis coccinea	1300	1800
4373	Mirabilis greenei	0	1000
4374	Mirabilis jalapa	0	300
4375	Mirabilis linearis var. linearis	0	300
4376	Mirabilis multiflora	0	2500
4377	Mirabilis multiflora var. glandulosa	900	2500
4378	Mirabilis multiflora var. pubescens	0	2100
4379	Mirabilis nyctaginea	0	400
4380	Mirabilis oblongifolia	1500	2500
4381	Mirabilis pumila	1400	2500
4382	Mirabilis tenuiloba	0	500
4383	Selinocarpus nevadensis	1200	1300
4384	Tripterocalyx crux-maltae	1200	1500
4385	Tripterocalyx micranthus	800	2500
4386	Nuphar lutea ssp. polysepala	0	2500
4387	Nymphaea mexicana	0	100
4388	Nymphaea odorata	0	2700
4389	Forestiera pubescens	100	1800
4390	Fraxinus anomala	1100	2400
4391	Fraxinus dipetala	100	1300
4392	Fraxinus latifolia	0	1700
4393	Fraxinus velutina	200	1600
4394	Menodora scabra	1200	1800
4395	Menodora scoparia	600	2000
4396	Menodora spinescens	900	2300
4397	Olea europaea	0	200
4398	Camissonia andina	500	2000
4399	Camissonia arenaria	0	500
4400	Camissonia benitensis	600	4100
4401	Camissonia bistorta	0	600
4402	Camissonia boothii	0	2400
4403	Camissonia boothii ssp. alyssoides	600	1700
4404	Camissonia boothii ssp. boothii	900	2400
4405	Camissonia boothii ssp. condensata	0	1200
4406	Camissonia boothii ssp. decorticans	0	1900
4407	Camissonia boothii ssp. desertorum	400	2000
4408	Camissonia boothii ssp. intermedia	1500	2200
4409	Camissonia brevipes	0	1800
4410	Camissonia brevipes ssp. arizonica	0	300
4411	Camissonia brevipes ssp. brevipes	0	1800
4412	Camissonia brevipes ssp. pallidula	0	1100
4413	Camissonia californica	0	1300
4414	Camissonia campestris	0	2000
4415	Camissonia campestris ssp. campestris	0	2000
4416	Camissonia campestris ssp. obispoensis	100	500
4417	Camissonia cardiophylla	0	1400
4418	Camissonia cardiophylla ssp. cardiophylla	0	600
4419	Camissonia cardiophylla ssp. robusta	600	1400
4420	Camissonia chamaenerioides	0	1300
4421	Camissonia cheiranthifolia	0	100
4422	Camissonia cheiranthifolia ssp. cheiranthifolia	0	100
4423	Camissonia cheiranthifolia ssp. suffruticosa	0	100
4424	Camissonia claviformis	0	2000
4425	Camissonia claviformis ssp. aurantiaca	0	900
4426	Camissonia claviformis ssp. claviformis	800	1700
4427	Camissonia claviformis ssp. cruciformis	600	1400
4428	Camissonia claviformis ssp. funerea	0	900
4429	Camissonia claviformis ssp. integrior	1200	2000
4430	Camissonia claviformis ssp. lancifolia	1200	1700
4431	Camissonia claviformis ssp. peirsonii	0	300
4432	Camissonia claviformis ssp. yumae	0	300
4433	Camissonia confusa	300	2000
4434	Camissonia contorta	0	2300
4435	Camissonia graciliflora	0	800
4436	Camissonia guadalupensis ssp. clementina	0	100
4437	Camissonia hardhamiae	200	600
4438	Camissonia heterochroma	600	2100
4439	Camissonia hirtella	0	2300
4440	Camissonia ignota	100	1100
4441	Camissonia integrifolia	700	1000
4442	Camissonia intermedia	300	800
4443	Camissonia kernensis	700	1800
4444	Camissonia kernensis ssp. gilmanii	700	1800
4445	Camissonia kernensis ssp. kernensis	800	1800
4446	Camissonia lacustris	200	1600
4447	Camissonia lewisii	0	300
4448	Camissonia luciae	300	1400
4449	Camissonia micrantha	0	300
4450	Camissonia minor	1200	4100
4451	Camissonia munzii	600	1600
4452	Camissonia ovata	0	500
4453	Camissonia pallida	0	1800
4454	Camissonia pallida ssp. hallii	0	1800
4455	Camissonia pallida ssp. pallida	0	1800
4456	Camissonia palmeri	600	1400
4457	Camissonia parvula	1000	2000
4458	Camissonia pterosperma	1400	2400
4459	Camissonia pubens	1000	3000
4460	Camissonia pusilla	700	3000
4461	Camissonia refracta	0	1300
4462	Camissonia robusta	0	300
4463	Camissonia sierrae	500	2400
4464	Camissonia sierrae ssp. alticola	2000	2400
4465	Camissonia sierrae ssp. sierrae	500	1300
4466	Camissonia strigulosa	0	2100
4467	Camissonia subacaulis	400	2600
4468	Camissonia tanacetifolia	700	2500
4469	Camissonia tanacetifolia ssp. quadriperforata	1300	1500
4470	Camissonia tanacetifolia ssp. tanacetifolia	700	2500
4471	Camissonia walkeri ssp. tortilis	600	1800
4472	Circaea alpina ssp. pacifica	0	2700
4473	Clarkia affinis	0	500
4474	Clarkia amoena	0	700
4475	Clarkia amoena ssp. amoena	0	100
4476	Clarkia amoena ssp. huntiana	0	700
4477	Clarkia amoena ssp. whitneyi	0	100
4478	Clarkia arcuata	0	1000
4479	Clarkia australis	800	1500
4480	Clarkia biloba	300	1000
4481	Clarkia biloba ssp. australis	300	500
4482	Clarkia biloba ssp. biloba	0	1000
4483	Clarkia biloba ssp. brandegeeae	0	500
4484	Clarkia borealis	400	800
4485	Clarkia borealis ssp. arida	400	600
4486	Clarkia borealis ssp. borealis	400	800
4487	Clarkia bottae	0	1000
4488	Clarkia breweri	0	1000
4489	Clarkia concinna	0	1500
4490	Clarkia concinna ssp. automixa	0	1500
4491	Clarkia concinna ssp. concinna	0	1500
4492	Clarkia concinna ssp. raichei	0	100
4493	Clarkia cylindrica	0	1000
4494	Clarkia cylindrica ssp. clavicarpa	0	1000
4495	Clarkia cylindrica ssp. cylindrica	0	1000
4496	Clarkia davyi	0	100
4497	Clarkia delicata	0	1000
4498	Clarkia dudleyana	0	1500
4499	Clarkia epilobioides	0	1000
4500	Clarkia exilis	0	1000
4501	Clarkia franciscana	0	100
4502	Clarkia gracilis	0	1500
4503	Clarkia gracilis ssp. albicaulis	500	4100
4504	Clarkia gracilis ssp. gracilis	0	1500
4505	Clarkia gracilis ssp. sonomensis	0	500
4506	Clarkia gracilis ssp. tracyi	100	500
4507	Clarkia heterandra	500	1700
4508	Clarkia imbricata	0	100
4509	Clarkia jolonensis	500	4100
4510	Clarkia lassenensis	500	2000
