species,hemisphere,chilefornia_northbay,chilefornia_california,chilefornia_westernNA,fia_northbay,fia_california,fia_westernNA
Nothofagus antarctica,south,0,0,0,NA,NA,NA
Nothofagus betuloides,south,0,0,0,NA,NA,NA
Nothofagus dombeyi,south,0,0,0,NA,NA,NA
Nothofagus glauca,south,0,0,0,NA,NA,NA
Nothofagus macrocarpa,south,0,0,0,NA,NA,NA
Nothofagus nitida,south,0,0,0,NA,NA,NA
Nothofagus obliqua,south,0,0,0,NA,NA,NA
Nothofagus pumilio,south,0,0,0,NA,NA,NA
Notholithocarpus densiflorus,north,399,1506,1522,NA,NA,NA
Oemleria cerasiformis,north,187,846,1230,NA,NA,NA
Olneya tesota,north,0,367,10,NA,NA,NA
Otholobium glandulosum,south,0,0,0,NA,NA,NA
Ovidia andina,south,0,0,0,NA,NA,NA
Parkinsonia florida,north,0,333,0,NA,NA,NA
Parkinsonia microphylla,north,0,117,16,NA,NA,NA
Persea lingue,south,0,0,0,NA,NA,NA
Peucephyllum schottii,north,0,831,9,NA,NA,NA
Peumus boldus,south,0,0,0,NA,NA,NA
Picea breweriana,north,0,221,244,NA,NA,NA
Picea engelmannii,north,0,40,160,0,2,107
Picea glauca,north,0,0,11,0,0,0
Picea sitchensis,north,32,204,1770,0,24,537
Pilgerodendron uviferum,south,0,0,0,NA,NA,NA
Pinus balfouriana,north,0,382,295,NA,NA,NA
Pinus contorta,north,221,1912,2333,2,434,1038
Pinus flexilis,north,0,460,196,0,21,5
Pinus jeffreyi,north,9,430,316,3,901,781
Pinus lambertiana,north,36,439,413,38,1241,1655
Pinus longaeva,north,0,247,0,NA,NA,NA
Pinus monophylla,north,0,632,186,0,291,94
Pinus monticola,north,3,851,1078,1,296,758
Pinus ponderosa,north,142,2445,2873,84,1923,2975
Pinus quadrifolia,north,0,96,98,NA,NA,NA
Pinus radiata,north,0,105,95,NA,NA,NA
Pinus sabiniana,north,183,1441,1367,53,502,497
Pitavia punctata,south,0,0,0,NA,NA,NA
Platanus racemosa,north,9,2189,2052,NA,NA,NA
Podocarpus nubigenus,south,0,0,0,NA,NA,NA
Podocarpus salignus,south,0,0,0,NA,NA,NA
Polylepis rugulosa,south,0,0,0,NA,NA,NA
Polylepis tarapacana,south,0,0,0,NA,NA,NA
Populus angustifolia,north,0,27,12,0,0,0
Populus balsamifera,north,10,694,693,0,21,219
Populus fremontii,north,60,1645,1192,NA,NA,NA
Populus tremuloides,north,1,671,431,0,46,38
Porlieria chilensis,south,0,0,0,NA,NA,NA
Pouteria splendens,south,0,0,0,NA,NA,NA
Prosopis alba,south,0,0,0,NA,NA,NA
Prosopis chilensis,south,0,0,0,NA,NA,NA
Prosopis glandulosa,north,0,1043,167,0,7,0
Prosopis pubescens,north,0,237,24,NA,NA,NA
Prosopis tamarugo,south,0,0,0,NA,NA,NA
Prumnopitys andina,south,0,0,0,NA,NA,NA
Prunus emarginata,north,91,1985,2108,2,29,339
Prunus fremontii,north,0,554,44,NA,NA,NA
Prunus ilicifolia,north,14,2086,1943,NA,NA,NA
Prunus subcordata,north,94,573,571,NA,NA,NA
Prunus virginiana,north,145,1538,1399,1,5,41
Pseudotsuga menziesii,north,625,2910,7231,511,2517,9809
Psorothamnus spinosus,north,0,677,6,NA,NA,NA
Ptelea crenulata,north,55,367,367,NA,NA,NA
Quercus agrifolia,north,140,1432,1393,119,441,440
Quercus berberidifolia,north,186,1582,1518,NA,NA,NA
Quercus cedrosensis,north,0,20,94,NA,NA,NA
Quercus chrysolepis,north,368,4327,3949,177,1312,1525
Quercus douglasii,north,236,2010,1967,56,824,823
Quercus durata,north,479,1292,1291,NA,NA,NA
Quercus garryana,north,369,1517,2049,107,361,679
Quercus john-tuckeri,north,0,451,294,NA,NA,NA
Quercus kelloggii,north,187,1208,1098,239,1604,1851
Quercus lobata,north,284,2044,1986,66,168,169
Quercus oblongifolia,north,0,2,9,NA,NA,NA
Quercus palmeri,north,1,187,126,NA,NA,NA
Quercus parvula,north,134,508,506,NA,NA,NA
Quercus turbinella,north,0,186,42,NA,NA,NA
Quercus wislizeni,north,452,2903,2687,82,566,559
Quillaja saponaria,south,0,0,0,NA,NA,NA
Raukaua laetevirens,south,0,0,0,NA,NA,NA
Rhaphithamnus spinosus,south,0,0,0,NA,NA,NA
Rhododendron macrophyllum,north,202,391,564,NA,NA,NA
Rhus integrifolia,north,5,1985,1850,NA,NA,NA
Rhus kearneyi,north,0,0,16,NA,NA,NA
Rhus ovata,north,0,1962,1607,NA,NA,NA
Robinia neomexicana,north,0,10,4,NA,NA,NA
Salix alaxensis,north,0,0,29,NA,NA,NA
Salix amygdaloides,north,0,3,3,0,0,0
Salix barclayi,north,0,0,131,NA,NA,NA
Salix bebbiana,north,0,6,23,0,0,0
Salix bonplandiana,north,0,0,16,NA,NA,NA
Salix breweri,north,115,271,271,NA,NA,NA
Salix exigua,north,193,2803,1999,NA,NA,NA
Salix geyeriana,north,0,410,244,NA,NA,NA
Salix glauca,north,0,0,34,NA,NA,NA
Salix gooddingii,north,22,1303,937,NA,NA,NA
Salix hookeriana,north,63,324,483,NA,NA,NA
Salix humboldtiana,south,0,0,0,NA,NA,NA
Salix lasiandra,north,90,1069,904,NA,NA,NA
Salix lasiolepis,north,360,4544,4002,NA,NA,NA
Salix ligulifolia,north,0,146,112,NA,NA,NA
Salix lutea,north,1,345,156,NA,NA,NA
Salix maccalliana,north,0,0,10,NA,NA,NA
Salix melanopsis,north,76,616,616,NA,NA,NA
Salix myrtillifolia,north,0,1,12,NA,NA,NA
Salix planifolia,north,0,171,111,NA,NA,NA
Salix prolixa,north,1,41,72,NA,NA,NA
Salix pulchra,north,0,0,5,NA,NA,NA
Salix scouleriana,north,108,1289,1301,NA,NA,NA
Salix sessilifolia,north,0,0,46,NA,NA,NA
Salix sitchensis,north,155,552,861,NA,NA,NA
Salix taxifolia,north,0,0,1,NA,NA,NA
Salix tracyi,north,6,52,54,NA,NA,NA
Sambucus racemosa,north,122,909,1276,NA,NA,NA
Saxegothaea conspicua,south,0,0,0,NA,NA,NA
Schinus latifolius,south,0,0,0,NA,NA,NA
Schinus molle,south,0,0,0,NA,NA,NA
Schinus patagonicus,south,0,0,0,NA,NA,NA
Schinus polygamus,south,0,0,0,NA,NA,NA
Senegalia greggii,north,0,829,42,NA,NA,NA
Sequoia sempervirens,north,167,497,493,258,494,504
Sequoiadendron giganteum,north,0,128,128,NA,NA,NA
Shepherdia argentea,north,0,150,47,NA,NA,NA
Sophora cassioides,south,0,0,0,NA,NA,NA
Sophora macrocarpa,south,0,0,0,NA,NA,NA
