id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
51	Fern	Ophioglossaceae	Botrychium multifidum	Botrychium multifidum	Botrychium multifidum (S.G. Gmel.) Rupr.	Botrychium	multifidum	(S.G. Gmel.) Rupr.				1	1	0	1
52	Fern	Ophioglossaceae	Botrychium pinnatum	Botrychium pinnatum	Botrychium pinnatum H. St. John	Botrychium	pinnatum	H. St. John				1	1	0	1
53	Fern	Ophioglossaceae	Botrychium simplex	Botrychium simplex	Botrychium simplex E. Hitchc.	Botrychium	simplex	E. Hitchc.				1	1	0	1
54	Fern	Ophioglossaceae	Ophioglossum californicum	Ophioglossum californicum	Ophioglossum californicum Prantl	Ophioglossum	californicum	Prantl				1	1	0	1
55	Fern	Ophioglossaceae	Ophioglossum pusillum	Ophioglossum pusillum	Ophioglossum pusillum Raf.	Ophioglossum	pusillum	Raf.				1	1	0	1
56	Fern	Polypodiaceae	Polypodium californicum	Polypodium californicum	Polypodium californicum Kaulf.	Polypodium	californicum	Kaulf.				1	1	0	1
57	Fern	Polypodiaceae	Polypodium calirhiza	Polypodium calirhiza	Polypodium calirhiza S.A. Whitmore & A.R. Sm.	Polypodium	calirhiza	S.A. Whitmore & A.R. Sm.				1	1	0	1
58	Fern	Polypodiaceae	Polypodium glycyrrhiza	Polypodium glycyrrhiza	Polypodium glycyrrhiza D.C. Eaton	Polypodium	glycyrrhiza	D.C. Eaton				1	1	0	1
59	Fern	Polypodiaceae	Polypodium hesperium	Polypodium hesperium	Polypodium hesperium Maxon	Polypodium	hesperium	Maxon				1	1	0	1
60	Fern	Polypodiaceae	Polypodium scouleri	Polypodium scouleri	Polypodium scouleri Hook. & Grev.	Polypodium	scouleri	Hook. & Grev.				1	1	0	1
61	Fern	Pteridaceae	Adiantum aleuticum	Adiantum aleuticum	Adiantum aleuticum (Rupr.) C.A. Paris	Adiantum	aleuticum	(Rupr.) C.A. Paris				1	1	0	1
62	Fern	Pteridaceae	Adiantum capillus-veneris	Adiantum capillus-veneris	Adiantum capillus-veneris L.	Adiantum	capillus-veneris	L.				1	1	0	1
63	Fern	Pteridaceae	Adiantum jordanii	Adiantum jordanii	Adiantum jordanii C. Mueller	Adiantum	jordanii	C. Mueller				1	1	0	1
64	Fern	Pteridaceae	Argyrochosma jonesii	Argyrochosma jonesii	Argyrochosma jonesii (Maxon) M.D. Windham	Argyrochosma	jonesii	(Maxon) M.D. Windham				1	1	0	1
65	Fern	Pteridaceae	Argyrochosma limitanea var. limitanea	Argyrochosma limitanea	Argyrochosma limitanea (Maxon) M.D. Windham var. limitanea	Argyrochosma	limitanea	(Maxon) M.D. Windham	var.	limitanea		1	1	1	1
66	Fern	Pteridaceae	Aspidotis californica	Aspidotis californica	Aspidotis californica (Hook.) Copel.	Aspidotis	californica	(Hook.) Copel.				1	1	0	1
67	Fern	Pteridaceae	Aspidotis carlotta-halliae	Aspidotis carlotta-halliae	Aspidotis carlotta-halliae (W. H. Wagner & E.F. Gilbert) Lellinger	Aspidotis	carlotta-halliae	(W. H. Wagner & E.F. Gilbert) Lellinger				1	1	0	1
68	Fern	Pteridaceae	Aspidotis densa	Aspidotis densa	Aspidotis densa (Brack.) Lellinger	Aspidotis	densa	(Brack.) Lellinger				1	1	0	1
69	Fern	Pteridaceae	Astrolepis cochisensis	Astrolepis cochisensis	Astrolepis cochisensis (Goodd.) D.M. Benham & M.D. Windham	Astrolepis	cochisensis	(Goodd.) D.M. Benham & M.D. Windham				1	1	0	1
70	Fern	Pteridaceae	Cheilanthes clevelandii	Cheilanthes clevelandii	Cheilanthes clevelandii D.C. Eaton	Cheilanthes	clevelandii	D.C. Eaton				1	1	0	1
71	Fern	Pteridaceae	Cheilanthes cooperae	Cheilanthes cooperae	Cheilanthes cooperae D.C. Eaton	Cheilanthes	cooperae	D.C. Eaton				1	1	0	1
72	Fern	Pteridaceae	Cheilanthes covillei	Cheilanthes covillei	Cheilanthes covillei Maxon	Cheilanthes	covillei	Maxon				1	1	0	1
73	Fern	Pteridaceae	Cheilanthes feei	Cheilanthes feei	Cheilanthes feei T. Moore	Cheilanthes	feei	T. Moore				1	1	0	1
74	Fern	Pteridaceae	Cheilanthes gracillima	Cheilanthes gracillima	Cheilanthes gracillima D.C. Eaton	Cheilanthes	gracillima	D.C. Eaton				1	1	0	1
